iliad,13,48,SDSDDA,ἀλκῆς μνησαμένω ,μὴ δὲ κρυεροῖο φόβοιο
iliad,13,49,SDSDDA,ἄλλῃ μὲν γὰρ ἔγωγ ,οὐ δείδια χεῖρας ἀάπτους
iliad,13,50,SDDDDA,τρώων οἳ μέγα τεῖχος ,ὑπερκατέβησαν ὁμίλῳ
iliad,13,51,SSDSDA,ἕξουσιν γὰρ πάντας ,ἐϋκνήμιδες ἀχαιοί
iliad,13,52,DDDDDA,τῇ δὲ δὴ αἰνότατον ,περιδείδια μή τι πάθωμεν
iliad,13,53,DSDDDA,ᾗ ῥ ὅ γ ὁ λυσσώδης ,φλογὶ εἴκελος ἡγεμονεύει
iliad,13,54,SDDDDA,ἕκτωρ ὃς διὸς εὔχετ ,ἐρισθενέος πάϊς εἶναι
iliad,13,55,SDDDSA,σφῶϊν δ ὧδε θεῶν ,τις ἐνὶ φρεσὶ ποιήσειεν
iliad,13,56,SDDDDA,αὐτώ θ ἑστάμεναι ,κρατερῶς καὶ ἀνωγέμεν ἄλλους
iliad,13,57,DDDSDA,τώ κε καὶ ἐσσύμενόν ,περ ἐρωήσαιτ ἀπὸ νηῶν
iliad,13,58,DSDDDA,ὠκυπόρων εἰ καί ,μιν ὀλύμπιος αὐτὸς ἐγείρει
iliad,13,59,SDSDDA,ἦ καὶ σκηπανίῳ ,γαιήοχος ἐννοσίγαιος
iliad,13,60,DDSDDA,ἀμφοτέρω κεκοπὼς ,πλῆσεν μένεος κρατεροῖο
iliad,13,61,DDDSDA,γυῖα δ ἔθηκεν ἐλαφρὰ ,πόδας καὶ χεῖρας ὕπερθεν
iliad,13,62,SSSDDA,αὐτὸς δ ὥς τ ἴρηξ ,ὠκύπτερος ὦρτο πέτεσθαι
iliad,13,63,DDSDDA,ὅς ῥά τ ἀπ αἰγίλιπος ,πέτρης περιμήκεος ἀρθεὶς
iliad,13,64,SDDSDA,ὁρμήσῃ πεδίοιο ,διώκειν ὄρνεον ἄλλο
iliad,13,65,DSDSDA,ὣς ἀπὸ τῶν ἤϊξε ,ποσειδάων ἐνοσίχθων
iliad,13,66,SSDSDA,τοῖιν δ ἔγνω πρόσθεν ,ὀϊλῆος ταχὺς αἴας
iliad,13,67,DSDDDA,αἶψα δ ἄρ αἴαντα ,προσέφη τελαμώνιον υἱόν
iliad,13,68,DSDDDA,‘αἶαν ἐπεί τις νῶϊ ,θεῶν οἳ ὄλυμπον ἔχουσι
iliad,13,69,DDDDDA,μάντεϊ εἰδόμενος ,κέλεται παρὰ νηυσὶ μάχεσθαι
iliad,13,70,DSSDSA,οὐδ ὅ γε Κάλχας ἐστὶ θεοπρόπος οἰωνιστής,NA
iliad,13,71,DDDSSA,ἴχνια γὰρ μετόπισθε ,ποδῶν ἠδὲ κνημάων
iliad,13,72,SDDSDA,ῥεῖ ἔγνων ἀπιόντος ,ἀρίγνωτοι δὲ θεοί περ
iliad,13,73,DSDSDA,καὶ δ ἐμοὶ αὐτῷ θυμὸς ,ἐνὶ στήθεσσι φίλοισι
iliad,13,74,DSDSDA,μᾶλλον ἐφορμᾶται ,πολεμίζειν ἠδὲ μάχεσθαι
iliad,13,75,SDDSDA,μαιμώωσι δ ἔνερθε ,πόδες καὶ χεῖρες ὕπερθε
iliad,13,76,DDDDDA,τὸν δ ἀπαμειβόμενος ,προσέφη τελαμώνιος αἴας
iliad,13,77,SDDDDA,‘οὕτω νῦν καὶ ἐμοὶ ,περὶ δούρατι χεῖρες ἄαπτοι
iliad,13,78,SSDDDA,μαιμῶσιν καί μοι ,μένος ὤρορε νέρθε δὲ ποσσὶν
iliad,13,79,DDDSDA,ἔσσυμαι ἀμφοτέροισι ,μενοινώω δὲ καὶ οἶος
iliad,13,80,DDDDDA,ἕκτορι πριαμίδῃ ,ἄμοτον μεμαῶτι μάχεσθαι
iliad,13,81,SSDSDA,ὣς οἳ μὲν τοιαῦτα ,πρὸς ἀλλήλους ἀγόρευον
iliad,13,82,SDSDDA,‘χάρμῃ γηθόσυνοι ,τήν σφιν θεὸς ἔμβαλε θυμῷ
iliad,13,83,DDSDDA,τόφρα δὲ τοὺς ὄπιθεν ,γαιήοχος ὦρσεν ἀχαιούς
iliad,13,84,DDDSDA,οἳ παρὰ νηυσὶ θοῇσιν ,ἀνέψυχον φίλον ἦτορ
iliad,13,85,DDDDDA,τῶν ῥ ἅμα τ ἀργαλέῳ ,καμάτῳ φίλα γυῖα λέλυντο
iliad,13,86,DDDDDA,καί σφιν ἄχος κατὰ θυμὸν ,ἐγίγνετο δερκομένοισι
iliad,13,87,SDDDDA,τρῶας τοὶ μέγα τεῖχος ,ὑπερκατέβησαν ὁμίλῳ
iliad,13,88,SDDDDA,τοὺς οἵ γ εἰσορόωντες ,ὑπ ὀφρύσι δάκρυα λεῖβον
iliad,13,89,DSDDDA,οὐ γὰρ ἔφαν φεύξεσθαι ,ὑπ ἐκ κακοῦ ἀλλ ἐνοσίχθων
iliad,13,90,DDSDDA,ῥεῖα μετεισάμενος ,κρατερὰς ὄτρυνε φάλαγγας
iliad,13,91,DSSDDA,τεῦκρον ἔπι πρῶτον ,καὶ λήϊτον ἦλθε κελεύων
iliad,13,92,DSDDDA,πηνέλεών θ ἥρωα ,θόαντά τε δηΐπυρόν τε
iliad,13,93,DDDSDA,μηριόνην τε καὶ ἀντίλοχον ,μήστωρας ἀϋτῆς
iliad,13,94,DSDDDA,τοὺς ὅ γ ἐποτρύνων ,ἔπεα πτερόεντα προσηύδα
iliad,13,95,SSSDDA,‘αἰδὼς ἀργεῖοι ,κοῦροι νέοι ὔμμιν ἔγωγε
iliad,13,96,DDDDDA,μαρναμένοισι πέποιθα ,σαωσέμεναι νέας ἁμάς
iliad,13,97,SDDDDA,εἰ δ ὑμεῖς πολέμοιο ,μεθήσετε λευγαλέοιο
iliad,13,98,SDDSDA,νῦν δὴ εἴδεται ἦμαρ ,ὑπὸ τρώεσσι δαμῆναι
iliad,13,99,DDDSDA,ὢ πόποι ἦ μέγα θαῦμα ,τόδ ὀφθαλμοῖσιν ὁρῶμαι
iliad,13,100,DDDSDA,δεινόν ὃ οὔ ποτ ἔγωγε ,τελευτήσεσθαι ἔφασκον
iliad,13,101,DDDDDA,τρῶας ἐφ ἡμετέρας ,ἰέναι νέας οἳ τὸ πάρος περ
iliad,13,102,DDDDDA,φυζακινῇς ἐλάφοισιν ,ἐοίκεσαν αἵ τε καθ ὕλην
iliad,13,103,SDDSDA,θώων παρδαλίων ,τε λύκων τ ἤϊα πέλονται
iliad,13,104,SSDDDA,αὔτως ἠλάσκουσαι ,ἀνάλκιδες οὐδ ἔπι χάρμη
iliad,13,105,SSDSDA,ὣς τρῶες τὸ πρίν ,γε μένος καὶ χεῖρας ἀχαιῶν
iliad,13,106,SDDDSA,μίμνειν οὐκ ἐθέλεσκον ,ἐναντίον οὐδ ἠβαιόν
iliad,13,107,DDSDDA,νῦν δὲ ἑκὰς πόλιος ,κοίλῃς ἐπὶ νηυσὶ μάχονται
iliad,13,108,DDDDDA,ἡγεμόνος κακότητι ,μεθημοσύνῃσί τε λαῶν
iliad,13,109,SDDDDA,οἳ κείνῳ ἐρίσαντες ,ἀμυνέμεν οὐκ ἐθέλουσι
iliad,13,110,SDSSDA,νηῶν ὠκυπόρων ,ἀλλὰ κτείνονται ἀν αὐτάς
iliad,13,111,SSDDDA,ἀλλ εἰ δὴ καὶ πάμπαν ,ἐτήτυμον αἴτιός ἐστιν
iliad,13,112,SDSSDA,ἥρως ἀτρεΐδης ,εὐρὺ κρείων ἀγαμέμνων
iliad,13,113,DSDDDA,οὕνεκ ἀπητίμησε ,ποδώκεα πηλεΐωνα
iliad,13,114,SSDDDA,ἡμέας γ οὔ πως ἔστι ,μεθιέμεναι πολέμοιο
iliad,13,115,DDDSDA,ἀλλ ἀκεώμεθα θᾶσσον ,ἀκεσταί τοι φρένες ἐσθλῶν
iliad,13,116,SDDDDA,ὑμεῖς δ οὐκ ἔτι καλὰ ,μεθίετε θούριδος ἀλκῆς
iliad,13,117,DDDDDA,πάντες ἄριστοι ἐόντες ,ἀνὰ στρατόν οὐδ ἂν ἔγωγε
iliad,13,118,DSSDDA,ἀνδρὶ μαχεσσαίμην ,ὅς τις πολέμοιο μεθείη
iliad,13,119,DSDSDA,λυγρὸς ἐών ὑμῖν ,δὲ νεμεσσῶμαι περὶ κῆρι
iliad,13,120,DDDSDA,ὦ πέπονες τάχα δή ,τι κακὸν ποιήσετε μεῖζον
iliad,13,121,DDSDDA,τῇδε μεθημοσύνῃ ,ἀλλ ἐν φρεσὶ θέσθε ἕκαστος
iliad,13,122,SDSDDA,αἰδῶ καὶ νέμεσιν ,δὴ γὰρ μέγα νεῖκος ὄρωρεν
iliad,13,123,SDDDDA,ἕκτωρ δὴ παρὰ νηυσὶ ,βοὴν ἀγαθὸς πολεμίζει
iliad,13,124,DSDSDA,καρτερός ἔρρηξεν ,δὲ πύλας καὶ μακρὸν ὀχῆα
iliad,13,125,DDSDDA,ὥς ῥα κελευτιόων ,γαιήοχος ὦρσεν ἀχαιούς
iliad,13,126,DSSSDA,ἀμφὶ δ ἄρ αἴαντας ,δοιοὺς ἵσταντο φάλαγγες
iliad,13,127,DSDDDA,καρτεραί ἃς οὔτ ἄν ,κεν ἄρης ὀνόσαιτο μετελθὼν
iliad,13,128,DSSDDA,οὔτε κ ἀθηναίη ,λαοσσόος οἳ γὰρ ἄριστοι
iliad,13,129,SSDDDA,κρινθέντες τρῶάς ,τε καὶ ἕκτορα δῖον ἔμιμνον
