,word,iliad_24,odyssey_1,corpus
0,ἔτικτον,1,0,1
1,ἄειδε,0,3,10
2,ἐξιέναι,0,1,2
3,ἐξάρχους,1,0,1
4,ἔσσ,0,1,2
5,αἴ,5,2,158
6,ἄλοχον,1,1,19
7,ἀπεμνήσαντο,1,0,1
8,δῶμα,0,1,100
9,ἀνδράσιν,2,1,31
10,βούλευε,0,1,1
11,κατά,14,11,579
12,αἴθοπα,1,0,22
13,νόσφι,0,2,19
14,ἐλθόντι,1,0,2
15,ὅσση,1,0,3
16,φίλων,1,2,27
17,ἐξείποι,1,0,1
18,νήπια,1,0,15
19,βούβρωστις,1,0,1
20,ποτ,2,1,103
21,κρειῶν,0,1,14
22,ἐστι,2,1,53
23,ἔην,4,0,73
24,Ἀτρεΐδης,1,0,77
25,τίεν,0,1,5
26,λοῦσαν,1,0,5
27,κάλυμμ,1,0,1
28,Ὀλύμπιος,3,0,21
29,πεφευγότες,0,1,1
30,μεθήσει,0,1,2
31,θαμβήσασα,0,1,2
32,οὔρεσιν,1,0,5
33,δῶ,0,2,25
34,Μενοιτιάδαο,1,0,10
35,θηρητῆρ,1,0,1
36,οὗτος,1,2,34
37,Ὀλυμπίου,0,1,4
38,ἅμα,11,2,140
39,ἀπηύρα,1,0,19
40,θείης,1,0,1
41,κλαίωμεν,1,0,2
42,ὠκέας,1,0,22
43,αὐτοῖο,1,1,11
44,πτολιπόρθῳ,1,0,4
45,εἶπες,1,0,4
46,τίπτε,0,1,24
47,ἐπιθήματα,1,0,1
48,μήτηρ,5,2,108
49,κατέδησαν,1,0,5
50,Ἕκτορι,2,0,66
51,ἀλλότριον,0,1,2
52,γαῖαν,4,3,164
53,κατακείαται,1,0,1
54,βροτοί,1,1,15
55,ἀϊχθήτην,1,0,1
56,ἔτλης,1,0,8
57,ὀνείαθ,1,1,14
58,σά,1,0,13
59,Ἑκάβην,1,0,1
60,αὐτή,4,0,60
61,ἐλάσσας,1,0,2
62,τρόμος,1,0,15
63,σόα,1,0,2
64,τινά,2,0,33
65,ἔλων,1,0,2
66,παντοίων,0,1,6
67,ἐπικρατέουσιν,0,1,4
68,εὐχόμενος,1,0,31
69,κεῖνος,2,2,57
70,ἅρμα,1,0,13
71,ναίει,0,1,8
72,μοῖραν,1,0,48
73,μάντιές,1,0,1
74,κεδνάς,1,0,1
75,ὑπερέσχεθε,1,0,2
76,παιδί,0,2,26
77,ῥέζοι,0,1,6
78,ἦμος,1,0,38
79,λιπαρά,0,1,5
80,μολπή,0,1,1
81,ἄξιον,0,1,8
82,πλευράς,1,0,3
83,οὐχ,2,0,53
84,ἐτήτυμον,0,1,11
85,κληῖδ,0,1,1
86,φάγον,1,0,3
87,κεῖνον,1,3,26
88,λυγρῶν,1,0,2
89,λήθετ,1,0,6
90,δειδιότες,1,0,6
91,Μυρμιδόνων,1,0,12
92,οἷόν,0,1,12
93,ὑπέμνησέν,0,1,1
94,ἐννέα,1,0,16
95,τοῖσίν,0,1,4
96,τρυχόμενός,0,1,2
97,δάκρυ,5,0,52
98,Τηλέμαχος,0,11,123
99,καλλιπάρῃος,1,0,6
100,νεωτέρου,1,0,1
101,σήν,2,0,24
102,φρονέουσα,1,0,4
103,ταχύν,2,0,14
104,Θέτι,2,0,5
105,οἱ,25,38,1130
106,ὄφρα,5,5,197
107,ἐπείθετο,1,0,6
108,λελείψεται,1,0,1
109,δοῦρε,0,1,13
110,ξανθόν,0,1,2
111,ὕμιν,0,2,3
112,ζευγνύσθην,1,0,1
113,ἀλεῖψαι,1,0,2
114,πίσυνος,2,0,5
