,word,iliad_1,odyssey_1,corpus
219,χραίσμῃ,1,0,3
220,ἀπάνευθε,3,0,35
221,δαιδάλεον,0,1,3
222,ἄνακτος,2,0,71
223,ἱλασόμεσθα,1,0,1
224,ἔριδι,1,0,7
225,τό,15,1,296
226,ὅν,6,5,214
227,ἀμύμονος,0,1,41
228,κελόμην,1,0,5
229,λύσαιτε,1,0,1
230,καθῆστο,1,0,2
231,ἄλκιμος,0,1,18
232,αἴθ,1,0,13
233,ὀλέσῃς,1,0,1
234,ἔργα,2,2,127
235,Ἀχιλλεύς,12,0,173
236,ἐπιτηδές,1,0,2
237,κρήγυον,1,0,1
238,ὀμφαλός,0,1,1
239,ἄμμε,1,0,13
240,δέμας,1,0,42
241,πέλεται,1,1,10
242,ἐκπέρσωσ,1,0,1
243,κοιμᾶθ,1,0,2
244,βαῖνον,1,0,5
245,ἐναλίγκιος,0,1,9
246,ἐμοί,6,2,169
247,εἵνεκα,3,0,47
248,οὔρεά,1,0,1
249,καλόν,1,6,67
250,ἔτεκές,1,0,1
251,ἀπάνευθεν,0,1,9
252,προέρυσσεν,1,0,1
253,ἐρέτας,2,0,4
254,ἡγήτορι,0,1,3
255,ἀπορραίσει,0,1,1
256,τεταρπόμενός,0,1,1
257,ποίης,0,1,3
258,τίσειαν,1,0,1
259,μηροῦ,1,0,16
260,ὀρχηστύς,0,1,1
261,στέμματ,2,0,2
262,Δαναοῖσιν,2,0,16
263,λόγοισιν,0,1,1
264,ῥέξας,1,0,7
265,δεύτατος,0,1,2
266,τραπέζας,0,1,9
267,οἶος,1,2,66
268,ἐρέοντο,1,0,5
269,ἠρήσατο,1,0,4
270,αὔριον,0,1,10
271,ὕπατε,0,2,4
272,νέηαι,1,0,1
273,ἀνείρεαι,0,1,8
274,ἔφησθα,1,0,4
275,ἥνδανε,2,0,11
276,ἀταρτηροῖς,1,0,1
277,ἄγων,3,1,32
278,Ἴλου,0,1,4
279,θεράποντες,0,1,19
280,φθινύθεσκε,1,0,1
281,αὐτοῦ,3,1,172
282,ἁζόμενοι,1,0,2
283,χωομένοιο,1,0,4
284,ἄναξ,4,1,93
285,ἦλθεν,0,1,48
286,θ,6,0,219
287,ξυνίει,0,1,5
288,ἀγάννιφον,1,0,2
289,ἀλόχῳ,1,1,15
290,ὅσσα,0,2,26
291,οὕς,0,2,59
292,ἐπελθών,0,1,15
293,θέσαν,1,0,20
294,Φόρκυνος,0,1,3
295,κείνῳ,0,1,15
296,κῆρυξ,0,2,35
297,Διί,2,0,78
298,δέχθαι,2,0,2
299,δεσμῶν,1,0,2
300,στέμμα,1,0,1
301,ᾤχετο,2,1,16
302,θύγατρα,3,0,7
303,ἔοικας,0,1,12
304,ἄρσας,0,1,1
305,κείμενα,1,0,2
306,φάρμακον,0,1,8
307,ἀπατηλόν,1,0,1
308,φρένας,2,1,61
309,ἴμεν,1,1,57
310,κάρη,0,1,71
311,ἀοιδόν,0,2,11
312,λάβε,2,0,24
313,πᾶν,2,0,26
314,μνάασθαι,0,1,1
315,ἠτίμησεν,2,0,3
316,καρπαλίμως,2,0,42
317,νίζον,0,1,1
318,τελέσσω,1,0,2
319,ἵλαος,1,0,2
320,αὐτίκ,2,0,80
321,ὑγρήν,0,1,7
322,ἐφθίαθ,1,0,1
323,πολύφρονα,0,1,5
324,ἀποπαύεο,1,0,1
325,ἀνηρείψαντο,0,1,5
326,εὐνάς,1,0,8
327,ἰών,3,0,88
328,νῆσος,0,1,5
329,τεῦχε,1,0,5
330,λιλαιόμενόν,0,1,1
331,ἀντιόωσαν,1,0,1
332,παρήμενος,2,2,8
333,πρότερος,1,0,33
334,ὅτε,5,3,390
335,ἥλοισι,1,0,2
336,χέρνιβα,0,1,7
337,ἐμῶν,0,2,8
338,ἐντός,1,0,21
339,νέηται,0,2,3
340,ἀλεγύνετε,0,1,3
341,ἔξαγε,1,0,1
342,μνήσασα,1,0,1
343,ἀνελών,1,0,2
344,καθεζώμεσθα,0,1,2
345,προΐει,2,0,21
346,Ἥφαιστος,2,0,23
347,Μερμερίδαο—,0,1,1
348,ἄλλους,1,0,55
349,ὅρκος,1,0,3
350,κάλλιπεν,0,1,3
351,νηυσί,7,1,96
352,χεῖρ,0,1,16
353,Φήμιε,0,1,1
354,οἰωνοπόλων,1,0,2
355,ἐμῇ,1,0,11
356,ἔχθιστος,1,0,4
357,ἱερά,1,1,14
358,οὔτ,4,5,134
359,ὀνειροπόλον,1,0,1
360,ἀχνύμενος,1,0,7
361,πόθι,0,1,6
362,θυμῷ,7,5,230
363,ἠέ,3,5,190
364,δῶκεν,0,2,24
365,ὅδ,1,3,29
366,κομίσαντο,1,0,1
367,ἠέλιος,1,0,34
368,Μέντῃ,0,1,2
369,καρτίστοις,1,0,1
370,ἠώς,1,0,25
371,φύντες,0,1,3
372,νύμφη,0,2,11
373,παλιμπλαγχθέντας,1,0,1
374,κατέρεξεν,1,0,6
375,δέος,1,0,22
376,μέγαν,3,1,74
377,ποικίλον,0,1,10
378,νοστῆσαι,0,1,5
379,ὀλέκοντο,1,0,1
380,ἐπέσσυται,1,0,3
381,φλοιόν,1,0,1
382,τεκοῦσα,1,0,1
383,ὑπ,1,0,140
384,τεύξουσι,0,1,3
385,Ἀθηναίης,1,0,15
386,παλαιοί,0,1,2
387,μελαίνῃ,3,0,39
388,φάσθαι,1,0,11
389,ὄφελλεν,1,0,2
390,φίλῃ,3,0,8
391,ἱερεύς,1,0,1
392,ἔρανος,0,1,1
393,ἄγχι,0,1,54
394,θεοείκελ,1,0,2
395,ἑκάτοιο,1,0,4
396,δολομῆτα,1,0,1
397,ἧος,1,0,22
398,εἰ,16,9,399
399,ἑσπόμεθ,1,0,1
400,σύν,8,2,214
401,κούρην,4,0,21
402,αἰπύν,0,2,25
403,κάματος,0,1,6
404,ἔριδος,2,0,17
405,σύμπαντας,1,0,1
406,ἤγαγον,0,1,10
407,δύναται,0,1,16
408,διά,2,0,168
409,ἀνάσσοι,0,1,2
410,Λήμνῳ,1,0,3
411,βωμόν,2,0,6
412,κακῷ,0,1,10
413,χαλκοβατές,1,0,6
414,μίστυλλόν,1,0,8
415,Εὐρυβάτην,1,0,1
416,μεθομίλεον,1,0,1
417,χραίσμωσιν,1,0,1
418,παρέσσεται,1,0,4
419,ἀρνεῖται,0,1,2
420,οὐδ,15,4,482
421,Ἀχιλεύς,1,0,35
422,ἄνωγα,0,1,13
423,ἀνέρας,1,0,17
424,τάνυσσαν,1,0,3
425,κυνός,1,0,3
426,πέφραδ,0,1,6
427,μητέρα,0,2,23
428,ἔκλυε,3,0,14
429,Ταφίων,0,1,2
430,ἐπιβώσομαι,0,1,2
431,ἀείδοντες,1,0,2
432,βασιλεύς,3,0,14
433,ἀναβάς,1,0,7
434,οἴχετ,0,1,3
435,λιμένος,1,0,13
436,σφῶϊ,1,0,10
437,νεμεσήσεαι,0,2,3
438,ἀρήγειν,1,0,2
439,οἰωνῶν,0,1,4
440,δέσματ,0,1,1
441,ἐνῆεν,1,0,1
442,ἵκανεν,1,0,13
443,σφιν,3,1,103
444,Τρώεσσιν,2,0,49
445,νεωτέρω,1,0,1
446,οἰνοχόει,1,0,2
447,κοτέσσεται,0,1,3
448,Ἠετίωνος,1,0,10
449,ἔσεαι,1,0,2
450,δυνήσεται,0,1,5
451,θυγάτηρ,2,4,52
452,κήδετο,1,0,4
453,ἠδέ,2,6,318
454,κρατέειν,1,0,1
455,Ἀγχιάλοιο,0,2,2
456,ἔχειν,1,0,9
457,Ἰθάκηνδ,0,1,1
458,ἠπείλησεν,1,0,4
459,Θησέα,1,0,2
460,πρῶτος,1,1,54
461,Ὀδυσῆος,1,4,64
462,ἑλόντ,1,0,2
463,κρατέει,1,0,4
464,ἕκαστα,1,0,36
465,εἰλαπίνη,0,1,1
466,ὄναρ,1,0,4
467,σχίζῃς,1,0,2
468,εἶπας,2,0,3
469,φέρει,0,2,17
470,ἴσαν,1,1,35
471,εἶναι,3,8,137
472,Διΐ,2,0,17
473,νοῆσαι,2,1,9
474,λαῶν,3,0,106
475,Ἥρη,11,0,99
476,μεγάθυμοι,2,0,9
477,πόποι,1,2,51
478,ἀγέμεν,2,0,7
479,ἀμείνων,1,0,20
480,ἔπε,0,1,6
481,αἰγῶν,3,0,21
482,λῆγ,2,0,3
483,ξείνοιο,0,1,5
484,ἀλφηστῇσιν,0,1,1
485,εἴποι,1,0,11
486,πίθηαι,1,1,4
487,ἐπεπείθεθ,1,0,3
488,κεῖσε,0,1,8
489,λήσομαι,0,1,1
490,καλέουσι,1,0,7
491,ἔδωκε,0,1,34
492,ἀγόρευεν,0,1,6
493,ἶσα,0,1,14
494,πρῶτον,2,0,87
495,λοεσσάμενός,0,1,2
496,ἐπιχθόνιοι,1,0,1
497,θεός,2,0,131
498,ἔπειτ,6,2,103
499,Ὀρέσταο,0,1,1
500,πολύ,5,1,107
501,μειδήσασα,1,0,2
502,ἵν,0,1,46
503,ἕζετ,1,0,17
504,γῆμ,0,1,1
505,ἔπειτα,9,11,349
506,εἴσεται,1,0,4
507,πολύμητις,2,0,85
508,πυρί,1,0,56
509,οἴη,1,1,19
510,λίπ,1,0,14
511,ὑμά,0,1,2
512,ἄρα,6,4,575
513,ἡμέων,0,1,9
514,ὦ,4,2,179
515,ἐλαφρότεροι,0,1,1
516,ὀφρύσι,1,0,15
517,ἐμά,1,0,15
518,μόρον,0,3,14
519,ἐφεστάμεν,0,1,1
520,περί,8,5,354
521,οἶκος,0,1,9
522,ἀκούοντες,0,1,4
523,ἀπ,2,0,106
524,μάχεσθαι,3,0,105
525,ὠκύς,6,0,39
526,ποτί,2,0,65
527,ποίησεν,1,0,2
528,ἐόντος,0,1,16
529,ἐφήσεις,1,0,2
530,ἀθανάτοισιν,3,1,33
531,ὁ,2,8,298
532,πανημέριοι,1,0,6
533,αἰεί,6,5,163
534,κειμήλιον,0,1,4
535,κατέρυκε,0,1,11
536,τέ,4,7,117
537,Ἀχαιΐδα,1,0,6
538,θοῆς,0,1,4
539,ἐρέω,4,0,64
540,κιών,1,0,27
541,κόμιζε,0,1,3
542,δίπτυχα,1,0,4
543,πόλλ,0,2,59
544,φίλα,1,1,34
545,ἀπέτισεν,0,1,2
546,τηλόθ,0,1,5
547,προθέουσιν,1,0,1
548,ἤθελον,1,0,7
549,ἑκάεργος,1,0,12
550,σύ,20,2,373
551,ἐτέλεσσας,1,0,2
552,οὐλομένην,1,0,3
553,τοῦτο,2,2,41
554,κοιμήσαντο,1,0,8
555,κλαῖεν,0,1,6
556,ἀνάποινον,1,0,1
557,ἔφ,1,0,3
558,ἐπιειμένε,1,0,1
559,τεόν,2,0,19
560,πεσόντα,1,0,12
561,μετέφη,1,0,14
562,ἤν,2,2,31
563,αἶψά,1,1,16
564,μέλας,0,1,2
565,ἐρέουσα,1,0,4
566,ταῦθ,1,0,10
567,μαλακοῖσι,0,1,2
568,ὑπελύσαο,1,0,1
569,ἀδάκρυτος,1,0,1
570,ἐδήσατο,0,1,12
571,μετάλλα,1,0,3
572,ποθέεσκε,1,0,1
573,σπλάγχνα,1,0,7
574,Ἐξάδιόν,1,0,1
575,εἴπῃς,2,0,4
576,θαλπωρή,0,1,3
577,πεπνυμένον,0,1,3
578,ἐπαλαστήσασα,0,1,1
579,λυγρόν,0,1,16
580,τρύχουσι,0,1,3
581,κτεινομένους,1,0,3
582,χρή,1,2,55
583,ταλασίφρονος,0,2,11
584,πεσσοῖσι,0,1,1
585,βασιλῆες,0,1,16
586,ἀποιχομένου,0,1,1
587,μητιόωντες,0,1,2
588,ἐποτρύνω,0,1,2
589,ῥέζων,0,1,4
590,ἐλεύσεσθαι,0,1,11
591,κραδίην,2,0,15
592,Πηλεΐδη,1,0,6
593,ἐποίχεσθαι,0,1,6
594,ὡς,6,5,539
595,θεράποντε,1,0,6
596,ἡμῖν,4,2,69
597,δικαζέμεν,1,0,1
598,νόος,0,1,40
599,ἀγορήν,3,2,33
600,πάροιθ,2,0,6
601,ἐκ,10,8,557
602,ἀνδροφόνον,0,1,1
603,βλάπτουσι,0,1,1
604,τηλόθι,1,0,9
605,ἡδύν,0,1,7
606,σύνθεο,1,0,9
607,μενέαινεν,0,1,2
608,ἀντιάσας,1,0,1
609,βασιλῆϊ,2,0,12
610,φῶτες,0,1,5
611,ἐμόν,4,2,104
612,μελήσεται,1,0,1
613,δυωδεκάτη,1,0,6
614,καταπέψῃ,1,0,1
615,τοί,2,4,171
616,ἀμῦναι,3,0,9
617,ἄχος,1,0,45
618,ὑβρίζοντες,0,1,6
619,ἐστόν,1,0,3
620,προσέειπε,6,2,128
621,πλεόνεσσι,1,0,9
622,τί,11,4,219
623,ἐκπάγλως,1,0,8
624,Ἠελίοιο,0,1,13
625,περιφραζώμεθα,0,1,1
626,Νηίῳ,0,1,1
627,δυσμόρῳ,0,1,3
628,εἴσιδ,0,1,1
629,θῖνα,1,0,18
630,πόνου,1,0,9
631,ἀντιβίην,1,0,3
632,οὐρῆας,1,0,1
633,Νέστορα,0,1,9
634,ἕν,0,1,8
635,ἀλεγίζεις,1,0,1
636,φιλοκτεανώτατε,1,0,1
637,βασιλῆα,1,1,20
638,ἐφ,0,1,47
639,ἐχεπευκές,1,0,2
640,ἀντάξιον,1,0,2
641,ἡδυεπής,1,0,1
642,ξύν,0,1,9
643,ἐμπάζεο,0,2,2
644,γενεῇ,0,1,12
645,Ἀχιλλεῦ,1,0,22
646,τόδ,1,2,47
647,ἵππους,1,0,194
648,δοκέουσι,0,1,2
649,ἀρήξειν,1,0,2
650,ἄξω,1,0,4
651,κυλίνδει,0,1,2
652,βωτιανείρῃ,1,0,1
653,ἐμῷ,1,0,39
654,νήποινον,0,2,6
655,πεπίθοιμεν,1,0,1
656,ᾧ,3,2,92
657,εἵλετο,0,1,38
658,ἑκατόμβας,1,0,20
659,κόμης,1,0,1
660,ἔπεα,1,1,128
661,εἴπω,0,2,48
662,ὀμίχλη,1,0,1
663,ἕλωμαι,2,0,5
664,Πριάμοιο,1,0,69
665,τίμησόν,1,0,1
666,φορμίζων,0,1,3
667,ἑλίκωπες,1,0,3
668,θρόνον,0,1,10
669,ἐυξόου,0,1,1
670,ἡμένη,1,0,3
671,στεναχίζω,0,1,4
672,νώμησαν,1,0,4
673,Φθίην,1,0,8
674,θύρην,0,1,8
675,βασιλῆος,2,0,20
676,δαμᾷ,1,0,1
677,ὅππως,1,2,19
678,ὀλίγος,1,0,4
679,εὐρύ,3,1,39
680,κάμω,1,0,1
681,σφοῦ,1,0,1
682,ἀναφαίνεις,1,0,1
683,ἔδειραν,1,0,3
684,Ἀτρεΐδα,2,0,3
685,λιλαιομένη,0,1,5
686,σφάζουσι,0,1,2
687,πόρε,1,0,24
688,τηλεκλυτός,0,1,1
689,φώς,0,1,18
690,κίονα,0,1,5
691,κῆρ,3,2,75
692,μέν,48,36,1880
693,ἠχήεσσα,1,0,1
694,μέγ,2,0,64
695,Αἴας,1,0,98
696,φίλης,0,2,11
697,Νέστωρ,1,0,59
698,χέων,1,0,8
699,ἕζετο,4,1,32
700,εἵνεκ,1,0,13
701,μεγάλ,2,0,18
702,ἔτισας,1,0,1
703,θείοιο,0,1,43
704,γέρας,13,0,39
705,βρῶσίν,0,1,5
706,ἀνέρι,0,1,9
707,ἀλωῆς,0,1,8
708,ἰσόθεος,0,1,14
709,πατρώιος,0,1,1
710,ἐστέ,1,0,5
711,κέ,2,2,113
712,φύγεν,0,1,12
713,δμώων,0,1,11
714,ἔδεισεν,2,0,8
715,λεύσσετε,1,0,1
716,ὤμοισιν,1,0,24
717,φέριστε,0,1,5
718,ἑρπύζοντ,0,1,1
719,ἀποτείσομεν,1,0,1
720,ἱλάσκεσθαι,1,0,1
721,μῆλ,0,1,6
722,ὀλίγον,1,0,20
723,ἀσκελές,0,1,2
724,αἰνά,1,0,4
725,θέσπιν,0,1,3
726,μαντοσύνην,1,0,1
727,μῆρε,1,0,2
728,Κάλχας,1,0,4
729,τότε,7,1,170
730,ἄλγε,2,1,22
731,νύ,4,6,117
732,πότνι,0,1,3
733,πόλις,0,1,28
734,θαρσήσας,1,0,4
735,ἑλοῦσα,1,0,14
736,ἄγουσι,1,0,4
737,τοῦδ,1,0,8
738,πόντῳ,0,2,43
739,ἐγώ,18,8,528
740,Ἴλιον,1,0,85
741,ὠκύμοροί,0,1,3
742,κάκιστον,0,1,1
743,νηός,3,2,96
744,ποτε,7,3,77
745,ἀπειπέμεν,0,1,1
746,προκείμενα,0,1,14
747,σκήπτρῳ,2,0,8
748,πτόλεμόν,1,0,2
749,περ,15,8,494
750,ξύνιεν,1,0,1
751,θεόν,2,2,33
752,Βριάρεων,1,0,1
753,κατέδυ,2,0,12
754,μαχεσσαμένω,1,0,1
755,προτόνοισιν,1,0,3
756,ξεῖνον,0,1,36
757,βουλήν,1,1,27
758,ἄλλοισιν,1,0,8
759,γέροντ,0,1,1
760,θνητῶν,2,1,11
761,δαιτός,3,1,23
762,ἐσσι,3,2,50
763,παρέζεο,1,0,1
764,Δαναῶν,4,1,71
765,ἐξεπράθομεν,1,0,1
766,κνίσῃ,1,0,5
767,κατερύκεται,0,1,3
768,ἀνάσσοις,0,1,1
769,συμπάντων,1,0,2
770,ἀναβᾶσα,0,1,6
771,Χρυσηΐδα,4,0,4
772,Ὀδυσῆι,0,2,7
773,Ζεῦ,2,1,51
774,πᾶσιν,4,1,68
775,Χρύσην,6,0,6
776,ἀγορεύεις,1,1,36
777,Πυλίων,1,0,9
778,χολωθείς,1,0,7
779,καλλιπάρῃον,6,0,8
780,ἤϊε,2,0,9
781,πόδας,6,1,85
782,ἔθεσαν,1,0,5
783,διογενές,1,0,31
784,ἕκαστος,1,1,66
785,ἡ,0,6,146
786,παρ,1,2,111
787,Εὐρύμαχος,0,1,15
788,αὐτῶν,1,2,47
789,ἀργεϊφόντην,0,2,5
790,εἴσω,1,0,52
791,αὐδή,1,0,2
792,Ζεύς,11,3,253
793,μυθήσασθαι,2,0,18
794,μυθήσεαι,0,1,2
795,ἐγείνατο,0,1,5
796,βλεφάροισι,0,1,8
797,ἰφθίμους,1,0,3
798,ἐμεῖο,4,0,51
799,ἔχετ,1,0,5
800,ἐφορμᾶται,0,1,4
801,ἱστόν,3,1,39
802,κίθαρις,0,1,3
803,ὑψιβρεμέτης,1,0,6
804,δεύῃ,0,1,1
805,ἔχω,1,0,9
806,ἐελδόμενος,0,1,1
807,ἔκρινεν,1,0,1
808,ἵει,1,0,13
809,τῳ,1,0,6
810,Κρονίωνα,2,0,10
811,ἔσται,4,2,57
812,ἐθέλω,1,1,22
813,πίθηται,1,0,2
814,αἶψα,1,0,96
815,ἅμ,1,2,117
816,ἄλλο,1,0,60
817,εὔξαντο,1,0,4
818,ἐπασσύτεροι,1,0,2
819,λίσσομ,1,0,4
820,κέλεαι,1,0,9
821,τόνδ,1,0,11
822,ἀποείπω,0,1,1
823,ἀρησαίατ,0,1,1
824,Ἀχιλῆα,1,0,23
825,Ὀλύμπου,1,0,5
826,τι,17,6,408
827,πτύξασα,0,1,2
828,ἐκεῖνος,0,1,6
829,συμφράσσατο,2,0,4
830,ἀποδοῦναι,1,0,3
831,ἐν,26,27,1417
832,ἄμυνον,1,0,3
833,μητρός,0,1,25
834,ἀείδειν,0,2,6
835,Κύκλωπος,0,1,3
836,ἐπικρήηνον,1,0,3
837,ἔστων,1,1,2
838,μεῖζον,1,0,14
839,εὖτ,1,1,15
840,ἀντιβίοισι,1,0,1
841,Ὀδυσῆα,0,4,59
842,ποῦ,0,1,14
843,ἀμφί,1,0,264
844,καθίκετο,0,1,1
845,ἄκουσα,1,0,10
846,Ἀγαμεμνονίδης,0,1,1
847,γενοίατο,0,1,4
848,μεμαῶτα,1,0,20
849,πόλεμοί,1,0,2
850,φάος,1,0,34
851,ἀργαλέος,1,0,4
852,ἀρχῆς,0,1,5
853,ἄφαρ,2,1,34
854,ἄκοιτιν,0,1,18
855,ἀνθρώποισιν,0,1,19
856,ἱκέσθην,1,0,6
857,Μουσάων,1,0,1
858,πρώτιστα,1,0,10
859,ὀίομαι,0,1,4
860,διέτμαγεν,1,0,5
861,ἔρχεσθ,0,1,10
862,ἀπώσει,1,0,1
863,Ἀργείων,2,2,70
864,ἐτράπετ,1,0,9
865,ἄπο,0,1,50
866,γενεήν,0,1,17
867,Σίντιες,1,0,1
868,ἀγλαά,3,0,33
869,μεθέπεις,0,1,1
870,τιμήσῃς,1,0,1
871,ὕστατα,1,0,7
872,ταμίη,0,1,18
873,Ποσειδάων,1,3,53
874,ἀνέστη,2,0,21
875,δυνήσεαι,2,0,3
876,μνῶνται,0,1,6
877,πλεῖον,1,0,5
878,τηλίκος,0,1,4
879,ἄλλοι,6,7,176
880,διχθά,0,1,2
881,ξεῖνε,0,3,43
882,γλαφυροῖσι,0,2,6
883,σέ,0,3,75
884,ποιῆσαι,0,1,4
885,ταῦτα,4,6,95
886,μευ,3,0,65
887,δύ,0,1,27
