,word,iliad_1,odyssey_1,corpus
0,ἄειδε,1,3,10
1,βούλεται,1,0,5
2,ἐξιέναι,0,1,2
3,ἐποίσει,1,0,2
4,εὐτείχεον,1,0,6
5,ἔσσ,0,1,2
6,αἴ,5,2,158
7,ἄλοχον,0,1,19
8,δῶμα,3,1,100
9,ἀνδράσιν,2,1,31
10,χρυσείοις,1,0,2
11,βούλευε,0,1,1
12,κατά,18,11,579
13,νόσφι,1,2,19
14,αἴθοπα,1,0,22
15,πωλέσκετο,1,0,3
16,φίλων,0,2,27
17,ποτ,7,1,103
18,εἰρύαται,1,0,4
19,ἴδωμαι,2,0,9
20,δόντες,1,0,3
21,κρειῶν,0,1,14
22,ἐστι,3,1,53
23,Ἀτρεΐδης,8,0,77
24,ἐλαύνετον,1,0,1
25,τίεν,0,1,5
26,Μυρμιδόνεσσιν,1,0,6
27,Ὀλύμπιος,5,0,21
28,πρῆσεν,1,0,1
29,πεφευγότες,0,1,1
30,μεθήσει,0,1,2
31,θαμβήσασα,0,1,2
32,δῶ,1,2,25
33,Ὀλυμπίου,0,1,4
34,οὗτος,0,2,34
35,ἅμα,9,2,140
36,αὐτοῖο,2,1,11
37,φερόμην,1,0,8
38,τίπτε,0,1,24
39,ποιμένα,1,0,29
40,μήτηρ,2,2,108
41,ἀλλότριον,0,1,2
42,γαῖαν,1,3,164
43,βροτοί,1,1,15
44,ὀνείαθ,0,1,14
45,μίνυνθά,1,0,8
46,αὐτή,1,0,60
47,ἶσον,2,0,20
48,παντοίων,0,1,6
49,ἐπικρατέουσιν,0,1,4
50,εὐχόμενος,3,0,31
51,παῖδά,1,0,7
52,κεῖνος,0,2,57
53,φράζεαι,1,0,1
54,ναίει,0,1,8
55,μυρί,1,0,6
56,μοῖραν,1,0,48
57,παιδί,0,2,26
58,ῥέζοι,0,1,6
59,ἦμος,2,0,38
60,λιπαρά,0,1,5
61,μολπή,0,1,1
62,ἄξιον,0,1,8
63,ἐτήτυμον,1,1,11
64,ἀγορητής,1,0,4
65,κληῖδ,0,1,1
66,γλυκίων,1,0,4
67,κεῖνον,0,3,26
68,λήθετ,1,0,6
69,Μυρμιδόνων,1,0,12
70,οἷόν,0,1,12
71,ὑπέμνησέν,0,1,1
72,τοῖσίν,0,1,4
73,τρυχόμενός,0,1,2
74,δάκρυ,3,0,52
75,ἄτην,1,0,8
76,τῆσδε,1,0,2
77,Κίλλαν,1,0,1
78,Τηλέμαχος,0,11,123
79,ὕμιν,0,2,3
80,οἱ,13,38,1130
81,ἐπείθετο,1,0,6
82,ὄφρα,6,5,197
83,δάσσαντο,1,0,1
84,δοῦρε,0,1,13
85,ξανθόν,0,1,2
86,βοητύς,0,1,1
87,ἔνδοθι,1,0,13
88,θυμός,4,2,222
89,διογενής,1,0,13
90,τήν,17,9,318
91,ἀρνύμενοι,1,0,1
92,νέοι,1,1,21
93,νήποινοί,0,1,2
94,μετέειπεν,2,0,21
95,ἄστεα,0,1,4
96,ὦχ,1,0,2
97,ὀνείδεα,1,0,7
98,ἱστοδόκῃ,1,0,1
99,λάβῃσιν,0,1,3
100,λέβητος,0,1,7
101,στίχας,0,1,31
102,θῆκε,1,1,38
103,κύπελλον,1,0,2
104,ἠδ,6,6,205
105,ἔτελλε,3,0,4
106,ὑψοῦ,1,0,9
107,Διός,11,3,255
108,οἶκόνδε,0,4,18
109,χεῖρας,4,3,117
110,ἕσπερος,0,1,3
111,ναῦται,0,1,7
112,κλείουσιν,0,1,1
113,ἐριζέμεναι,1,0,4
114,λίσσετο,2,0,3
115,λῆγε,1,0,2
116,φίλην,3,1,54
117,ἥψατο,1,0,4
118,ἑξείης,1,1,23
119,ἔεδνα,0,1,4
120,ἔρχεσθον,1,0,1
121,οἶον,0,2,33
122,τοῦ,5,10,228
123,κυνῶπα,1,0,1
124,στείρῃ,1,0,2
125,ἑτάρους,0,2,26
126,κατήλυθον,0,1,7
127,Τροίης,0,2,14
128,ἀτρεκέως,0,5,32
129,ἀρχός,2,0,9
130,δαΐφρονι,0,1,13
131,θεοῖο,3,0,16
132,νόστος,0,1,6
133,πατέρ,0,2,28
134,ἔχῃσιν,0,3,4
135,ἕνεκά,1,0,1
136,ἀχνύμενός,2,0,13
137,ὑψαγόρην,0,1,1
138,αὐτῆς,0,1,40
139,σταίη,0,1,1
140,ἐτάνυσσε,0,1,13
141,κηδομένη,3,0,6
142,Κρονίδη,1,2,10
143,Ἄϊδι,1,0,7
144,μάντιν,1,0,3
145,ἤϊ,1,0,2
146,ἅρπυιαι,0,1,3
147,ἥμιν,1,0,2
148,ἠπείροιο,1,0,9
149,ἐρίσαντε,1,0,1
150,ἐλέαιρον,0,1,1
151,οὐκί,0,1,10
152,καθ,0,1,41
153,ἠρήσαντο,0,1,7
154,ἦν,0,1,78
155,προβάλοντο,1,0,4
156,Ταφίοισι,0,2,2
157,μεγάροισι,1,2,75
158,μάλα,7,5,330
159,φέρουσα,0,2,23
160,ἀποτμότατος,0,1,1
161,νεικεῖ,1,0,1
162,δουροδόκης,0,1,1
163,ὀψιγόνων,0,1,4
164,Αἰθίοπας,0,2,2
165,ἑκατηβελέταο,1,0,1
166,ὑπερφιάλως,0,1,8
167,προσέφη,9,3,213
168,ἔτος,0,1,11
169,μεθέμεν,1,0,2
170,θεοπροπέων,1,0,3
171,ἐξ,6,7,276
172,παρέζετο,1,0,1
173,ἐπ,7,8,395
174,τιμήσουσι,1,0,3
175,τερπομένοισι,0,1,2
176,ὄρνις,0,1,14
177,ἔγχος,0,4,129
178,παῦε,1,0,2
179,ἔχε,0,1,56
180,τάδ,1,0,14
181,ἄιστος,0,1,1
182,πάϊς,0,2,78
183,εἴη,0,1,98
184,ἐρχομένοιο,0,1,3
185,φασι,0,2,12
186,ἀπείρονα,1,1,11
187,προβέβουλα,1,0,1
188,ἀρέσθαι,0,1,12
189,οἴῳ,1,0,11
190,ἑταίρων,0,1,38
191,ἄνδρεσσι,0,1,12
192,ὄλοισθε,0,1,2
193,ἕζοντο,0,1,6
194,σφώ,1,0,4
195,ἑκάεργον,2,0,2
196,ἀμβρόσια,0,1,3
197,ἀνέδυ,1,0,2
198,ἔχοντες,1,1,53
199,λεχέεσσι,0,1,12
200,κατ,4,1,148
201,ἵκοντο,2,0,40
202,ὁρᾶτο,2,0,3
203,στήτην,1,0,5
204,Κυκλώπεσσι,0,1,3
205,κίῃς,0,1,1
206,ἔλλαβε,0,1,16
207,ἀθανάτην,0,1,2
208,σπέσσι,0,2,7
209,ἀπηνέος,1,0,1
210,ἀσχαλόωσι,0,1,2
211,ἀκέων,2,0,13
212,ἄλλας,0,1,8
213,πέτασσαν,1,0,3
214,πύθεται,0,1,2
215,ἔπεισιν,1,0,3
216,ὁπποίης,0,1,2
217,μέλλεν,0,1,4
218,κρήδεμνα,0,1,7
