,text,book,TTR,RTTR,CTTR,LR-MSTTR,MSTTR,MTLD,HDD
0,odyssey,1,51.84,29.21,20.66,0.8892,0.3313,18.1701,0.5165
1,odyssey,2,50.02,28.22,19.95,0.875,0.331,17.9642,0.5156
2,odyssey,3,50.11,29.99,21.21,0.8727,0.3359,18.0467,0.5203
3,odyssey,4,45.19,35.31,24.97,0.8837,0.3339,18.0743,0.519
4,odyssey,5,48.74,29.34,20.75,0.8689,0.333,17.9936,0.5183
5,odyssey,6,54.71,26.9,19.02,0.8789,0.3327,18.1003,0.5189
6,odyssey,7,55.52,27.61,19.52,0.8698,0.3261,17.7656,0.5147
7,odyssey,8,47.77,30.99,21.91,0.8707,0.3309,18.0922,0.5175
8,odyssey,9,49.52,31.48,22.26,0.8823,0.3304,18.3012,0.518
9,odyssey,10,46.95,30.23,21.37,0.8756,0.3298,18.1904,0.5168
10,odyssey,11,48.75,32.82,23.21,0.8849,0.3341,18.18,0.52
11,odyssey,12,50.09,28.58,20.21,0.8738,0.3351,18.3056,0.5205
12,odyssey,13,51.71,29.05,20.54,0.8841,0.3339,18.266,0.518
13,odyssey,14,51.28,31.9,22.56,0.8854,0.335,18.2715,0.5211
14,odyssey,15,48.68,30.88,21.84,0.8758,0.3369,18.3873,0.5218
15,odyssey,16,48.63,28.68,20.28,0.8856,0.3357,18.427,0.5199
16,odyssey,17,46.7,30.9,21.85,0.8895,0.3355,18.2184,0.5193
17,odyssey,18,52.2,29.04,20.54,0.8877,0.3333,18.076,0.5158
18,odyssey,19,48.29,31.91,22.57,0.8816,0.3351,18.137,0.5205
19,odyssey,20,53.78,28.48,20.14,0.8842,0.333,18.0576,0.5178
20,odyssey,21,49.94,27.87,19.71,0.8839,0.3369,18.09,0.5218
21,odyssey,22,49.24,29.35,20.75,0.877,0.3357,18.4834,0.521
22,odyssey,23,52.7,27.3,19.3,0.8856,0.3352,18.1341,0.5224
23,odyssey,24,50.4,31.49,22.27,0.8825,0.3326,17.9628,0.5195
