,text1,book1,text2,book2,words_in_common,perc_in_common
0,iliad,1,iliad,1,2026,100.0
1,odyssey,1,odyssey,1,1646,100.0
2,iliad,1,odyssey,1,485,15.2181
3,iliad,1,iliad,2,663,16.0184
4,odyssey,1,odyssey,2,535,19.7928
5,iliad,1,odyssey,2,511,16.4467
6,iliad,1,iliad,3,495,15.3774
7,odyssey,1,odyssey,3,505,17.2003
8,iliad,1,odyssey,3,541,16.4939
9,iliad,1,iliad,4,514,14.7151
10,odyssey,1,odyssey,4,699,18.8613
11,iliad,1,odyssey,4,664,16.1126
12,iliad,1,iliad,5,631,14.7602
13,odyssey,1,odyssey,5,457,15.4653
14,iliad,1,odyssey,5,467,14.0451
15,iliad,1,iliad,6,529,15.4543
16,odyssey,1,odyssey,6,393,15.2562
17,iliad,1,odyssey,6,375,12.6093
18,iliad,1,iliad,7,524,16.4884
19,odyssey,1,odyssey,7,429,16.5637
20,iliad,1,odyssey,7,401,13.3756
21,iliad,1,iliad,8,552,15.917
22,odyssey,1,odyssey,8,527,16.8424
23,iliad,1,odyssey,8,559,16.0771
24,iliad,1,iliad,9,667,18.0222
25,odyssey,1,odyssey,9,448,14.0044
26,iliad,1,odyssey,9,497,14.0793
27,iliad,1,iliad,10,525,15.1778
28,odyssey,1,odyssey,10,469,15.0176
29,iliad,1,odyssey,10,489,14.0396
30,iliad,1,iliad,11,639,15.0282
31,odyssey,1,odyssey,11,527,15.8306
32,iliad,1,odyssey,11,565,15.3909
33,iliad,1,iliad,12,449,13.5038
34,odyssey,1,odyssey,12,379,13.078
35,iliad,1,odyssey,12,440,13.6773
36,iliad,1,iliad,13,596,14.2413
37,odyssey,1,odyssey,13,453,16.0354
38,iliad,1,odyssey,13,492,15.5401
39,iliad,1,iliad,14,530,15.3802
40,odyssey,1,odyssey,14,503,16.0806
41,iliad,1,odyssey,14,524,15.0272
42,iliad,1,iliad,15,590,14.9367
43,odyssey,1,odyssey,15,562,18.4686
44,iliad,1,odyssey,15,525,15.1734
45,iliad,1,iliad,16,637,14.9953
46,odyssey,1,odyssey,16,550,19.7345
47,iliad,1,odyssey,16,514,16.0475
48,iliad,1,iliad,17,560,14.4928
49,odyssey,1,odyssey,17,575,18.4531
50,iliad,1,odyssey,17,535,15.1301
51,iliad,1,iliad,18,588,16.0218
52,odyssey,1,odyssey,18,510,18.532
53,iliad,1,odyssey,18,460,14.4563
54,iliad,1,iliad,19,506,16.0993
55,odyssey,1,odyssey,19,531,16.4702
56,iliad,1,odyssey,19,523,14.4795
57,iliad,1,iliad,20,509,15.2669
58,odyssey,1,odyssey,20,448,16.5558
59,iliad,1,odyssey,20,435,14.0368
60,iliad,1,iliad,21,542,14.829
61,odyssey,1,odyssey,21,491,18.1114
62,iliad,1,odyssey,21,439,13.9675
63,iliad,1,iliad,22,490,14.2566
64,odyssey,1,odyssey,22,452,15.3585
65,iliad,1,odyssey,22,458,13.8077
66,iliad,1,iliad,23,658,15.5556
67,odyssey,1,odyssey,23,433,16.4827
68,iliad,1,odyssey,23,427,14.1719
69,iliad,1,iliad,24,701,17.702
70,odyssey,1,odyssey,24,549,17.9119
71,iliad,1,odyssey,24,551,16.0035
72,iliad,2,odyssey,1,489,12.4333
73,iliad,2,iliad,2,2776,100.0
74,odyssey,2,odyssey,2,1592,100.0
75,iliad,2,odyssey,2,488,12.5773
76,iliad,2,iliad,3,553,14.1396
77,odyssey,2,odyssey,3,496,17.1567
78,iliad,2,odyssey,3,573,14.3322
79,iliad,2,iliad,4,618,14.9311
80,odyssey,2,odyssey,4,659,17.8494
81,iliad,2,odyssey,4,725,15.0728
82,iliad,2,iliad,5,717,14.5171
83,odyssey,2,odyssey,5,462,15.953
84,iliad,2,odyssey,5,489,12.0651
85,iliad,2,iliad,6,570,13.7948
86,odyssey,2,odyssey,6,398,15.8125
87,iliad,2,odyssey,6,417,11.3254
88,iliad,2,iliad,7,609,15.847
89,odyssey,2,odyssey,7,422,16.5946
90,iliad,2,odyssey,7,419,11.2332
91,iliad,2,iliad,8,614,14.7738
92,odyssey,2,odyssey,8,522,16.9481
93,iliad,2,odyssey,8,575,13.6547
94,iliad,2,iliad,9,725,16.5035
95,odyssey,2,odyssey,9,468,14.976
96,iliad,2,odyssey,9,517,12.1362
97,iliad,2,iliad,10,624,15.1825
98,odyssey,2,odyssey,10,471,15.357
99,iliad,2,odyssey,10,495,11.7104
100,iliad,2,iliad,11,781,16.07
101,odyssey,2,odyssey,11,527,16.0916
102,iliad,2,odyssey,11,570,12.9076
103,iliad,2,iliad,12,545,13.6969
104,odyssey,2,odyssey,12,401,14.2098
105,iliad,2,odyssey,12,467,11.8528
106,iliad,2,iliad,13,719,14.9418
107,odyssey,2,odyssey,13,451,16.264
108,iliad,2,odyssey,13,488,12.449
109,iliad,2,iliad,14,612,14.876
110,odyssey,2,odyssey,14,478,15.4243
111,iliad,2,odyssey,14,547,12.9805
112,iliad,2,iliad,15,703,15.3259
113,odyssey,2,odyssey,15,535,17.7387
114,iliad,2,odyssey,15,546,13.0341
115,iliad,2,iliad,16,711,14.4395
116,odyssey,2,odyssey,16,505,18.1785
117,iliad,2,odyssey,16,517,13.0886
118,iliad,2,iliad,17,642,14.1659
119,odyssey,2,odyssey,17,551,17.8548
120,iliad,2,odyssey,17,579,13.6492
121,iliad,2,iliad,18,612,13.9217
122,odyssey,2,odyssey,18,484,17.768
123,iliad,2,odyssey,18,481,12.2986
124,iliad,2,iliad,19,530,13.6986
125,odyssey,2,odyssey,19,557,17.7163
126,iliad,2,odyssey,19,534,12.273
127,iliad,2,iliad,20,548,13.5476
128,odyssey,2,odyssey,20,461,17.4687
129,iliad,2,odyssey,20,438,11.3885
130,iliad,2,iliad,21,575,13.1519
131,odyssey,2,odyssey,21,450,16.679
132,iliad,2,odyssey,21,448,11.5345
133,iliad,2,iliad,22,526,12.6716
134,odyssey,2,odyssey,22,460,15.9667
135,iliad,2,odyssey,22,471,11.6182
136,iliad,2,iliad,23,713,14.4772
137,odyssey,2,odyssey,23,431,16.7379
138,iliad,2,odyssey,23,400,10.5541
139,iliad,2,iliad,24,713,15.1767
140,odyssey,2,odyssey,24,576,19.3029
141,iliad,2,odyssey,24,587,14.1208
142,iliad,3,odyssey,1,393,13.3628
143,iliad,3,odyssey,2,419,14.6452
144,iliad,3,iliad,3,1688,100.0
145,odyssey,3,odyssey,3,1795,100.0
146,iliad,3,odyssey,3,442,14.5347
147,iliad,3,iliad,4,518,16.4392
148,odyssey,3,odyssey,4,707,18.378
149,iliad,3,odyssey,4,558,14.3482
150,iliad,3,iliad,5,616,15.587
151,odyssey,3,odyssey,5,464,14.9822
152,iliad,3,odyssey,5,380,12.3617
153,iliad,3,iliad,6,527,17.0716
154,odyssey,3,odyssey,6,395,14.5061
155,iliad,3,odyssey,6,354,13.3233
156,iliad,3,iliad,7,534,18.8693
157,odyssey,3,odyssey,7,406,14.6995
158,iliad,3,odyssey,7,346,12.744
159,iliad,3,iliad,8,486,15.2065
160,odyssey,3,odyssey,8,527,16.0769
161,iliad,3,odyssey,8,465,14.3829
162,iliad,3,iliad,9,507,14.3911
163,odyssey,3,odyssey,9,474,14.2685
164,iliad,3,odyssey,9,420,12.848
165,iliad,3,iliad,10,503,16.0038
166,odyssey,3,odyssey,10,481,14.7546
167,iliad,3,odyssey,10,426,13.2793
168,iliad,3,iliad,11,616,15.6464
169,odyssey,3,odyssey,11,530,15.2518
170,iliad,3,odyssey,11,466,13.5781
171,iliad,3,iliad,12,431,14.3428
172,odyssey,3,odyssey,12,413,13.7073
173,iliad,3,odyssey,12,357,12.0527
174,iliad,3,iliad,13,574,14.8359
175,odyssey,3,odyssey,13,456,15.3484
176,iliad,3,odyssey,13,412,14.1678
177,iliad,3,iliad,14,494,15.7125
178,odyssey,3,odyssey,14,506,15.4551
179,iliad,3,odyssey,14,440,13.6097
180,iliad,3,iliad,15,564,15.503
181,odyssey,3,odyssey,15,592,18.7223
182,iliad,3,odyssey,15,448,14.0044
183,iliad,3,iliad,16,596,15.0848
184,odyssey,3,odyssey,16,484,16.1226
185,iliad,3,odyssey,16,432,14.659
186,iliad,3,iliad,17,543,15.326
187,odyssey,3,odyssey,17,539,16.3284
188,iliad,3,odyssey,17,486,14.9677
189,iliad,3,iliad,18,515,15.1248
190,odyssey,3,odyssey,18,435,14.6169
191,iliad,3,odyssey,18,420,14.5631
192,iliad,3,iliad,19,460,16.1347
193,odyssey,3,odyssey,19,522,15.4347
194,iliad,3,odyssey,19,439,13.0733
195,iliad,3,iliad,20,461,15.1445
196,odyssey,3,odyssey,20,422,14.6477
197,iliad,3,odyssey,20,379,13.454
198,iliad,3,iliad,21,483,14.3069
199,odyssey,3,odyssey,21,413,14.0572
200,iliad,3,odyssey,21,405,14.2656
201,iliad,3,iliad,22,463,14.8113
202,odyssey,3,odyssey,22,446,14.3964
203,iliad,3,odyssey,22,442,14.7579
204,iliad,3,iliad,23,566,14.2068
205,odyssey,3,odyssey,23,413,14.7711
206,iliad,3,odyssey,23,383,14.0861
207,iliad,3,iliad,24,555,14.7293
208,odyssey,3,odyssey,24,525,16.2137
209,iliad,3,odyssey,24,483,15.2222
210,iliad,4,odyssey,1,419,13.0611
211,iliad,4,odyssey,2,418,13.2488
212,iliad,4,odyssey,3,448,13.4615
213,iliad,4,iliad,4,1981,100.0
214,odyssey,4,odyssey,4,2759,100.0
215,iliad,4,odyssey,4,580,13.9423
216,iliad,4,iliad,5,714,17.2173
217,odyssey,4,odyssey,5,633,16.2641
218,iliad,4,odyssey,5,413,12.3875
219,iliad,4,iliad,6,550,16.3837
220,odyssey,4,odyssey,6,529,14.8888
221,iliad,4,odyssey,6,355,12.038
222,iliad,4,iliad,7,524,16.7252
223,odyssey,4,odyssey,7,550,15.3546
224,iliad,4,odyssey,7,362,12.0989
225,iliad,4,iliad,8,581,17.1184
226,odyssey,4,odyssey,8,699,17.1744
227,iliad,4,odyssey,8,483,13.7685
228,iliad,4,iliad,9,549,14.5469
229,odyssey,4,odyssey,9,643,15.6182
230,iliad,4,odyssey,9,408,11.4158
231,iliad,4,iliad,10,524,15.3441
232,odyssey,4,odyssey,10,669,16.5758
233,iliad,4,odyssey,10,425,12.1359
234,iliad,4,iliad,11,702,16.9402
235,odyssey,4,odyssey,11,709,16.6432
236,iliad,4,odyssey,11,494,13.3622
237,iliad,4,iliad,12,488,15.0571
238,odyssey,4,odyssey,12,549,14.2932
239,iliad,4,odyssey,12,374,11.5503
240,iliad,4,iliad,13,675,16.6215
241,odyssey,4,odyssey,13,606,16.0106
242,iliad,4,odyssey,13,397,12.3445
243,iliad,4,iliad,14,522,15.3124
244,odyssey,4,odyssey,14,660,16.1606
245,iliad,4,odyssey,14,433,12.2559
246,iliad,4,iliad,15,644,16.7229
247,odyssey,4,odyssey,15,753,18.9912
248,iliad,4,odyssey,15,458,13.1534
249,iliad,4,iliad,16,693,16.7109
250,odyssey,4,odyssey,16,662,17.4762
251,iliad,4,odyssey,16,432,13.3333
252,iliad,4,iliad,17,649,17.3995
253,odyssey,4,odyssey,17,819,20.5521
254,iliad,4,odyssey,17,467,13.1217
255,iliad,4,iliad,18,543,14.7956
256,odyssey,4,odyssey,18,581,15.3137
257,iliad,4,odyssey,18,424,13.3627
258,iliad,4,iliad,19,468,14.9235
259,odyssey,4,odyssey,19,696,16.6826
260,iliad,4,odyssey,19,464,12.7965
261,iliad,4,iliad,20,501,15.1956
262,odyssey,4,odyssey,20,572,15.4804
263,iliad,4,odyssey,20,387,12.4758
264,iliad,4,iliad,21,525,14.4748
265,odyssey,4,odyssey,21,575,15.3743
266,iliad,4,odyssey,21,422,13.5474
267,iliad,4,iliad,22,491,14.4795
268,odyssey,4,odyssey,22,580,14.7658
269,iliad,4,odyssey,22,456,13.9279
270,iliad,4,iliad,23,638,15.1724
271,odyssey,4,odyssey,23,580,16.1425
272,iliad,4,odyssey,23,381,12.641
