text,book,line,meter,first_hemistich,second_hemistich
odyssey,17,1,SDDDDA,ἦμος δ ἠριγένεια ,φάνη ῥοδοδάκτυλος ἠώς
odyssey,17,2,DDDDDA,δὴ τότ ἔπειθ ὑπὸ ποσσὶν ,ἐδήσατο καλὰ πέδιλα
odyssey,17,3,DDDSSA,τηλέμαχος φίλος υἱὸς ,ὀδυσσῆος θείοιο
odyssey,17,4,DDDDDA,εἵλετο δ ἄλκιμον ἔγχος ,ὅ οἱ παλάμηφιν ἀρήρει
odyssey,17,5,DDDDDA,ἄστυδε ἱέμενος ,καὶ ἑὸν προσέειπε συβώτην
odyssey,17,6,SDSDDA,ἄττ ἦ τοι μὲν ἐγὼν ,εἶμ ἐς πόλιν ὄφρα με μήτηρ
odyssey,17,7,DSSSDA,ὄψεται οὐ γάρ μιν ,πρόσθεν παύσεσθαι ὀΐω
odyssey,17,8,SDDDDA,κλαυθμοῦ τε στυγεροῖο ,γόοιό τε δακρυόεντος
odyssey,17,9,SDDSDA,πρίν γ αὐτόν με ἴδηται ,ἀτὰρ σοί γ ὧδ ἐπιτέλλω
odyssey,17,10,SSDDDA,τὸν ξεῖνον δύστηνον ,ἄγ ἐς πόλιν ὄφρ ἂν ἐκεῖθι
odyssey,17,11,SSSDDA,δαῖτα πτωχεύῃ ,δώσει δέ οἱ ὅς κ ἐθέλῃσι
odyssey,17,12,SDDSDA,πύρνον καὶ κοτύλην ,ἐμὲ δ οὔ πως ἔστιν ἅπαντας
odyssey,17,13,SDDDDA,ἀνθρώπους ἀνέχεσθαι ,ἔχοντά περ ἄλγεα θυμῷ
odyssey,17,14,SSDDDA,ὁ ξεῖνος δ εἴ περ ,μάλα μηνίει ἄλγιον αὐτῷ
odyssey,17,15,DDDDSA,ἔσσεται ἦ γὰρ ἐμοὶ ,φίλ ἀληθέα μυθήσασθαι
odyssey,17,16,DDDDDA,τὸν δ ἀπαμειβόμενος ,προσέφη πολύμητις ὀδυσσεύς
odyssey,17,17,DDDSDA,‘ὦ φίλος οὐδέ τοι αὐτὸς ,ἐρύκεσθαι μενεαίνω
odyssey,17,18,SDDDDA,πτωχῷ βέλτερόν ἐστι ,κατὰ πτόλιν ἠὲ κατ ἀγροὺς
odyssey,17,19,SSSDDA,δαῖτα πτωχεύειν ,δώσει δέ μοι ὅς κ ἐθέλῃσιν
odyssey,17,20,DSDDDA,οὐ γὰρ ἐπὶ σταθμοῖσι ,μένειν ἔτι τηλίκος εἰμί
odyssey,17,21,DDSDDA,ὥστ ἐπιτειλαμένῳ ,σημάντορι πάντα πιθέσθαι
odyssey,17,22,SDDDDA,ἀλλ ἔρχευ ἐμὲ δ ἄξει ,ἀνὴρ ὅδε τὸν σὺ κελεύεις
odyssey,17,23,DDDDDA,αὐτίκ ἐπεί κε πυρὸς ,θερέω ἀλέη τε γένηται
odyssey,17,24,SDDDDA,αἰνῶς γὰρ τάδε εἵματ ,ἔχω κακά μή με δαμάσσῃ
odyssey,17,25,DSDDDA,στίβη ὑπηοίη ,ἕκαθεν δέ τε ἄστυ φάτ εἶναι
odyssey,17,26,DDDSDA,ὣς φάτο τηλέμαχος ,δὲ διὰ σταθμοῖο βεβήκει
odyssey,17,27,DDDSDA,κραιπνὰ ποσὶ προβιβάς ,κακὰ δὲ μνηστῆρσι φύτευεν
odyssey,17,28,DSDSDA,αὐτὰρ ἐπεί ῥ ἵκανε ,δόμους εὖ ναιετάοντας
odyssey,17,29,SSDSDA,ἔγχος μέν ῥ ἔστησε ,φέρων πρὸς κίονα μακρήν
odyssey,17,30,SDDSDA,αὐτὸς δ εἴσω ἴεν ,καὶ ὑπέρβη λάϊνον οὐδόν
odyssey,17,31,DSSDSA,τὸν δὲ πολὺ πρώτη ,εἶδε τροφὸς εὐρύκλεια
odyssey,17,32,DSDDDA,κώεα καστορνῦσα ,θρόνοις ἔνι δαιδαλέοισι
odyssey,17,33,SDSDDA,δακρύσασα δ ἔπειτ ,ἰθὺς κίεν ἀμφὶ δ ἄρ ἄλλαι
odyssey,17,34,DSDDDA,δμῳαὶ ὀδυσσῆος ,ταλασίφρονος ἠγερέθοντο
odyssey,17,35,SDDDDA,καὶ κύνεον ἀγαπαζόμεναι ,κεφαλήν τε καὶ ὤμους
odyssey,17,36,DDDSDA,ἡ δ ἴεν ἐκ θαλάμοιο ,περίφρων πηνελόπεια
odyssey,17,37,DDSDDA,ἀρτέμιδι ἰκέλη ,ἠὲ χρυσέῃ ἀφροδίτῃ
odyssey,17,38,DDDDSA,ἀμφὶ δὲ παιδὶ φίλῳ ,βάλε πήχεε δακρύσασα
odyssey,17,39,DDDSDA,κύσσε δέ μιν κεφαλήν ,τε καὶ ἄμφω φάεα καλά
odyssey,17,40,DDDDDA,καί ῥ ὀλοφυρομένη ,ἔπεα πτερόεντα προσηύδα
odyssey,17,41,SDDDDA,ἦλθες τηλέμαχε ,γλυκερὸν φάος οὔ σ ἔτ ἐγώ γε
odyssey,17,42,SDDDDA,ὄψεσθαι ἐφάμην ,ἐπεὶ ᾤχεο νηῒ πύλονδε
odyssey,17,43,DDDDDA,λάθρη ἐμεῦ ἀέκητι ,φίλου μετὰ πατρὸς ἀκουήν
odyssey,17,44,DDDSDA,ἀλλ ἄγε μοι κατάλεξον ,ὅπως ἤντησας ὀπωπῆς
odyssey,17,45,SDSDDA,’ τὴν δ αὖ τηλέμαχος ,πεπνυμένος ἀντίον ηὔδα
odyssey,17,46,DSDDDA,‘μῆτερ ἐμή μή μοι ,γόον ὄρνυθι μηδέ μοι ἦτορ
odyssey,17,47,SDDDDA,ἐν στήθεσσιν ὄρινε ,φυγόντι περ αἰπὺν ὄλεθρον
odyssey,17,48,SDDDDA,ἀλλ ὑδρηναμένη ,καθαρὰ χροῒ εἵμαθ ἑλοῦσα
odyssey,17,49,DDDDDA,εἰς ὑπερῷ ἀναβᾶσα ,σὺν ἀμφιπόλοισι γυναιξὶν
odyssey,17,50,DDDSDA,εὔχεο πᾶσι θεοῖσι ,τεληέσσας ἑκατόμβας
odyssey,17,51,SDSDDA,ῥέξειν αἴ κέ ποθι ,ζεὺς ἄντιτα ἔργα τελέσσῃ
odyssey,17,52,DDDDDA,αὐτὰρ ἐγὼν ἀγορὴν ,ἐσελεύσομαι ὄφρα καλέσσω
odyssey,17,53,DSDDDA,ξεῖνον ὅτις μοι κεῖθεν ,ἅμ ἕσπετο δεῦρο κιόντι
odyssey,17,54,DSDDDA,τὸν μὲν ἐγὼ προὔπεμψα ,σὺν ἀντιθέοις ἑτάροισι
odyssey,17,55,SDSDDA,πείραιον δέ μιν ἠνώγεα ,προτὶ οἶκον ἄγοντα
odyssey,17,56,DDSDDA,ἐνδυκέως φιλέειν ,καὶ τιέμεν εἰς ὅ κεν ἔλθω
odyssey,17,57,DSSDDA,ὣς ἄρ ἐφώνησεν ,τῇ δ ἄπτερος ἔπλετο μῦθος
odyssey,17,58,SDDDDA,ἡ δ ὑδρηναμένη ,καθαρὰ χροῒ εἵμαθ ἑλοῦσα
odyssey,17,59,DDDSDA,εὔχετο πᾶσι θεοῖσι ,τεληέσσας ἑκατόμβας
odyssey,17,60,SDSDDA,ῥέξειν αἴ κέ ποθι ,ζεὺς ἄντιτα ἔργα τελέσσῃ
odyssey,17,61,DDDDDA,τηλέμαχος δ ἄρ ἔπειτα ,διὲκ μεγάροιο βεβήκει
odyssey,17,62,DDDDDA,ἔγχος ἔχων ἅμα τῷ ,γε δύω κύνες ἀργοὶ ἕποντο
odyssey,17,63,DDDDDA,θεσπεσίην δ ἄρα τῷ ,γε χάριν κατέχευεν ἀθήνη
odyssey,17,64,DSDDSA,τὸν δ ἄρα πάντες λαοὶ ,ἐπερχόμενον θηεῦντο
odyssey,17,65,DSDDDA,ἀμφὶ δέ μιν μνηστῆρες ,ἀγήνορες ἠγερέθοντο
odyssey,17,66,DSDDDA,ἔσθλ ἀγορεύοντες ,κακὰ δὲ φρεσὶ βυσσοδόμευον
odyssey,17,67,DDDDDA,αὐτὰρ ὁ τῶν μὲν ἔπειτα ,ἀλεύατο πουλὺν ὅμιλον
odyssey,17,68,DSDDDA,ἀλλ ἵνα μέντωρ ἧστο ,καὶ ἄντιφος ἠδ ἁλιθέρσης
odyssey,17,69,DSSDDA,οἵ τε οἱ ἐξ ἀρχῆς ,πατρώϊοι ἦσαν ἑταῖροι
odyssey,17,70,DDSDDA,ἔνθα καθέζετ ἰών ,τοὶ δ ἐξερέεινον ἕκαστα
odyssey,17,71,DSSDDA,τοῖσι δὲ πείραιος ,δουρικλυτὸς ἐγγύθεν ἦλθεν
odyssey,17,72,DDDDDA,ξεῖνον ἄγων ἀγορήνδε ,διὰ πτόλιν οὐδ ἄρ ἔτι δὴν
odyssey,17,73,DSDDDA,τηλέμαχος ξείνοιο ,ἑκὰς τράπετ ἀλλὰ παρέστη
odyssey,17,74,SSDSDA,τὸν καὶ πείραιος ,πρότερος πρὸς μῦθον ἔειπε
odyssey,17,75,DSDDDA,τηλέμαχ αἶψ ὄτρυνον ,ἐμὸν ποτὶ δῶμα γυναῖκας
odyssey,17,76,SDDDDA,ὥς τοι δῶρ ἀποπέμψω ,ἅ τοι μενέλαος ἔδωκε
odyssey,17,77,SDSDDA,τὸν δ αὖ τηλέμαχος ,πεπνυμένος ἀντίον ηὔδα
odyssey,17,78,SSDSDA,‘πείραι οὐ γάρ τ ἴδμεν ,ὅπως ἔσται τάδε ἔργα
odyssey,17,79,DSDDDA,εἴ κεν ἐμὲ μνηστῆρες ,ἀγήνορες ἐν μεγάροισι
odyssey,17,80,SSSDDA,λάθρη κτείναντες ,πατρώϊα πάντα δάσωνται
odyssey,17,81,DDDDDA,αὐτὸν ἔχοντά σε βούλομ ,ἐπαυρέμεν ἤ τινα τῶνδε
odyssey,17,82,DSDSDA,εἰ δέ κ ἐγὼ τούτοισι ,φόνον καὶ κῆρα φυτεύσω
odyssey,17,83,DSDSDA,δὴ τότε μοι χαίροντι ,φέρειν πρὸς δώματα χαίρων
odyssey,17,84,SSDDDA,ὣς εἰπὼν ξεῖνον ,ταλαπείριον ἦγεν ἐς οἶκον
odyssey,17,85,DSDSDA,αὐτὰρ ἐπεί ῥ ἵκοντο ,δόμους εὖ ναιετάοντας
odyssey,17,86,SDDSDA,χλαίνας μὲν κατέθεντο ,κατὰ κλισμούς τε θρόνους τε
odyssey,17,87,DSDSSA,ἐς δ ἀσαμίνθους βάντες ,ἐϋξέστας λούσαντο
odyssey,17,88,DSSSDA,τοὺς δ ἐπεὶ οὖν δμῳαὶ ,λοῦσαν καὶ χρῖσαν ἐλαίῳ
odyssey,17,89,DSSDDA,ἀμφὶ δ ἄρα χλαίνας ,οὔλας βάλον ἠδὲ χιτῶνας
odyssey,17,90,DSDSDA,ἔκ ῥ ἀσαμίνθων βάντες ,ἐπὶ κλισμοῖσι καθῖζον
odyssey,17,91,DDDDDA,χέρνιβα δ ἀμφίπολος ,προχόῳ ἐπέχευε φέρουσα
odyssey,17,92,SSDDDA,καλῇ χρυσείῃ ,ὑπὲρ ἀργυρέοιο λέβητος
odyssey,17,93,SDSDDA,νίψασθαι παρὰ δὲ ,ξεστὴν ἐτάνυσσε τράπεζαν
odyssey,17,94,SSDDDA,σῖτον δ αἰδοίη ,ταμίη παρέθηκε φέρουσα
odyssey,17,95,DDDDDA,εἴδατα πόλλ ἐπιθεῖσα ,χαριζομένη παρεόντων
odyssey,17,96,SDDSDA,μήτηρ δ ἀντίον ἷζε ,παρὰ σταθμὸν μεγάροιο
odyssey,17,97,SDSDSA,κλισμῷ κεκλιμένη ,λέπτ ἠλάκατα στρωφῶσα
odyssey,17,98,DDDDDA,οἱ δ ἐπ ὀνείαθ ἑτοῖμα ,προκείμενα χεῖρας ἴαλλον
odyssey,17,99,DDDDDA,αὐτὰρ ἐπεὶ πόσιος ,καὶ ἐδητύος ἐξ ἔρον ἕντο
odyssey,17,100,DSDSDA,τοῖσι δὲ μύθων ἦρχε ,περίφρων πηνελόπεια
odyssey,17,101,DDDDDA,τηλέμαχ ἦ τοι ἐγὼν ,ὑπερώϊον εἰσαναβᾶσα
odyssey,17,102,DSSDDA,λέξομαι εἰς εὐνήν ,ἥ μοι στονόεσσα τέτυκται
odyssey,17,103,SDDDDA,αἰεὶ δάκρυσ ἐμοῖσι ,πεφυρμένη ἐξ οὗ ὀδυσσεὺς
odyssey,17,104,DDDDDA,ᾤχεθ ἅμ ἀτρεΐδῃσιν ,ἐς ἴλιον οὐδέ μοι ἔτλης
odyssey,17,105,SSDDDA,πρὶν ἐλθεῖν μνηστῆρας ,ἀγήνορας ἐς τόδε δῶμα
odyssey,17,106,SSDDDA,νόστον σοῦ πατρὸς ,σάφα εἰπέμεν εἴ που ἄκουσας
odyssey,17,107,SDSDDA,τὴν δ αὖ τηλέμαχος ,πεπνυμένος ἀντίον ηὔδα
odyssey,17,108,DSDSDA,‘τοιγὰρ ἐγώ τοι μῆτερ ,ἀληθείην καταλέξω
