text,book,line,meter,first_hemistich,second_hemistich
odyssey,1,1,DDDDDA,ἄνδρα μοι ἔννεπε μοῦσα ,πολύτροπον ὃς μάλα πολλὰ
odyssey,1,2,DSDDDA,πλάγχθη ἐπεὶ τροίης ,ἱερὸν πτολίεθρον ἔπερσεν
odyssey,1,3,SSDDDA,πολλῶν δ ἀνθρώπων ,ἴδεν ἄστεα καὶ νόον ἔγνω
odyssey,1,4,DSDDDA,πολλὰ δ ὅ γ ἐν πόντῳ ,πάθεν ἄλγεα ὃν κατὰ θυμόν
odyssey,1,5,DSSSDA,ἀρνύμενος ἥν τε ,ψυχὴν καὶ νόστον ἑταίρων
odyssey,1,6,SDSDDA,ἀλλ οὐδ ὣς ἑτάρους ,ἐρρύσατο ἱέμενός περ
odyssey,1,7,SDDDDA,αὐτῶν γὰρ σφετέρῃσιν ,ἀτασθαλίῃσιν ὄλοντο
odyssey,1,8,DDDDDA,νήπιοι οἳ κατὰ βοῦς ,ὑπερίονος ἠελίοιο
odyssey,1,9,DDDDDA,ἤσθιον αὐτὰρ ὁ τοῖσιν ,ἀφείλετο νόστιμον ἦμαρ
odyssey,1,10,DDDDDA,τῶν ἁμόθεν γε θεά ,θύγατερ διός εἰπὲ καὶ ἡμῖν
odyssey,1,11,SSDDDA,ἔνθ ἄλλοι μὲν πάντες ,ὅσοι φύγον αἰπὺν ὄλεθρον
odyssey,1,12,DDDDDA,οἴκοι ἔσαν πόλεμόν ,τε πεφευγότες ἠδὲ θάλασσαν
odyssey,1,13,SSSDDA,τὸν δ οἶον νόστου ,κεχρημένον ἠδὲ γυναικὸς
odyssey,1,14,SDDSDA,νύμφη πότνι ἔρυκε ,καλυψὼ δῖα θεάων
odyssey,1,15,SDDDDA,ἐν σπέσσι γλαφυροῖσι ,λιλαιομένη πόσιν εἶναι
odyssey,1,16,DDDDDA,ἀλλ ὅτε δὴ ἔτος ἦλθε ,περιπλομένων ἐνιαυτῶν
odyssey,1,17,DSDSDA,τῷ οἱ ἐπεκλώσαντο ,θεοὶ οἶκόνδε νέεσθαι
odyssey,1,18,DSDDDA,εἰς ἰθάκην οὐδ ἔνθα ,πεφυγμένος ἦεν ἀέθλων
odyssey,1,19,DDDDDA,καὶ μετὰ οἷσι φίλοισι ,θεοὶ δ ἐλέαιρον ἅπαντες
odyssey,1,20,DSDSDA,νόσφι ποσειδάωνος ,ὁ δ ἀσπερχὲς μενέαινεν
odyssey,1,21,DDDSDA,ἀντιθέῳ ὀδυσῆι ,πάρος ἣν γαῖαν ἱκέσθαι
odyssey,1,22,DDDDDA,ἀλλ ὁ μὲν αἰθίοπας ,μετεκίαθε τηλόθ ἐόντας
odyssey,1,23,DSDDDA,αἰθίοπας τοὶ διχθὰ ,δεδαίαται ἔσχατοι ἀνδρῶν
odyssey,1,24,SDDDDA,οἱ μὲν δυσομένου ,ὑπερίονος οἱ δ ἀνιόντος
odyssey,1,25,DSDSDA,ἀντιόων ταύρων ,τε καὶ ἀρνειῶν ἑκατόμβης
odyssey,1,26,DDDDDA,ἔνθ ὅ γ ἐτέρπετο δαιτὶ ,παρήμενος οἱ δὲ δὴ ἄλλοι
odyssey,1,27,DDDDDA,ζηνὸς ἐνὶ μεγάροισιν ,ὀλυμπίου ἁθρόοι ἦσαν
odyssey,1,28,DSDSDA,τοῖσι δὲ μύθων ἦρχε ,πατὴρ ἀνδρῶν τε θεῶν τε
odyssey,1,29,DDDDSA,μνήσατο γὰρ κατὰ θυμὸν ,ἀμύμονος αἰγίσθοιο
odyssey,1,30,DDSDDA,τόν ῥ ἀγαμεμνονίδης ,τηλεκλυτὸς ἔκταν ὀρέστης
odyssey,1,31,DSDDDA,τοῦ ὅ γ ἐπιμνησθεὶς ,ἔπε ἀθανάτοισι μετηύδα
odyssey,1,32,DSDDDA,ὢ πόποι οἷον δή ,νυ θεοὺς βροτοὶ αἰτιόωνται
odyssey,1,33,SSDDDA,ἐξ ἡμέων γάρ φασι ,κάκ ἔμμεναι οἱ δὲ καὶ αὐτοὶ
odyssey,1,34,DDDDDA,σφῇσιν ἀτασθαλίῃσιν ,ὑπὲρ μόρον ἄλγε ἔχουσιν
odyssey,1,35,SSDDDA,ὡς καὶ νῦν αἴγισθος ,ὑπὲρ μόρον ἀτρεΐδαο
odyssey,1,36,DSSDSA,γῆμ ἄλοχον μνηστήν ,τὸν δ ἔκτανε νοστήσαντα
odyssey,1,37,SDDDDA,εἰδὼς αἰπὺν ὄλεθρον ,ἐπεὶ πρό οἱ εἴπομεν ἡμεῖς
odyssey,1,38,SSDDDA,ἑρμείαν πέμψαντες ,ἐύσκοπον ἀργεϊφόντην
odyssey,1,39,SSSSDA,μήτ αὐτὸν κτείνειν ,μήτε μνάασθαι ἄκοιτιν
odyssey,1,40,DDSDDA,ἐκ γὰρ Ὀρέσταο τίσις ἔσσεται Ἀτρεΐδαο,NA
odyssey,1,41,DSDSDA,ὁππότ ἂν ἡβήσῃ ,τε καὶ ἧς ἱμείρεται αἴης
odyssey,1,42,DSSDSA,ὣς ἔφαθ ἑρμείας ,ἀλλ οὐ φρένας αἰγίσθοιο
odyssey,1,43,DDSDDA,πεῖθ ἀγαθὰ φρονέων ,νῦν δ ἁθρόα πάντ ἀπέτισεν
odyssey,1,44,SDDSDA,τὸν δ ἠμείβετ ἔπειτα ,θεά γλαυκῶπις ἀθήνη
odyssey,1,45,DDDDSA,‘ὦ πάτερ ἡμέτερε ,κρονίδη ὕπατε κρειόντων
odyssey,1,46,SSDDDA,καὶ λίην κεῖνός ,γε ἐοικότι κεῖται ὀλέθρῳ
odyssey,1,47,DDDSDA,ὡς ἀπόλοιτο καὶ ἄλλος ,ὅτις τοιαῦτά γε ῥέζοι
odyssey,1,48,DDDDDA,ἀλλά μοι ἀμφ ὀδυσῆι ,δαΐφρονι δαίεται ἦτορ
odyssey,1,49,DSDDDA,δυσμόρῳ ὃς δὴ δηθὰ ,φίλων ἄπο πήματα πάσχει
odyssey,1,50,DDDDDA,νήσῳ ἐν ἀμφιρύτῃ ,ὅθι τ ὀμφαλός ἐστι θαλάσσης
odyssey,1,51,SSDSDA,νῆσος δενδρήεσσα ,θεὰ δ ἐν δώματα ναίει
odyssey,1,52,SDDDDA,ἄτλαντος θυγάτηρ ,ὀλοόφρονος ὅς τε θαλάσσης
