text,book,line,meter,first_hemistich,second_hemistich
odyssey,2,1,SDDDDA,ἦμος δ ἠριγένεια ,φάνη ῥοδοδάκτυλος ἠώς
odyssey,2,2,DSDSDA,ὤρνυτ ἄρ ἐξ εὐνῆφιν ,ὀδυσσῆος φίλος υἱὸς
odyssey,2,3,DDDDDA,εἵματα ἑσσάμενος ,περὶ δὲ ξίφος ὀξὺ θέτ ὤμῳ
odyssey,2,4,DDDDDA,ποσσὶ δ ὑπὸ λιπαροῖσιν ,ἐδήσατο καλὰ πέδιλα
odyssey,2,5,DDDDDA,βῆ δ ἴμεν ἐκ θαλάμοιο ,θεῷ ἐναλίγκιος ἄντην
odyssey,2,6,DSDSDA,αἶψα δὲ κηρύκεσσι ,λιγυφθόγγοισι κέλευσε
odyssey,2,7,SDDDDA,κηρύσσειν ἀγορήνδε ,κάρη κομόωντας ἀχαιούς
odyssey,2,8,DSSSDA,οἱ μὲν ἐκήρυσσον ,τοὶ δ ἠγείροντο μάλ ὦκα
odyssey,2,9,DSDDDA,αὐτὰρ ἐπεί ῥ ἤγερθεν ,ὁμηγερέες τ ἐγένοντο
odyssey,2,10,DDDDDA,βῆ ῥ ἴμεν εἰς ἀγορήν ,παλάμῃ δ ἔχε χάλκεον ἔγχος
odyssey,2,11,SDDDDA,οὐκ οἶος ἅμα τῷ ,γε δύω κύνες ἀργοὶ ἕποντο
odyssey,2,12,DDDDDA,θεσπεσίην δ ἄρα τῷ ,γε χάριν κατέχευεν ἀθήνη
odyssey,2,13,DSDDSA,τὸν δ ἄρα πάντες λαοὶ ,ἐπερχόμενον θηεῦντο
odyssey,2,14,DSSSDA,ἕζετο δ ἐν πατρὸς ,θώκῳ εἶξαν δὲ γέροντες
odyssey,2,15,DSSDDA,τοῖσι δ ἔπειθ ἥρως ,αἰγύπτιος ἦρχ ἀγορεύειν
odyssey,2,16,SDDSDA,ὃς δὴ γήραϊ κυφὸς ,ἔην καὶ μυρία ᾔδη
odyssey,2,17,SDDDDA,καὶ γὰρ τοῦ φίλος υἱὸς ,ἅμ ἀντιθέῳ ὀδυσῆι
odyssey,2,18,DDDSDA,ἴλιον εἰς ἐύπωλον ,ἔβη κοίλῃς ἐνὶ νηυσίν
odyssey,2,19,DSSDDA,ἄντιφος αἰχμητής ,τὸν δ ἄγριος ἔκτανε κύκλωψ
odyssey,2,20,SDDSDA,ἐν σπῆι γλαφυρῷ ,πύματον δ ὡπλίσσατο δόρπον
odyssey,2,21,DDDSDA,τρεῖς δέ οἱ ἄλλοι ἔσαν ,καὶ ὁ μὲν μνηστῆρσιν ὁμίλει
odyssey,2,22,DDDSDA,εὐρύνομος δύο δ αἰὲν ,ἔχον πατρώια ἔργα
odyssey,2,23,SSDDDA,ἀλλ οὐδ ὣς τοῦ λήθετ ,ὀδυρόμενος καὶ ἀχεύων
odyssey,2,24,DDDDDA,τοῦ ὅ γε δάκρυ χέων ,ἀγορήσατο καὶ μετέειπε
odyssey,2,25,DSDDDA,κέκλυτε δὴ νῦν μευ ,ἰθακήσιοι ὅττι κεν εἴπω
odyssey,2,26,DDDDDA,οὔτε ποθ ἡμετέρη ,ἀγορὴ γένετ οὔτε θόωκος
