text,book,line,meter,first_hemistich,second_hemistich
iliad,18,1,SSDDDA,ὣς οἳ μὲν μάρναντο ,δέμας πυρὸς αἰθομένοιο
iliad,18,2,DDDDDA,ἀντίλοχος δ ἀχιλῆϊ ,πόδας ταχὺς ἄγγελος ἦλθε
iliad,18,3,SDDSSA,τὸν δ εὗρε προπάροιθε ,νεῶν ὀρθοκραιράων
iliad,18,4,DDDDDA,τὰ φρονέοντ ἀνὰ θυμὸν ,ἃ δὴ τετελεσμένα ἦεν
iliad,18,5,SDDDDA,ὀχθήσας δ ἄρα εἶπε ,πρὸς ὃν μεγαλήτορα θυμόν
iliad,18,6,DDDDDA,ὤ μοι ἐγώ τί τ ἄρ αὖτε ,κάρη κομόωντες ἀχαιοὶ
iliad,18,7,DDDDDA,νηυσὶν ἔπι κλονέονται ,ἀτυζόμενοι πεδίοιο
iliad,18,8,SDDDDA,μὴ δή μοι τελέσωσι ,θεοὶ κακὰ κήδεα θυμῷ
iliad,18,9,DSDDDA,ὥς ποτέ μοι μήτηρ ,διεπέφραδε καί μοι ἔειπε
iliad,18,10,DDDSDA,‘μυρμιδόνων τὸν ἄριστον ,ἔτι ζώοντος ἐμεῖο
iliad,18,11,DSSDDA,χερσὶν ὕπο τρώων ,λείψειν φάος ἠελίοιο
iliad,18,12,DSDDDA,ἦ μάλα δὴ τέθνηκε ,μενοιτίου ἄλκιμος υἱὸς
iliad,18,13,NNNNNN,NA,NA
iliad,18,14,DDSDDA,ἂψ ἐπὶ νῆας ἴμεν ,μηδ ἕκτορι ἶφι μάχεσθαι
iliad,18,15,DSDDDA,εἷος ὃ ταῦθ ὥρμαινε ,κατὰ φρένα καὶ κατὰ θυμόν
iliad,18,16,DDDSDA,τόφρά οἱ ἐγγύθεν ἦλθεν ,ἀγαυοῦ νέστορος υἱὸς
iliad,18,17,DDDDDA,δάκρυα θερμὰ χέων ,φάτο δ ἀγγελίην ἀλεγεινήν
iliad,18,18,SDDDDA,ὤ μοι πηλέος υἱὲ ,δαΐφρονος ἦ μάλα λυγρῆς
iliad,18,19,DDSSDA,πεύσεαι ἀγγελίης ,ἣ μὴ ὤφελλε γενέσθαι
iliad,18,20,SSDDDA,κεῖται πάτροκλος ,νέκυος δὲ δὴ ἀμφιμάχονται
iliad,18,21,DDDDDA,γυμνοῦ ἀτὰρ τά γε τεύχε ,ἔχει κορυθαίολος ἕκτωρ
iliad,18,22,DDDDDA,ὣς φάτο τὸν δ ἄχεος ,νεφέλη ἐκάλυψε μέλαινα
iliad,18,23,DDDDDA,ἀμφοτέρῃσι δὲ χερσὶν ,ἑλὼν κόνιν αἰθαλόεσσαν
iliad,18,24,DDDSDA,χεύατο κὰκ κεφαλῆς ,χαρίεν δ ᾔσχυνε πρόσωπον
iliad,18,25,DDDSDA,νεκταρέῳ δὲ χιτῶνι ,μέλαιν ἀμφίζανε τέφρη
iliad,18,26,SDDDDA,αὐτὸς δ ἐν κονίῃσι ,μέγας μεγαλωστὶ τανυσθεὶς
iliad,18,27,DDDSDA,κεῖτο φίλῃσι δὲ χερσὶ ,κόμην ᾔσχυνε δαΐζων
iliad,18,28,SDSDSA,δμῳαὶ δ ἃς ἀχιλεὺς ,ληΐσσατο πάτροκλός τε
iliad,18,29,DDDDDA,θυμὸν ἀκηχέμεναι ,μεγάλ ἴαχον ἐκ δὲ θύραζε
iliad,18,30,DDDDDA,ἔδραμον ἀμφ ἀχιλῆα ,δαΐφρονα χερσὶ δὲ πᾶσαι
iliad,18,31,DSDDDA,στήθεα πεπλήγοντο ,λύθεν δ ὑπὸ γυῖα ἑκάστης
iliad,18,32,DDDDDA,ἀντίλοχος δ ἑτέρωθεν ,ὀδύρετο δάκρυα λείβων
iliad,18,33,DDDDDA,χεῖρας ἔχων ἀχιλῆος ,ὃ δ ἔστενε κυδάλιμον κῆρ
iliad,18,34,DSDSDA,δείδιε γὰρ μὴ λαιμὸν ,ἀπαμήσειε σιδήρῳ
iliad,18,35,DSDDDA,σμερδαλέον δ ᾤμωξεν ,ἄκουσε δὲ πότνια μήτηρ
iliad,18,36,DSDDDA,ἡμένη ἐν βένθεσσιν ,ἁλὸς παρὰ πατρὶ γέροντι
iliad,18,37,SDDDDA,κώκυσέν τ ἄρ ἔπειτα ,θεαὶ δέ μιν ἀμφαγέροντο
iliad,18,38,DDDSDA,πᾶσαι ὅσαι κατὰ βένθος ,ἁλὸς νηρηΐδες ἦσαν
iliad,18,39,DSDDDA,ἔνθ ἄρ ἔην γλαύκη ,τε θάλειά τε κυμοδόκη τε
iliad,18,40,SSDDDA,νησαίη σπειώ ,τε θόη θ ἁλίη τε βοῶπις
iliad,18,41,DDSSSA,κυμοθόη τε καὶ ἀκταίη ,καὶ λιμνώρεια
iliad,18,42,DDDDDA,καὶ μελίτη καὶ ἴαιρα ,καὶ ἀμφιθόη καὶ ἀγαυὴ
iliad,18,43,SSDDDA,δωτώ τε πρωτώ ,τε φέρουσά τε δυναμένη τε
iliad,18,44,DDDSDA,δεξαμένη τε καὶ ἀμφινόμη ,καὶ καλλιάνειρα
iliad,18,45,SDDSDA,δωρὶς καὶ πανόπη ,καὶ ἀγακλειτὴ γαλάτεια
iliad,18,46,SDSSDA,νημερτής τε καὶ ἀψευδὴς ,καὶ καλλιάνασσα
iliad,18,47,DDDDDA,ἔνθα δ ἔην κλυμένη ,ἰάνειρά τε καὶ ἰάνασσα
iliad,18,48,DSDDDA,μαῖρα καὶ ὠρείθυια ,ἐϋπλόκαμός τ ἀμάθεια
iliad,18,49,SDDSDA,ἄλλαι θ αἳ κατὰ βένθος ,ἁλὸς νηρηΐδες ἦσαν
iliad,18,50,DDSDDA,τῶν δὲ καὶ ἀργύφεον ,πλῆτο σπέος αἳ δ ἅμα πᾶσαι
iliad,18,51,DSDSDA,στήθεα πεπλήγοντο ,θέτις δ ἐξῆρχε γόοιο
iliad,18,52,DSSDDA,‘κλῦτε κασίγνηται ,νηρηΐδες ὄφρ ἐῢ πᾶσαι
iliad,18,53,DSDDDA,εἴδετ ἀκούουσαι ,ὅσ ἐμῷ ἔνι κήδεα θυμῷ
iliad,18,54,DSSDDA,ὤ μοι ἐγὼ δειλή ,ὤ μοι δυσαριστοτόκεια
iliad,18,55,DDDDDA,ἥ τ ἐπεὶ ἂρ τέκον υἱὸν ,ἀμύμονά τε κρατερόν τε
iliad,18,56,DSDDDA,ἔξοχον ἡρώων ,ὃ δ ἀνέδραμεν ἔρνεϊ ἶσος
iliad,18,57,DSDSDA,τὸν μὲν ἐγὼ θρέψασα ,φυτὸν ὣς γουνῷ ἀλωῆς
iliad,18,58,DDDDDA,νηυσὶν ἐπιπροέηκα ,κορωνίσιν ἴλιον εἴσω
iliad,18,59,DDSDDA,τρωσὶ μαχησόμενον ,τὸν δ οὐχ ὑποδέξομαι αὖτις
