text,book,line,meter,first_hemistich,second_hemistich
odyssey,16,1,SDDSDA,τὼ δ αὖτ ἐν κλισίῃ ,ὀδυσεὺς καὶ δῖος ὑφορβὸς
odyssey,16,2,SDDSDA,ἐντύνοντο ἄριστον ,ἅμ ἠοῖ κηαμένω πῦρ
odyssey,16,3,SDDDDA,ἔκπεμψάν τε νομῆας ,ἅμ ἀγρομένοισι σύεσσι
odyssey,16,4,DDSDDA,τηλέμαχον δὲ περίσσαινον ,κύνες ὑλακόμωροι
odyssey,16,5,DDDDDA,οὐδ ὕλαον προσιόντα ,νόησε δὲ δῖος ὀδυσσεὺς
odyssey,16,6,SDDDDA,σαίνοντάς τε κύνας ,περί τε κτύπος ἦλθε ποδοῖϊν
odyssey,16,7,SSDDDA,αἶψα δ ἄρ εὔμαιον ,ἔπεα πτερόεντα προσηύδα
odyssey,16,8,SDDDDA,εὔμαι ἦ μάλα τίς ,τοι ἐλεύσεται ἐνθάδ ἑταῖρος
odyssey,16,9,SDDDDA,ἢ καὶ γνώριμος ἄλλος ,ἐπεὶ κύνες οὐχ ὑλάουσιν
odyssey,16,10,DSDDDA,ἀλλὰ περισσαίνουσι ,ποδῶν δ ὑπὸ δοῦπον ἀκούω
odyssey,16,11,SSDDDA,οὔ πω πᾶν εἴρητο ,ἔπος ὅτε οἱ φίλος υἱὸς
odyssey,16,12,DDDDDA,ἔστη ἐνὶ προθύροισι ,ταφὼν δ ἀνόρουσε συβώτης
odyssey,16,13,DSDDDA,ἐκ δ ἄρα οἱ χειρῶν ,πέσον ἄγγεα τοῖς ἐπονεῖτο
odyssey,16,14,SDDDDA,κιρνὰς αἴθοπα οἶνον ,ὁ δ ἀντίος ἦλθεν ἄνακτος
odyssey,16,15,DDDSDA,κύσσε δέ μιν κεφαλήν ,τε καὶ ἄμφω φάεα καλὰ
odyssey,16,16,SDDDDA,χεῖράς τ ἀμφοτέρας ,θαλερὸν δέ οἱ ἔκπεσε δάκρυ
odyssey,16,17,DSDDDA,ὡς δὲ πατὴρ ὃν παῖδα ,φίλα φρονέων ἀγαπάζῃ
odyssey,16,18,SDSDDA,ἐλθόντ ἐξ ἀπίης ,γαίης δεκάτῳ ἐνιαυτῷ
odyssey,16,19,SDDDDA,μοῦνον τηλύγετον ,τῷ ἔπ ἄλγεα πολλὰ μογήσῃ
odyssey,16,20,DDDDDA,ὣς τότε τηλέμαχον ,θεοειδέα δῖος ὑφορβὸς
odyssey,16,21,DDSDDA,πάντα κύσεν περιφύς ,ὡς ἐκ θανάτοιο φυγόντα
odyssey,16,22,DDDDDA,καί ῥ ὀλοφυρόμενος ,ἔπεα πτερόεντα προσηύδα
odyssey,16,23,SDDDDA,ἦλθες τηλέμαχε ,γλυκερὸν φάος οὔ σ ἔτ ἐγώ γε
odyssey,16,24,SDDDDA,ὄψεσθαι ἐφάμην ,ἐπεὶ ᾤχεο νηῒ πύλονδε
odyssey,16,25,DSDDDA,ἀλλ ἄγε νῦν εἴσελθε ,φίλον τέκος ὄφρα σε θυμῷ
odyssey,16,26,DDDDDA,τέρψομαι εἰσορόων ,νέον ἄλλοθεν ἔνδον ἐόντα
odyssey,16,27,SDDDDA,οὐ μὲν γάρ τι θάμ ἀγρὸν ,ἐπέρχεαι οὐδὲ νομῆας
odyssey,16,28,DSSDDA,ἀλλ ἐπιδημεύεις ,ὣς γάρ νύ τοι εὔαδε θυμῷ
odyssey,16,29,SSDDDA,ἀνδρῶν μνηστήρων ,ἐσορᾶν ἀΐδηλον ὅμιλον
odyssey,16,30,SDSDDA,’ τὸν δ αὖ τηλέμαχος ,πεπνυμένος ἀντίον ηὔδα
odyssey,16,31,DSDDDA,‘ἔσσεται οὕτως ἄττα ,σέθεν δ ἕνεκ ἐνθάδ ἱκάνω
odyssey,16,32,DSDSDA,ὄφρα σέ τ ὀφθαλμοῖσιν ,ἴδω καὶ μῦθον ἀκούσω
odyssey,16,33,DDSDDA,ἤ μοι ἔτ ἐν μεγάροις ,μήτηρ μένει ἦέ τις ἤδη
odyssey,16,34,SDDSDA,ἀνδρῶν ἄλλος ἔγημεν ,ὀδυσσῆος δέ που εὐνὴ
odyssey,16,35,DSDDDA,χήτει ἐνευναίων ,κάκ ἀράχνια κεῖται ἔχουσα
odyssey,16,36,SDDSDA,τὸν δ αὖτε προσέειπε ,συβώτης ὄρχαμος ἀνδρῶν
odyssey,16,37,SSDSDA,‘καὶ λίην κείνη ,γε μένει τετληότι θυμῷ
