text,book,line,meter,first_hemistich,second_hemistich
odyssey,24,1,SSSDDA,ἑρμῆς δὲ ψυχὰς ,κυλλήνιος ἐξεκαλεῖτο
odyssey,24,2,SSDSDA,ἀνδρῶν μνηστήρων ,ἔχε δὲ ῥάβδον μετὰ χερσὶν
odyssey,24,3,SSSSDA,καλὴν χρυσείην ,τῇ τ ἀνδρῶν ὄμματα θέλγει
odyssey,24,4,DSDSDA,ὧν ἐθέλει τοὺς δ αὖτε ,καὶ ὑπνώοντας ἐγείρει
odyssey,24,5,DSSSDA,τῇ ῥ ἄγε κινήσας ,ταὶ δὲ τρίζουσαι ἕποντο
odyssey,24,6,DDDSDA,ὡς δ ὅτε νυκτερίδες ,μυχῷ ἄντρου θεσπεσίοιο
odyssey,24,7,SDDDDA,τρίζουσαι ποτέονται ,ἐπεί κέ τις ἀποπέσῃσιν
odyssey,24,8,DSDSDA,ὁρμαθοῦ ἐκ πέτρης ,ἀνά τ ἀλλήλῃσιν ἔχονται
odyssey,24,9,SSDDDA,ὣς αἱ τετριγυῖαι ,ἅμ ἤϊσαν ἦρχε δ ἄρα σφιν
odyssey,24,10,SDDSDA,ἑρμείας ἀκάκητα ,κατ εὐρώεντα κέλευθα
odyssey,24,11,DDDSDA,πὰρ δ ἴσαν ὠκεανοῦ ,τε ῥοὰς καὶ λευκάδα πέτρην
odyssey,24,12,DDDSDA,ἠδὲ παρ ἠελίοιο ,πύλας καὶ δῆμον ὀνείρων
odyssey,24,13,DDDDSA,ἤϊσαν αἶψα δ ἵκοντο ,κατ ἀσφοδελὸν λειμῶνα
odyssey,24,14,DSSSDA,ἔνθα τε ναίουσι ,ψυχαί εἴδωλα καμόντων
odyssey,24,15,SSSDDA,εὗρον δὲ ψυχὴν ,πηληϊάδεω ἀχιλῆος
odyssey,24,16,SSDDDA,καὶ πατροκλῆος ,καὶ ἀμύμονος ἀντιλόχοιο
odyssey,24,17,SDDSDA,αἴαντός θ ὃς ἄριστος ,ἔην εἶδός τε δέμας τε
odyssey,24,18,SDDDDA,τῶν ἄλλων δαναῶν ,μετ ἀμύμονα πηλεΐδαο
odyssey,24,19,SDDDDA,ὣς οἱ μὲν περὶ κεῖνον ,ὁμίλεον ἀγχίμολον δὲ
odyssey,24,20,DSDDDA,ἤλυθ ἔπι ψυχὴ ,ἀγαμέμνονος ἀτρεΐδαο
odyssey,24,21,DDDDDA,ἀχνυμένη περὶ δ ἄλλαι ,ἀγηγέραθ ὅσσαι ἅμ αὐτῷ
odyssey,24,22,DSDSDA,οἴκῳ ἐν αἰγίσθοιο ,θάνον καὶ πότμον ἐπέσπον
odyssey,24,23,DSDDDA,τὸν προτέρη ψυχὴ ,προσεφώνεε πηλεΐωνος
odyssey,24,24,DDDDDA,ἀτρεΐδη περὶ μέν ,σ ἔφαμεν διὶ τερπικεραύνῳ
odyssey,24,25,SSDDDA,ἀνδρῶν ἡρώων ,φίλον ἔμμεναι ἤματα πάντα
odyssey,24,26,DSDSDA,οὕνεκα πολλοῖσίν ,τε καὶ ἰφθίμοισιν ἄνασσες
odyssey,24,27,DSDDDA,δήμῳ ἔνι τρώων ,ὅθι πάσχομεν ἄλγε ἀχαιοί
odyssey,24,28,DSDSDA,ἦ τ ἄρα καὶ σοὶ πρῶϊ ,παραστήσεσθαι ἔμελλεν
odyssey,24,29,DSDDDA,μοῖρ ὀλοή τὴν οὔ ,τις ἀλεύεται ὅς κε γένηται
odyssey,24,30,DSDDDA,ὡς ὄφελες τιμῆς ,ἀπονήμενος ἧς περ ἄνασσες
odyssey,24,31,DSDSDA,δήμῳ ἔνι τρώων ,θάνατον καὶ πότμον ἐπισπεῖν
odyssey,24,32,SSDSDA,τῷ κέν τοι τύμβον ,μὲν ἐποίησαν παναχαιοί
odyssey,24,33,DSDDDA,ἠδέ κε καὶ σῷ παιδὶ ,μέγα κλέος ἤρα ὀπίσσω
odyssey,24,34,DSDSDA,νῦν δ ἄρα σ οἰκτίστῳ ,θανάτῳ εἵμαρτο ἁλῶναι
odyssey,24,35,SSDDSA,’ τὸν δ αὖτε ψυχὴ ,προσεφώνεεν ἀτρείδαο
odyssey,24,36,DDDDDA,‘ὄλβιε πηλέος υἱέ ,θεοῖς ἐπιείκελ ἀχιλλεῦ
odyssey,24,37,DSDDDA,ὃς θάνες ἐν τροίῃ ,ἑκὰς ἄργεος ἀμφὶ δέ σ ἄλλοι
odyssey,24,38,SSDSDA,κτείνοντο τρώων ,καὶ ἀχαιῶν υἷες ἄριστοι
odyssey,24,39,DDDDDA,μαρνάμενοι περὶ σεῖο ,σὺ δ ἐν στροφάλιγγι κονίης
odyssey,24,40,DDDDDA,κεῖσο μέγας μεγαλωστί ,λελασμένος ἱπποσυνάων
odyssey,24,41,SDDDDA,ἡμεῖς δὲ πρόπαν ἦμαρ ,ἐμαρνάμεθ οὐδέ κε πάμπαν
odyssey,24,42,DDSSDA,παυσάμεθα πτολέμου ,εἰ μὴ ζεὺς λαίλαπι παῦσεν
odyssey,24,43,DDDDDA,αὐτὰρ ἐπεί σ ἐπὶ νῆας ,ἐνείκαμεν ἐκ πολέμοιο
odyssey,24,44,DDDSDA,κάτθεμεν ἐν λεχέεσσι ,καθήραντες χρόα καλὸν
odyssey,24,45,DDDDDA,ὕδατί τε λιαρῷ ,καὶ ἀλείφατι πολλὰ δέ σ ἀμφὶ
odyssey,24,46,DDDSDA,δάκρυα θερμὰ χέον ,δαναοὶ κείροντό τε χαίτας
odyssey,24,47,SDDDDA,μήτηρ δ ἐξ ἁλὸς ἦλθε ,σὺν ἀθανάτῃς ἁλίῃσιν
odyssey,24,48,DDDDDA,ἀγγελίης ἀΐουσα ,βοὴ δ ἐπὶ πόντον ὀρώρει
odyssey,24,49,DDDDDA,θεσπεσίη ὑπὸ δὲ ,τρόμος ἔλλαβε πάντας ἀχαιούς
odyssey,24,50,DSDSDA,καί νύ κ ἀναΐξαντες ,ἔβαν κοίλας ἐπὶ νῆας
odyssey,24,51,DDDDDA,εἰ μὴ ἀνὴρ κατέρυκε ,παλαιά τε πολλά τε εἰδώς
odyssey,24,52,SSDSDA,νέστωρ οὗ καὶ πρόσθεν ,ἀρίστη φαίνετο βουλή
odyssey,24,53,DDDDDA,ὅ σφιν ἐϋφρονέων ,ἀγορήσατο καὶ μετέειπεν
odyssey,24,54,SSSDDA,ἴσχεσθ ἀργεῖοι ,μὴ φεύγετε κοῦροι ἀχαιῶν
odyssey,24,55,SDDDDA,μήτηρ ἐξ ἁλὸς ἥδε ,σὺν ἀθανάτῃς ἁλίῃσιν
odyssey,24,56,DSSDDA,ἔρχεται οὗ παιδὸς ,τεθνηότος ἀντιόωσα
odyssey,24,57,DSDDDA,ὣς ἔφαθ οἱ δ ἔσχοντο ,φόβου μεγάθυμοι ἀχαιοί
odyssey,24,58,DSSDDA,ἀμφὶ δέ σ ἔστησαν ,κοῦραι ἁλίοιο γέροντος
odyssey,24,59,DDDDDA,οἴκτρ ὀλοφυρόμεναι ,περὶ δ ἄμβροτα εἵματα ἕσσαν
odyssey,24,60,SDDDDA,μοῦσαι δ ἐννέα πᾶσαι ,ἀμειβόμεναι ὀπὶ καλῇ
odyssey,24,61,DDSDDA,θρήνεον ἔνθα κεν οὔ ,τιν ἀδάκρυτόν γ ἐνόησας
odyssey,24,62,SSDDDA,ἀργείων τοῖον ,γὰρ ὑπώρορε μοῦσα λίγεια
odyssey,24,63,DDDSDA,ἑπτὰ δὲ καὶ δέκα μέν ,σε ὁμῶς νύκτας τε καὶ ἦμαρ
odyssey,24,64,DDDSSA,κλαίομεν ἀθάνατοί ,τε θεοὶ θνητοί τ ἄνθρωποι
odyssey,24,65,SDDDDA,ὀκτωκαιδεκάτῃ ,δ ἔδομεν πυρί πολλὰ δέ σ ἀμφὶ
odyssey,24,66,DDDDDA,μῆλα κατεκτάνομεν ,μάλα πίονα καὶ ἕλικας βοῦς
