odyssey,14,1,DDDSDA,αὐτὰρ ὁ ἐκ λιμένος ,προσέβη τρηχεῖαν ἀταρπὸν
odyssey,14,2,DSDDDA,χῶρον ἀν ὑλήεντα ,δι ἄκριας ᾗ οἱ ἀθήνη
odyssey,14,3,DDDDDA,πέφραδε δῖον ὑφορβόν ,ὅ οἱ βιότοιο μάλιστα
odyssey,14,4,DSSDDA,κήδετο οἰκήων ,οὓς κτήσατο δῖος ὀδυσσεύς
odyssey,14,5,DDSDDA,τὸν δ ἄρ ἐνὶ προδόμῳ ,εὗρ ἥμενον ἔνθα οἱ αὐλὴ
odyssey,14,6,SSDSDA,ὑψηλὴ δέδμητο ,περισκέπτῳ ἐνὶ χώρῳ
odyssey,14,7,SDDDDA,καλή τε μεγάλη ,τε περίδρομος ἥν ῥα συβώτης
odyssey,14,8,SDDDDA,αὐτὸς δείμαθ ὕεσσιν ,ἀποιχομένοιο ἄνακτος
odyssey,14,9,SSSSDA,νόσφιν δεσποίνης ,καὶ λαέρταο γέροντος
odyssey,14,10,SSDSDA,ῥυτοῖσιν λάεσσι ,καὶ ἐθρίγκωσεν ἀχέρδῳ
odyssey,14,11,SDDDDA,σταυροὺς δ ἐκτὸς ἔλασσε ,διαμπερὲς ἔνθα καὶ ἔνθα
odyssey,14,12,SDDDDA,πυκνοὺς καὶ θαμέας ,τὸ μέλαν δρυὸς ἀμφικεάσσας
odyssey,14,13,SSDDDA,ἔντοσθεν δ αὐλῆς ,συφεοὺς δυοκαίδεκα ποίει
odyssey,14,14,DSSDDA,πλησίον ἀλλήλων ,εὐνὰς συσίν ἐν δὲ ἑκάστῳ
odyssey,14,15,NNNNNN,NA,NA
odyssey,14,16,SDSDDA,θήλειαι τοκάδες ,τοὶ δ ἄρσενες ἐκτὸς ἴαυον
odyssey,14,17,SDSDDA,πολλὸν παυρότεροι ,τοὺς γὰρ μινύθεσκον ἔδοντες
odyssey,14,18,DSDDDA,ἀντίθεοι μνηστῆρες ,ἐπεὶ προΐαλλε συβώτης
odyssey,14,19,SDDDDA,αἰεὶ ζατρεφέων ,σιάλων τὸν ἄριστον ἁπάντων
odyssey,14,20,DDDSDA,οἱ δὲ τριηκόσιοί ,τε καὶ ἑξήκοντα πέλοντο
odyssey,14,21,DSDDDA,πὰρ δὲ κύνες θήρεσσιν ,ἐοικότες αἰὲν ἴαυον
odyssey,14,22,DSDSDA,τέσσαρες οὓς ἔθρεψε ,συβώτης ὄρχαμος ἀνδρῶν
odyssey,14,23,SDDDDA,αὐτὸς δ ἀμφὶ πόδεσσιν ,ἑοῖς ἀράρισκε πέδιλα
odyssey,14,24,SDDDDA,τάμνων δέρμα βόειον ,ἐϋχροές οἱ δὲ δὴ ἄλλοι
odyssey,14,25,SDDDDA,ᾤχοντ ἄλλυδις ἄλλος ,ἅμ ἀγρομένοισι σύεσσιν
odyssey,14,26,SDDDDA,οἱ τρεῖς τὸν δὲ τέταρτον ,ἀποπροέηκε πόλινδε
odyssey,14,27,DSDDDA,σῦν ἀγέμεν μνηστῆρσιν ,ὑπερφιάλοισιν ἀνάγκῃ
odyssey,14,28,DSSDDA,ὄφρ ἱερεύσαντες ,κρειῶν κορεσαίατο θυμόν
odyssey,14,29,DDDDDA,ἐξαπίνης δ ὀδυσῆα ,ἴδον κύνες ὑλακόμωροι
odyssey,14,30,SSDDDA,οἱ μὲν κεκλήγοντες ,ἐπέδραμον αὐτὰρ ὀδυσσεὺς
odyssey,14,31,DDSDDA,ἕζετο κερδοσύνη ,σκῆπτρον δέ οἱ ἔκπεσε χειρός
odyssey,14,32,DSDDDA,ἔνθα κεν ᾧ πὰρ σταθμῷ ,ἀεικέλιον πάθεν ἄλγος
odyssey,14,33,DSDSDA,ἀλλὰ συβώτης ὦκα ,ποσὶ κραιπνοῖσι μετασπὼν
odyssey,14,34,DDSDDA,ἔσσυτ ἀνὰ πρόθυρον ,σκῦτος δέ οἱ ἔκπεσε χειρός
odyssey,14,35,DSSDDA,τοὺς μὲν ὁμοκλήσας ,σεῦεν κύνας ἄλλυδις ἄλλον
odyssey,14,36,SDDDDA,πυκνῇσιν λιθάδεσσιν ,ὁ δὲ προσέειπεν ἄνακτα
odyssey,14,37,DDDDSA,ὦ γέρον ἦ ὀλίγου ,σε κύνες διεδηλήσαντο
odyssey,14,38,DSDSDA,ἐξαπίνης καί κέν ,μοι ἐλεγχείην κατέχευας
odyssey,14,39,DDDDDA,καὶ δέ μοι ἄλλα θεοὶ ,δόσαν ἄλγεά τε στοναχάς τε
odyssey,14,40,DDDDDA,ἀντιθέου γὰρ ἄνακτος ,ὀδυρόμενος καὶ ἀχεύων
odyssey,14,41,SSDDDA,ἧμαι ἄλλοισιν ,δὲ σύας σιάλους ἀτιτάλλω
odyssey,14,42,DSDDDA,ἔδμεναι αὐτὰρ κεῖνος ,ἐελδόμενός που ἐδωδῆς
odyssey,14,43,DDSSDA,πλάζετ ἐπ ἀλλοθρόων ,ἀνδρῶν δῆμόν τε πόλιν τε
odyssey,14,44,DSDDDA,εἴ που ἔτι ζώει ,καὶ ὁρᾷ φάος ἠελίοιο
odyssey,14,45,DDDDDA,ἀλλ ἕπεο κλισίηνδ ,ἴομεν γέρον ὄφρα καὶ αὐτός
odyssey,14,46,SSDDDA,σίτου καὶ οἴνοιο ,κορεσσάμενος κατὰ θυμόν
