n	k	avg_time
2	1	131.2209639
3	1	174.3081972
3	2	97.32938676
4	1	222.7556651
4	2	124.0867096
4	3	88.91537955
5	1	269.1230223
5	2	148.5553189
5	3	108.3774477
5	4	88.44455652
6	1	313.044654
6	2	174.4463124
6	3	127.0075097
6	4	104.0402969
6	5	90.74064994
7	1	359.5675782
7	2	199.4227927
7	3	146.2284958
7	4	120.2575978
7	5	104.3037458
7	6	92.36201353
8	1	405.0947882
8	2	225.3847822
8	3	164.5744929
8	4	135.175495
8	5	118.0122929
8	6	104.5738346
8	7	97.31981049
9	1	447.6747773
9	2	251.8219157
9	3	183.4838534
9	4	150.7774929
9	5	133.7506846
9	6	117.4608521
9	7	108.670299
9	8	100.6294562
10	1	536.3685394
10	2	298.1764767
10	3	219.1905665
10	4	179.6314657
10	5	155.7693978
10	6	138.7231461
10	7	127.5536793
10	8	119.2887678
10	9	111.7005697
11	1	577.2105289
11	2	322.2143013
11	3	235.9901152
11	4	194.3351782
11	5	169.6405313
11	6	151.1887462
11	7	139.6665657
11	8	129.0660683
11	9	121.1182062
11	10	115.0799631
12	1	615.5620234
12	2	346.1160166
12	3	255.0169764
12	4	210.1594022
12	5	182.0555731
12	6	162.8272657
12	7	150.8004218
12	8	139.7518409
12	9	130.6128034
12	10	124.5595262
12	11	118.7668669
13	1	666.2029233
13	2	372.2691531
13	3	272.9254125
13	4	225.3818962
13	5	197.333413
13	6	175.7971538
13	7	161.7326868
13	8	150.7829772
13	9	139.9775525
13	10	132.2244444
13	11	126.643239
13	12	121.8579092
