text,book,line,meter,first_hemistich,second_hemistich
iliad,19,1,SDDDDA,ἠὼς μὲν κροκόπεπλος ,ἀπ ὠκεανοῖο ῥοάων
iliad,19,2,DDDDDA,ὄρνυθ ἵν ἀθανάτοισι ,φόως φέροι ἠδὲ βροτοῖσιν
iliad,19,3,SDDDDA,ἣ δ ἐς νῆας ἵκανε ,θεοῦ πάρα δῶρα φέρουσα
iliad,19,4,DSDDDA,εὗρε δὲ πατρόκλῳ ,περικείμενον ὃν φίλον υἱὸν
iliad,19,5,SDDSDA,κλαίοντα λιγέως ,πολέες δ ἀμφ αὐτὸν ἑταῖροι
iliad,19,6,SSDDDA,μύρονθ ἣ δ ἐν τοῖσι ,παρίστατο δῖα θεάων
iliad,19,7,DSDDDA,ἔν τ ἄρα οἱ φῦ χειρὶ ,ἔπος τ ἔφατ ἔκ τ ὀνόμαζε
iliad,19,8,DSDDDA,‘τέκνον ἐμὸν τοῦτον ,μὲν ἐάσομεν ἀχνύμενοί περ
iliad,19,9,DSDDDA,κεῖσθαι ἐπεὶ δὴ πρῶτα ,θεῶν ἰότητι δαμάσθη
iliad,19,10,SSDDDA,τύνη δ ἡφαίστοιο ,πάρα κλυτὰ τεύχεα δέξο
iliad,19,11,DSDSDA,καλὰ μάλ οἷ οὔ πώ ,τις ἀνὴρ ὤμοισι φόρησεν
iliad,19,12,DSDDDA,ὡς ἄρα φωνήσασα ,θεὰ κατὰ τεύχε ἔθηκε
iliad,19,13,DSDDDA,πρόσθεν ἀχιλλῆος ,τὰ δ ἀνέβραχε δαίδαλα πάντα
iliad,19,14,DDDDDA,μυρμιδόνας δ ἄρα πάντας ,ἕλε τρόμος οὐδέ τις ἔτλη
iliad,19,15,SDSDDA,ἄντην εἰσιδέειν ,ἀλλ ἔτρεσαν αὐτὰρ ἀχιλλεὺς
iliad,19,16,SSDDDA,ὡς εἶδ ὥς μιν μᾶλλον ,ἔδυ χόλος ἐν δέ οἱ ὄσσε
iliad,19,17,DDSDDA,δεινὸν ὑπὸ βλεφάρων ,ὡς εἰ σέλας ἐξεφάανθεν
iliad,19,18,DSDDDA,τέρπετο δ ἐν χείρεσσιν ,ἔχων θεοῦ ἀγλαὰ δῶρα
iliad,19,19,DDDDDA,αὐτὰρ ἐπεὶ φρεσὶν ᾗσι ,τετάρπετο δαίδαλα λεύσσων
iliad,19,20,DDDDDA,αὐτίκα μητέρα ἣν ,ἔπεα πτερόεντα προσηύδα
iliad,19,21,DDDDDA,‘μῆτερ ἐμὴ τὰ μὲν ὅπλα ,θεὸς πόρεν οἷ ἐπιεικὲς
iliad,19,22,DDSDDA,ἔργ ἔμεν ἀθανάτων ,μὴ δὲ βροτὸν ἄνδρα τελέσσαι
iliad,19,23,SDSDDA,νῦν δ ἤτοι μὲν ἐγὼ ,θωρήξομαι ἀλλὰ μάλ αἰνῶς
iliad,19,24,SSDDDA,δείδω μή μοι τόφρα ,μενοιτίου ἄλκιμον υἱὸν
iliad,19,25,SSDDSA,μυῖαι καδδῦσαι ,κατὰ χαλκοτύπους ὠτειλὰς
iliad,19,26,SSDSDA,εὐλὰς ἐγγείνωνται ,ἀεικίσσωσι δὲ νεκρόν
iliad,19,27,SDDDDA,ἐκ δ αἰὼν πέφαται ,κατὰ δὲ χρόα πάντα σαπήῃ
iliad,19,28,SDDDDA,τὸν δ ἠμείβετ ἔπειτα ,θεὰ θέτις ἀργυρόπεζα
iliad,19,29,SSDDDA,‘τέκνον μή τοι ταῦτα ,μετὰ φρεσὶ σῇσι μελόντων
iliad,19,30,DSDSDA,τῷ μὲν ἐγὼ πειρήσω ,ἀλαλκεῖν ἄγρια φῦλα
iliad,19,31,SDDDDA,μυίας αἵ ῥά τε φῶτας ,ἀρηϊφάτους κατέδουσιν
iliad,19,32,SSDDDA,ἤν περ γὰρ κεῖταί ,γε τελεσφόρον εἰς ἐνιαυτόν
iliad,19,33,SSSDDA,αἰεὶ τῷ γ ἔσται ,χρὼς ἔμπεδος ἢ καὶ ἀρείων
iliad,19,34,DDDSDA,ἀλλὰ σύ γ εἰς ἀγορὴν ,καλέσας ἥρωας ἀχαιοὺς
iliad,19,35,DSDDDA,μῆνιν ἀποειπὼν ,ἀγαμέμνονι ποιμένι λαῶν
iliad,19,36,DDSDDA,αἶψα μάλ ἐς πόλεμον ,θωρήσσεο δύσεο δ ἀλκήν
iliad,19,37,DSDDDA,ὣς ἄρα φωνήσασα ,μένος πολυθαρσὲς ἐνῆκε
iliad,19,38,SSDSDA,πατρόκλῳ δ αὖτ ἀμβροσίην ,καὶ νέκταρ ἐρυθρὸν
iliad,19,39,DSDSDA,στάξε κατὰ ῥινῶν ,ἵνα οἱ χρὼς ἔμπεδος εἴη
iliad,19,40,DDDSDA,αὐτὰρ ὃ βῆ παρὰ θῖνα ,θαλάσσης δῖος ἀχιλλεὺς
iliad,19,41,DDSSDA,σμερδαλέα ἰάχων ,ὦρσεν δ ἥρωας ἀχαιούς
iliad,19,42,SDDDDA,καί ῥ οἵ περ τὸ πάρος ,γε νεῶν ἐν ἀγῶνι μένεσκον
iliad,19,43,DSDSDA,οἵ τε κυβερνῆται ,καὶ ἔχον οἰήϊα νηῶν
iliad,19,44,DDDSDA,καὶ ταμίαι παρὰ νηυσὶν ,ἔσαν σίτοιο δοτῆρες
iliad,19,45,SDDDDA,καὶ μὴν οἳ τότε γ εἰς ,ἀγορὴν ἴσαν οὕνεκ ἀχιλλεὺς
iliad,19,46,DSDDDA,ἐξεφάνη δηρὸν ,δὲ μάχης ἐπέπαυτ ἀλεγεινῆς
iliad,19,47,DSDDDA,τὼ δὲ δύω σκάζοντε ,βάτην ἄρεος θεράποντε
iliad,19,48,DDDSDA,τυδεΐδης τε μενεπτόλεμος ,καὶ δῖος ὀδυσσεὺς
iliad,19,49,DDDDDA,ἔγχει ἐρειδομένω ,ἔτι γὰρ ἔχον ἕλκεα λυγρά
iliad,19,50,DSDSDA,κὰδ δὲ μετὰ πρώτῃ ,ἀγορῇ ἵζοντο κιόντες
iliad,19,51,DDDSDA,αὐτὰρ ὃ δεύτατος ἦλθεν ,ἄναξ ἀνδρῶν ἀγαμέμνων
iliad,19,52,DSDDSA,ἕλκος ἔχων καὶ γὰρ ,τὸν ἐνὶ κρατερῇ ὑσμίνῃ
iliad,19,53,DSDSDA,οὖτα κόων ἀντηνορίδης ,χαλκήρεϊ δουρί
iliad,19,54,DSDSDA,αὐτὰρ ἐπεὶ δὴ πάντες ,ἀολλίσθησαν ἀχαιοί
iliad,19,55,DDDDDA,τοῖσι δ ἀνιστάμενος ,μετέφη πόδας ὠκὺς ἀχιλλεύς
iliad,19,56,DSDDDA,‘ἀτρεΐδη ἦ ἄρ ,τι τόδ ἀμφοτέροισιν ἄρειον
iliad,19,57,DDDDDA,ἔπλετο σοὶ καὶ ἐμοί ,ὅ τε νῶΐ περ ἀχνυμένω κῆρ
iliad,19,58,DDDDDA,θυμοβόρῳ ἔριδι ,μενεήναμεν εἵνεκα κούρης
iliad,19,59,DSDDDA,τὴν ὄφελ ἐν νήεσσι ,κατακτάμεν ἄρτεμις ἰῷ
iliad,19,60,DDDSDA,ἤματι τῷ ὅτ ἐγὼν ,ἑλόμην λυρνησσὸν ὀλέσσας
iliad,19,61,SDDDDA,τώ κ οὐ τόσσοι ἀχαιοὶ ,ὀδὰξ ἕλον ἄσπετον οὖδας
iliad,19,62,DDDDSA,δυσμενέων ὑπὸ χερσὶν ,ἐμεῦ ἀπομηνίσαντος
iliad,19,63,DSDDDA,ἕκτορι μὲν καὶ τρωσὶ ,τὸ κέρδιον αὐτὰρ ἀχαιοὺς
iliad,19,64,DSDSDA,δηρὸν ἐμῆς καὶ σῆς ,ἔριδος μνήσεσθαι ὀΐω
iliad,19,65,DDDDDA,ἀλλὰ τὰ μὲν προτετύχθαι ,ἐάσομεν ἀχνύμενοί περ
iliad,19,66,DSDDDA,θυμὸν ἐνὶ στήθεσσι ,φίλον δαμάσαντες ἀνάγκῃ
iliad,19,67,SDSDDA,νῦν δ ἤτοι μὲν ἐγὼ ,παύω χόλον οὐδέ τί με χρὴ
iliad,19,68,DSDDDA,ἀσκελέως αἰεὶ ,μενεαινέμεν ἀλλ ἄγε θᾶσσον
iliad,19,69,SDDDDA,ὄτρυνον πόλεμον ,δὲ κάρη κομόωντας ἀχαιούς
iliad,19,70,DSSDDA,ὄφρ ἔτι καὶ τρώων ,πειρήσομαι ἀντίον ἐλθὼν
iliad,19,71,DDDSDA,αἴ κ ἐθέλωσ ἐπὶ νηυσὶν ,ἰαύειν ἀλλά τιν οἴω
iliad,19,72,DSDSDA,ἀσπασίως αὐτῶν ,γόνυ κάμψειν ὅς κε φύγῃσι
iliad,19,73,DDDDDA,δηΐου ἐκ πολέμοιο ,ὑπ ἔγχεος ἡμετέροιο
iliad,19,74,DDDSDA,ὣς ἔφαθ οἳ δ ἐχάρησαν ,ἐϋκνήμιδες ἀχαιοὶ
iliad,19,75,DSDSDA,μῆνιν ἀπειπόντος ,μεγαθύμου πηλεΐωνος
iliad,19,76,DDDSDA,τοῖσι δὲ καὶ μετέειπεν ,ἄναξ ἀνδρῶν ἀγαμέμνων
iliad,19,77,DSSSDA,αὐτόθεν ἐξ ἕδρης ,οὐδ ἐν μέσσοισιν ἀναστάς
iliad,19,78,DSDDDA,‘ὦ φίλοι ἥρωες ,δαναοὶ θεράποντες ἄρηος
iliad,19,79,DSDSDA,ἑσταότος μὲν καλὸν ,ἀκούειν οὐδὲ ἔοικεν
iliad,19,80,SDDDDA,ὑββάλλειν χαλεπὸν ,γὰρ ἐπισταμένῳ περ ἐόντι
iliad,19,81,SSDSDA,ἀνδρῶν δ ἐν πολλῷ ,ὁμάδῳ πῶς κέν τις ἀκούσαι
iliad,19,82,SDDDDA,ἢ εἴποι βλάβεται ,δὲ λιγύς περ ἐὼν ἀγορητής
iliad,19,83,DDSDDA,πηλεΐδῃ μὲν ἐγὼν ,ἐνδείξομαι αὐτὰρ οἱ ἄλλοι
iliad,19,84,SSSSDA,σύνθεσθ ἀργεῖοι ,μῦθόν τ εὖ γνῶτε ἕκαστος
iliad,19,85,DSDSDA,πολλάκι δή μοι τοῦτον ,ἀχαιοὶ μῦθον ἔειπον
iliad,19,86,DSDSDA,καί τέ με νεικείεσκον ,ἐγὼ δ οὐκ αἴτιός εἰμι
iliad,19,87,SSDDDA,ἀλλὰ ζεὺς καὶ μοῖρα ,καὶ ἠεροφοῖτις ἐρινύς
iliad,19,88,DDDDDA,οἵ τέ μοι εἰν ἀγορῇ ,φρεσὶν ἔμβαλον ἄγριον ἄτην
iliad,19,89,DDSDDA,ἤματι τῷ ὅτ ἀχιλλῆος ,γέρας αὐτὸς ἀπηύρων
