text,book,line,meter,first_hemistich,second_hemistich
iliad,4,1,DSDDDA,οἳ δὲ θεοὶ πὰρ ζηνὶ ,καθήμενοι ἠγορόωντο
iliad,4,2,DDDDDA,χρυσέῳ ἐν δαπέδῳ ,μετὰ δέ σφισι πότνια ἥβη
iliad,4,3,DDSDDA,νέκταρ ἐοινοχόει ,τοὶ δὲ χρυσέοις δεπάεσσι
iliad,4,4,DSSDDA,δειδέχατ ἀλλήλους ,τρώων πόλιν εἰσορόωντες
iliad,4,5,DSDDDA,αὐτίκ ἐπειρᾶτο ,κρονίδης ἐρεθιζέμεν ἥρην
iliad,4,6,DDDSDA,κερτομίοις ἐπέεσσι ,παραβλήδην ἀγορεύων
iliad,4,7,SDDDDA,δοιαὶ μὲν μενελάῳ ,ἀρηγόνες εἰσὶ θεάων
iliad,4,8,SSDDDA,ἥρη τ ἀργείη ,καὶ ἀλαλκομενηῒς ἀθήνη
iliad,4,9,SSDDDA,ἀλλ ἤτοι ταὶ νόσφι ,καθήμεναι εἰσορόωσαι
iliad,4,10,SSDSDA,τέρπεσθον τῷ δ αὖτε ,φιλομειδὴς ἀφροδίτη
iliad,4,11,SSDSDA,αἰεὶ παρμέμβλωκε ,καὶ αὐτοῦ κῆρας ἀμύνει
iliad,4,12,SDDDDA,καὶ νῦν ἐξεσάωσεν ,ὀϊόμενον θανέεσθαι
iliad,4,13,SSDDDA,ἀλλ ἤτοι νίκη ,μὲν ἀρηϊφίλου μενελάου
iliad,4,14,SSDSDA,‘ἡμεῖς δὲ φραζώμεθ ,ὅπως ἔσται τάδε ἔργα
iliad,4,15,SDDSDA,ἤ ῥ αὖτις πόλεμόν ,τε κακὸν καὶ φύλοπιν αἰνὴν
iliad,4,16,DDDDDA,ὄρσομεν ἦ φιλότητα ,μετ ἀμφοτέροισι βάλωμεν
iliad,4,17,SDDSDA,εἰ δ αὖ πως τόδε πᾶσι ,φίλον καὶ ἡδὺ γένοιτο
iliad,4,18,SSDDDA,ἤτοι μὲν οἰκέοιτο ,πόλις πριάμοιο ἄνακτος
iliad,4,19,SSDDDA,αὖτις δ ἀργείην ,ἑλένην μενέλαος ἄγοιτο
iliad,4,20,DDDSDA,ὣς ἔφαθ αἳ δ ἐπέμυξαν ,ἀθηναίη τε καὶ ἥρη
iliad,4,21,DSDSDA,πλησίαι αἵ γ ἥσθην ,κακὰ δὲ τρώεσσι μεδέσθην
iliad,4,22,DSDSDA,ἤτοι ἀθηναίη ,ἀκέων ἦν οὐδέ τι εἶπε
iliad,4,23,DDDDDA,σκυζομένη διὶ πατρί ,χόλος δέ μιν ἄγριος ᾕρει
iliad,4,24,SDSDDA,ἥρῃ δ οὐκ ἔχαδε ,στῆθος χόλον ἀλλὰ προσηύδα
iliad,4,25,DDSSDA,‘αἰνότατε κρονίδη ,ποῖον τὸν μῦθον ἔειπες
iliad,4,26,DDSDDA,πῶς ἐθέλεις ἅλιον ,θεῖναι πόνον ἠδ ἀτέλεστον
iliad,4,27,SSDDDA,ἱδρῶ θ ὃν ἵδρωσα ,μόγῳ καμέτην δέ μοι ἵπποι
iliad,4,28,DSDDDA,λαὸν ἀγειρούσῃ ,πριάμῳ κακὰ τοῖό τε παισίν
iliad,4,29,DSDDDA,ἕρδ ἀτὰρ οὔ τοι πάντες ,ἐπαινέομεν θεοὶ ἄλλοι
iliad,4,30,DSDDDA,τὴν δὲ μέγ ὀχθήσας ,προσέφη νεφεληγερέτα ζεύς
iliad,4,31,DDDDDA,‘δαιμονίη τί νύ σε ,πρίαμος πριάμοιό τε παῖδες
iliad,4,32,DSDSDA,τόσσα κακὰ ῥέζουσιν ,ὅ τ ἀσπερχὲς μενεαίνεις
iliad,4,33,DDDDDA,ἰλίου ἐξαλαπάξαι ,ἐϋκτίμενον πτολίεθρον
