text,book,line,meter,first_hemistich,second_hemistich
odyssey,13,1,DDDDDA,ὣς ἔφαθ οἱ δ ἄρα πάντες ,ἀκὴν ἐγένοντο σιωπῇ
odyssey,13,2,SSDDDA,κηληθμῷ δ ἔσχοντο ,κατὰ μέγαρα σκιόεντα
odyssey,13,3,SDDDSA,τὸν δ αὖτ ἀλκίνοος ,ἀπαμείβετο φώνησέν τε
odyssey,13,4,DDDDDA,ὦ ὀδυσεῦ ἐπεὶ ἵκευ ,ἐμὸν ποτὶ χαλκοβατὲς δῶ
odyssey,13,5,DSDSDA,ὑψερεφές τῷ σ οὔ ,τι παλιμπλαγχθέντα γ ὀΐω
odyssey,13,6,DSSDDA,ἂψ ἀπονοστήσειν ,εἰ καὶ μάλα πολλὰ πέπονθας
odyssey,13,7,SDDDDA,ὑμέων δ ἀνδρὶ ἑκάστῳ ,ἐφιέμενος τάδε εἴρω
odyssey,13,8,DDDDDA,ὅσσοι ἐνὶ μεγάροισι ,γερούσιον αἴθοπα οἶνον
odyssey,13,9,SDDSDA,αἰεὶ πίνετ ἐμοῖσιν ,ἀκουάζεσθε δ ἀοιδοῦ
odyssey,13,10,DSDSDA,εἵματα μὲν δὴ ξείνῳ ,ἐϋξέστῃ ἐνὶ χηλῷ
odyssey,13,11,SSDDDA,κεῖται καὶ χρυσὸς ,πολυδαίδαλος ἄλλα τε πάντα
odyssey,13,12,DSSDDA,δῶρ ὅσα φαιήκων ,βουληφόροι ἐνθάδ ἔνεικαν
odyssey,13,13,DSDDDA,ἀλλ ἄγε οἱ δῶμεν ,τρίποδα μέγαν ἠδὲ λέβητα
odyssey,13,14,DSDDDA,ἀνδρακάς ἡμεῖς δ αὖτε ,ἀγειρόμενοι κατὰ δῆμον
odyssey,13,15,DDDSDA,τισόμεθ ἀργαλέον ,γὰρ ἕνα προικὸς χαρίσασθαι
odyssey,13,16,DDSDDA,ὣς ἔφατ ἀλκίνοος ,τοῖσιν δ ἐπιὴνδανε μῦθος
odyssey,13,17,SSDSDA,οἱ μὲν κακκείοντες ,ἔβαν οἶκόνδε ἕκαστος
odyssey,13,18,SDDDDA,ἦμος δ ἠριγένεια ,φάνη ῥοδοδάκτυλος ἠώς
odyssey,13,19,DSDSDA,νῆάδ ἐπεσσεύοντο ,φέρον δ εὐήνορα χαλκόν
odyssey,13,20,DDDDDA,καὶ τὰ μὲν εὖ κατέθηχ ,ἱερὸν μένος ἀλκινόοιο
odyssey,13,21,DDDDDA,αὐτὸς ἰὼν διὰ νηὸς ,ὑπὸ ζυγά μή τιν ἑταίρων
odyssey,13,22,DSDSDA,βλάπτοι ἐλαυνόντων ,ὁπότε σπερχοίατ ἐρετμοῖς
odyssey,13,23,SDDSDA,οἱ δ εἰς ἀλκινόοιο ,κίον καὶ δαῖτ ἀλέγυνον
odyssey,13,24,DDDDDA,τοῖσι δὲ βοῦν ἱέρευσ ,ἱερὸν μένος ἀλκινόοιο
odyssey,13,25,DDDSDA,ζηνὶ κελαινεφέϊ ,κρονίδῃ ὃς πᾶσιν ἀνάσσει
odyssey,13,26,DSSDDA,μῆρα δὲ κήαντες ,δαίνυντ ἐρικυδέα δαῖτα
odyssey,13,27,DDDDDA,τερπόμενοι μετὰ δέ ,σφιν ἐμέλπετο θεῖος ἀοιδός
odyssey,13,28,DSDDDA,δημόδοκος λαοῖσι ,τετιμένος αὐτὰρ ὀδυσσεὺς
odyssey,13,29,DDDDDA,πολλὰ πρὸς ἠέλιον ,κεφαλὴν τρέπε παμφανόωντα
odyssey,13,30,DDSDDA,δῦναι ἐπειγόμενος ,δὴ γὰρ μενέαινε νέεσθαι
odyssey,13,31,DSDDDA,ὡς δ ὅτ ἀνὴρ δόρποιο ,λιλαίεται ᾧ τε πανῆμαρ
odyssey,13,32,DSDDDA,νειὸν ἀν ἕλκητον ,βόε οἴνοπε πηκτὸν ἄροτρον
odyssey,13,33,DDDDDA,ἀσπασίως δ ἄρα τῷ ,κατέδυ φάος ἠελίοιο
odyssey,13,34,DSDDDA,δόρπον ἐποίχεσθαι ,βλάβεται δέ τε γούνατ ἰόντι
odyssey,13,35,DSDDDA,ὣς ὀδυσῆ ἀσπαστὸν ,ἔδυ φάος ἠελίοιο
odyssey,13,36,DSDSDA,αἶψα δὲ φαιήκεσσι ,φιληρέτμοισι μετηύδα
odyssey,13,37,DDDDDA,ἀλκινόῳ δὲ μάλιστα ,πιφαυσκόμενος φάτο μῦθον
odyssey,13,38,DSSDDA,ἀλκίνοε κρεῖον ,πάντων ἀριδείκετε λαῶν
odyssey,13,39,DSDDDA,πέμπετέ με σπείσαντες ,ἀπήμονα χαίρετε δ αὐτοί
odyssey,13,40,SDDDDA,ἤδη γὰρ τετέλεσται ,ἅ μοι φίλος ἤθελε θυμός
odyssey,13,41,SDDDDA,πομπὴ καὶ φίλα δῶρα ,τά μοι θεοὶ οὐρανίωνες
odyssey,13,42,DSDDDA,ὄλβια ποιήσειαν ,ἀμύμονα δ οἴκοι ἄκοιτιν
odyssey,13,43,SSDDDA,νοστήσας εὕροιμι ,σὺν ἀρτεμέεσσι φίλοισιν
odyssey,13,44,SDDSDA,ὑμεῖς δ αὖθι μένοντες ,ἐϋφραίνοιτε γυναῖκας
odyssey,13,45,DSDDDA,κουριδίας καὶ τέκνα ,θεοὶ δ ἀρετὴν ὀπάσειαν
odyssey,13,46,SSDDDA,παντοίην καὶ μή ,τι κακὸν μεταδήμιον εἴη
odyssey,13,47,DDDDDA,ὣς ἔφαθ οἱ δ ἄρα πάντες ,ἐπῄνεον ἠδ ἐκέλευον
odyssey,13,48,DSDDDA,πεμπέμεναι τὸν ξεῖνον ,ἐπεὶ κατὰ μοῖραν ἔειπεν
odyssey,13,49,DSDDDA,καὶ τότε κήρυκα ,προσέφη μένος ἀλκινόοιο
odyssey,13,50,DSDDDA,‘ποντόνοε κρητῆρα ,κερασσάμενος μέθυ νεῖμον
odyssey,13,51,SDDDDA,πᾶσιν ἀνὰ μέγαρον ,ὄφρ εὐξάμενοι διὶ πατρὶ
odyssey,13,52,SSDSDA,τὸν ξεῖνον πέμπωμεν ,ἑὴν ἐς πατρίδα γαῖαν
odyssey,13,53,DDDDDA,ὣς φάτο ποντόνοος ,δὲ μελίφρονα οἶνον ἐκίρνα
odyssey,13,54,SDDDDA,νώμησεν δ ἄρα πᾶσιν ,ἐπισταδόν οἱ δὲ θεοῖσιν
odyssey,13,55,SDDDDA,ἔσπεισαν μακάρεσσι ,τοὶ οὐρανὸν εὐρὺν ἔχουσιν
odyssey,13,56,DDDDDA,αὐτόθεν ἐξ ἑδρέων ,ἀνὰ δ ἵστατο δῖος ὀδυσσεύς
odyssey,13,57,SSDDDA,ἀρήτῃ δ ἐν χειρὶ ,τίθει δέπας ἀμφικύπελλον
odyssey,13,58,SSDDDA,καί μιν φωνήσας ,ἔπεα πτερόεντα προσηύδα
odyssey,13,59,DDDDDA,χαῖρέ μοι ὦ βασίλεια ,διαμπερές εἰς ὅ κε γῆρας
odyssey,13,60,SDDSDA,ἔλθῃ καὶ θάνατος ,τά τ ἐπ ἀνθρώποισι πέλονται
odyssey,13,61,DDDDDA,αὐτὰρ ἐγὼ νέομαι ,σὺ δὲ τέρπεο τῷδ ἐνὶ οἴκῳ
odyssey,13,62,DSDDDA,παισί τε καὶ λαοῖσι ,καὶ ἀλκινόῳ βασιλῆϊ
odyssey,13,63,SDDDDA,ὣς εἰπὼν ὑπὲρ οὐδὸν ,ἐβήσετο δῖος ὀδυσσεύς
odyssey,13,64,DSDDDA,τῷ δ ἅμα κήρυκα ,προΐει μένος ἀλκινόοιο
odyssey,13,65,SDDSDA,ἡγεῖσθαι ἐπὶ νῆα ,θοὴν καὶ θῖνα θαλάσσης
odyssey,13,66,SDSDDA,ἀρήτη δ ἄρα οἱ ,δμῳὰς ἅμ ἔπεμπε γυναῖκας
odyssey,13,67,SDDDDA,τὴν μὲν φᾶρος ἔχουσαν ,ἐϋπλυνὲς ἠδὲ χιτῶνα
odyssey,13,68,DSDDDA,τὴν δ ἑτέρην χηλὸν ,πυκινὴν ἅμ ὄπασσε κομίζειν
odyssey,13,69,SSDSDA,ἡ δ ἄλλη σῖτόν ,τ ἔφερεν καὶ οἶνον ἐρυθρόν
odyssey,13,70,DDDDDA,αὐτὰρ ἐπεί ῥ ἐπὶ νῆα ,κατήλυθον ἠδὲ θάλασσαν
odyssey,13,71,DSDSDA,αἶψα τά γ ἐν νηῒ ,γλαφυρῇ πομπῆες ἀγαυοὶ
odyssey,13,72,DDDSDA,δεξάμενοι κατέθεντο ,πόσιν καὶ βρῶσιν ἅπασαν
odyssey,13,73,DSDSDA,κὰδ δ ἄρ ὀδυσσῆϊ ,στόρεσαν ῥῆγός τε λίνον τε
odyssey,13,74,DDDDDA,νηὸς ἐπ ἰκριόφιν ,γλαφυρῆς ἵνα νήγρετον εὕδοι
odyssey,13,75,SDDDDA,πρυμνῆς ἂν δὲ καὶ αὐτὸς ,ἐβήσετο καὶ κατέλεκτο
odyssey,13,76,SDDSDA,σιγῇ τοὶ δὲ καθῖζον ,ἐπὶ κληῗσιν ἕκαστοι
odyssey,13,77,SDDSSA,κόσμῳ πεῖσμα δ ἔλυσαν ,ἀπὸ τρητοῖο λίθοις
odyssey,13,78,DSDSDA,εὖθ οἱ ἀνακλινθέντες ,ἀνερρίπτουν ἅλα πηδῷ
odyssey,13,79,SDDDDA,καὶ τῷ νήδυμος ὕπνος ,ἐπὶ βλεφάροισιν ἔπιπτε
odyssey,13,80,DSDSDA,νήγρετος ἥδιστος ,θανάτῳ ἄγχιστα ἐοικώς
odyssey,13,81,SDDSDA,ἡ δ ὥς τ ἐν πεδίῳ ,τετράοροι ἄρσενες ἵπποι
odyssey,13,82,DSDSDA,πάντες ἅμ ὁρμηθέντες ,ὑπὸ πληγῇσιν ἱμάσθλης
odyssey,13,83,DDSSDA,ὑψόσ ἀειρόμενοι ,ῥίμφα πρήσσουσι κέλευθον
odyssey,13,84,DSDDDA,ὣς ἄρα τῆς πρύμνη ,μὲν ἀείρετο κῦμα δ ὄπισθε
odyssey,13,85,DDDSDA,πορφύρεον μέγα θῦε ,πολυφλοίσβοιο θαλάσσης
odyssey,13,86,DDDDDA,ἡ δὲ μάλ ἀσφαλέως ,θέεν ἔμπεδον οὐδέ κεν ἴρηξ
odyssey,13,87,DSDDDA,κίρκος ὁμαρτήσειεν ,ἐλαφρότατος πετεηνῶν
odyssey,13,88,SDDSDA,ὣς ἡ ῥίμφα θέουσα ,θαλάσσης κύματ ἔταμνεν
odyssey,13,89,DDDDDA,ἄνδρα φέρουσα θεοῖς ,ἐναλίγκια μήδε ἔχοντα
odyssey,13,90,SDDDDA,ὃς πρὶν μὲν μάλα πολλὰ ,πάθ ἄλγεα ὃν κατὰ θυμὸν
odyssey,13,91,SDDDDA,ἀνδρῶν τε πτολέμους ,ἀλεγεινά τε κύματα πείρων
odyssey,13,92,DDDDDA,δὴ τότε γ ἀτρέμας εὗδε ,λελασμένος ὅσσ ἐπεπόνθει
odyssey,13,93,SDDDDA,εὖτ ἀστὴρ ὑπερέσχε ,φαάντατος ὅς τε μάλιστα
odyssey,13,94,DSDSDA,ἔρχεται ἀγγέλλων ,φάος ἠοῦς ἠριγενείης
odyssey,13,95,SSDDDA,τῆμος δὴ νήσῳ ,προσεπίλνατο ποντοπόρος νηῦς
odyssey,13,96,SDDDDA,φόρκυνος δέ τίς ἐστι ,λιμήν ἁλίοιο γέροντος
odyssey,13,97,SDDSDA,ἐν δήμῳ ἰθάκης ,δύο δὲ προβλῆτες ἐν αὐτῷ
odyssey,13,98,DSDDSA,ἀκταὶ ἀπορρῶγες ,λιμένος ποτιπεπτηυῖαι
odyssey,13,99,DDDSDA,αἵ τ ἀνέμων σκεπόωσι ,δυσαήων μέγα κῦμα
odyssey,13,100,DSDSDA,ἔκτοθεν ἔντοσθεν ,δέ τ ἄνευ δεσμοῖο μένουσι
odyssey,13,101,DSDSDA,νῆες ἐΰσσελμοι ,ὅτ ἂν ὅρμου μέτρον ἵκωνται
odyssey,13,102,DSDDDA,αὐτὰρ ἐπὶ κρατὸς ,λιμένος τανύφυλλος ἐλαίη
odyssey,13,103,DSDDDA,ἀγχόθι δ αὐτῆς ἄντρον ,ἐπήρατον ἠεροειδές
odyssey,13,104,SSSDDA,ἱρὸν νυμφάων ,αἱ νηϊάδες καλέονται
odyssey,13,105,SSDDDA,ἐν δὲ κρητῆρές ,τε καὶ ἀμφιφορῆες ἔασιν
odyssey,13,106,DDDSDA,λάϊνοι ἔνθα δ ἔπειτα ,τιθαιβώσσουσι μέλισσαι
odyssey,13,107,SDDDDA,ἐν δ ἱστοὶ λίθεοι ,περιμήκεες ἔνθα τε νύμφαι
odyssey,13,108,DSDDDA,φάρε ὑφαίνουσιν ,ἁλιπόρφυρα θαῦμα ἰδέσθαι
odyssey,13,109,DDDDDA,ἐν δ ὕδατ ἀενάοντα ,δύω δέ τέ οἱ θύραι εἰσίν
odyssey,13,110,SDDDSA,αἱ μὲν πρὸς βορέαο ,καταιβαταὶ ἀνθρώποισιν
odyssey,13,111,SDDDDA,αἱ δ αὖ πρὸς νότου εἰσὶ ,θεώτεραι οὐδέ τι κείνῃ
odyssey,13,112,DSSDDA,ἄνδρες ἐσέρχονται ,ἀλλ ἀθανάτων ὁδός ἐστιν
odyssey,13,113,SDSDDA,ἔνθ οἵ γ εἰσέλασαν ,πρὶν εἰδότες ἡ μὲν ἔπειτα
odyssey,13,114,SDDDDA,ἠπείρῳ ἐπέκελσεν ,ὅσον τ ἐπὶ ἥμισυ πάσης
odyssey,13,115,DSDDDA,σπερχομένη τοῖον ,γὰρ ἐπείγετο χέρσ ἐρετάων
odyssey,13,116,SSDDSA,οἱ δ ἐκ νηὸς βάντες ,ἐϋζύγου ἤπειρόνδε
odyssey,13,117,DSDSDA,πρῶτον ὀδυσσῆα ,γλαφυρῆς ἐκ νηὸς ἄειραν
odyssey,13,118,SDSDDA,αὐτῷ σύν τε λίνῳ ,καὶ ῥήγεϊ σιγαλόεντι
odyssey,13,119,DDDSDA,κὰδ δ ἄρ ἐπὶ ψαμάθῳ ,ἔθεσαν δεδμημένον ὕπνῳ
odyssey,13,120,SDDSDA,ἐκ δὲ κτήματ ἄειραν ,ἅ οἱ φαίηκες ἀγαυοὶ
odyssey,13,121,DDDDDA,ὤπασαν οἴκαδ ἰόντι ,διὰ μεγάθυμον ἀθήνην
odyssey,13,122,DDDSDA,καὶ τὰ μὲν οὖν παρὰ πυθμέν ,ἐλαίης ἀθρόα θῆκαν
odyssey,13,123,DSDSSA,ἐκτὸς ὁδοῦ μή πώς ,τις ὁδιτάων ἀνθρώπων
odyssey,13,124,DSDSSA,πρίν γ ὀδυσῆ ἔγρεσθαι ,ἐπελθὼν δηλήσαιτο
odyssey,13,125,SSDDDA,αὐτοὶ δ αὖτ οἶκόνδε ,πάλιν κίον οὐδ ἐνοσίχθων
odyssey,13,126,DSSDDA,λήθετ ἀπειλάων ,τὰς ἀντιθέῳ ὀδυσῆϊ
odyssey,13,127,DSDSDA,πρῶτον ἐπηπείλησε ,διὸς δ ἐξείρετο βουλήν
odyssey,13,128,DDDDDA,ζεῦ πάτερ οὐκέτ ἐγώ ,γε μετ ἀθανάτοισι θεοῖσι
odyssey,13,129,SDDDDA,τιμήεις ἔσομαι ,ὅτε με βροτοὶ οὔ τι τίουσιν
odyssey,13,130,SSDSDA,φαίηκες τοί πέρ ,τοι ἐμῆς ἔξ εἰσι γενέθλης
odyssey,13,131,SDDDDA,καὶ γὰρ νῦν ὀδυσῆ ,ἐφάμην κακὰ πολλὰ παθόντα
odyssey,13,132,DSSDDA,οἴκαδ ἐλεύσεσθαι ,νόστον δέ οἱ οὔ ποτ ἀπηύρων
odyssey,13,133,DSDDDA,πάγχυ ἐπεὶ σὺ πρῶτον ,ὑπέσχεο καὶ κατένευσας
odyssey,13,134,SSDDDA,οἱ δ εὕδοντ ἐν νηῒ ,θοῇ ἐπὶ πόντον ἄγοντες
odyssey,13,135,DDDDDA,κάτθεσαν εἰν ἰθάκῃ ,ἔδοσαν δέ οἱ ἄσπετα δῶρα
odyssey,13,136,SSDSDA,χαλκόν τε χρυσόν ,τε ἅλις ἐσθῆτά θ ὑφαντήν
odyssey,13,137,DDSSDA,πόλλ ὅσ ἂν οὐδέ ποτε ,τροίης ἐξήρατ ὀδυσσεύς
odyssey,13,138,DSDDDA,εἴ περ ἀπήμων ἦλθε ,λαχὼν ἀπὸ ληΐδος αἶσαν
odyssey,13,139,DDDDDA,τὸν δ ἀπαμειβόμενος ,προσέφη νεφεληγερέτα ζεὺς
odyssey,13,140,DDSDDA,‘ὢ πόποι ἐννοσίγαι ,εὐρυσθενές οἷον ἔειπες
odyssey,13,141,DSDDDA,οὔ τί σ ἀτιμάζουσι ,θεοί χαλεπὸν δέ κεν εἴη
odyssey,13,142,DDDSDA,πρεσβύτατον καὶ ἄριστον ,ἀτιμίῃσιν ἰάλλειν
odyssey,13,143,SSDSDA,ἀνδρῶν δ εἴ πέρ τίς ,σε βίῃ καὶ κάρτεϊ εἴκων
odyssey,13,144,DSDDDA,οὔ τι τίει σοὶ δ ἐστὶ ,καὶ ἐξοπίσω τίσις αἰεί
odyssey,13,145,DDSDDA,ἔρξον ὅπως ἐθέλεις ,καί τοι φίλον ἔπλετο θυμῷ
