text,book,line,meter,first_hemistich,second_hemistich
iliad,1,1,DDSDDA,μῆνιν ἄειδε θεὰ ,πηληϊάδεω ἀχιλῆος
iliad,1,2,DSDSDA,οὐλομένην ἣ μυρί ,ἀχαιοῖς ἄλγε ἔθηκε
iliad,1,3,SSSDDA,πολλὰς δ ἰφθίμους ,ψυχὰς ἄϊδι προΐαψεν
iliad,1,4,SSDDDA,ἡρώων αὐτοὺς ,δὲ ἑλώρια τεῦχε κύνεσσιν
iliad,1,5,SDDDDA,οἰωνοῖσί τε πᾶσι ,διὸς δ ἐτελείετο βουλή
iliad,1,6,SSDSDA,ἐξ οὗ δὴ τὰ πρῶτα ,διαστήτην ἐρίσαντε
iliad,1,7,DDSSDA,ἀτρεΐδης τε ἄναξ ,ἀνδρῶν καὶ δῖος ἀχιλλεύς
iliad,1,8,SDDDDA,τίς τ ἄρ σφωε θεῶν ,ἔριδι ξυνέηκε μάχεσθαι
iliad,1,9,SDDDDA,λητοῦς καὶ διὸς υἱός ,ὃ γὰρ βασιλῆϊ χολωθεὶς
iliad,1,10,DDDDDA,νοῦσον ἀνὰ στρατὸν ὄρσε ,κακήν ὀλέκοντο δὲ λαοί
iliad,1,11,DSSDSA,οὕνεκα τὸν χρύσην ,ἠτίμασεν ἀρητῆρα
iliad,1,12,DDDDDA,ἀτρεΐδης ὃ γὰρ ἦλθε ,θοὰς ἐπὶ νῆας ἀχαιῶν
iliad,1,13,DDDDDA,λυσόμενός τε θύγατρα ,φέρων τ ἀπερείσι ἄποινα
iliad,1,14,DSDDSA,στέμματ ἔχων ἐν χερσὶν ,ἑκηβόλου ἀπόλλωνος
iliad,1,15,DSSDDA,χρυσέῳ ἀνὰ σκήπτρῳ ,καὶ λίσσετο πάντας ἀχαιούς
iliad,1,16,DDDSDA,ἀτρεΐδα δὲ μάλιστα ,δύω κοσμήτορε λαῶν
iliad,1,17,DDDSDA,ἀτρεΐδαι τε καὶ ἄλλοι ,ἐϋκνήμιδες ἀχαιοί
iliad,1,18,SSDDDA,ὑμῖν μὲν θεοὶ δοῖεν ,ὀλύμπια δώματ ἔχοντες
iliad,1,19,SDDSDA,ἐκπέρσαι πριάμοιο ,πόλιν εὖ δ οἴκαδ ἱκέσθαι
iliad,1,20,DSDDDA,παῖδα δ ἐμοὶ λύσαιτε ,φίλην τὰ δ ἄποινα δέχεσθαι
iliad,1,21,DDDDSA,ἁζόμενοι διὸς υἱὸν ,ἑκηβόλον ἀπόλλωνα
iliad,1,22,SSDSDA,ἔνθ ἄλλοι μὲν πάντες ,ἐπευφήμησαν ἀχαιοὶ
iliad,1,23,SDDDDA,αἰδεῖσθαί θ ἱερῆα ,καὶ ἀγλαὰ δέχθαι ἄποινα
iliad,1,24,SDDDDA,ἀλλ οὐκ ἀτρεΐδῃ ,ἀγαμέμνονι ἥνδανε θυμῷ
iliad,1,25,DDDDDA,ἀλλὰ κακῶς ἀφίει ,κρατερὸν δ ἐπὶ μῦθον ἔτελλε
iliad,1,26,DSDDDA,μή σε γέρον κοίλῃσιν ,ἐγὼ παρὰ νηυσὶ κιχείω
iliad,1,27,SSSDDA,ἢ νῦν δηθύνοντ ,ἢ ὕστερον αὖτις ἰόντα
iliad,1,28,DSSSDA,μή νύ τοι οὐ χραίσμῃ ,σκῆπτρον καὶ στέμμα θεοῖο
iliad,1,29,DSSSDA,τὴν δ ἐγὼ οὐ λύσω ,πρίν μιν καὶ γῆρας ἔπεισιν
iliad,1,30,DDDDDA,ἡμετέρῳ ἐνὶ οἴκῳ ,ἐν ἄργεϊ τηλόθι πάτρης
iliad,1,31,DDDDDA,ἱστὸν ἐποιχομένην ,καὶ ἐμὸν λέχος ἀντιόωσαν
iliad,1,32,DDDDDA,ἀλλ ἴθι μή μ ἐρέθιζε ,σαώτερος ὥς κε νέηαι
iliad,1,33,DSDDDA,ὣς ἔφατ ἔδεισεν ,δ ὃ γέρων καὶ ἐπείθετο μύθῳ
iliad,1,34,DDDSDA,βῆ δ ἀκέων παρὰ θῖνα ,πολυφλοίσβοιο θαλάσσης
iliad,1,35,DDDSDA,πολλὰ δ ἔπειτ ἀπάνευθε ,κιὼν ἠρᾶθ ὃ γεραιὸς
iliad,1,36,SDDDDA,ἀπόλλωνι ἄνακτι ,τὸν ἠΰκομος τέκε λητώ
iliad,1,37,DDSSDA,κλῦθί μευ ἀργυρότοξ ,ὃς χρύσην ἀμφιβέβηκας
iliad,1,38,SDDDDA,κίλλάν τε ζαθέην ,τενέδοιό τε ἶφι ἀνάσσεις
iliad,1,39,SDDDDA,σμινθεῦ εἴ ποτέ τοι ,χαρίεντ ἐπὶ νηὸν ἔρεψα
iliad,1,40,SDDDDA,ἢ εἰ δή ποτέ τοι ,κατὰ πίονα μηρί ἔκηα
iliad,1,41,SSDSDA,ταύρων ἠδ αἰγῶν ,τὸ δέ μοι κρήηνον ἐέλδωρ
iliad,1,42,SDDDDA,τίσειαν δαναοὶ ,ἐμὰ δάκρυα σοῖσι βέλεσσιν
iliad,1,43,DDSDDA,ὣς ἔφατ εὐχόμενος ,τοῦ δ ἔκλυε φοῖβος ἀπόλλων
iliad,1,44,DSDSDA,βῆ δὲ κατ οὐλύμποιο ,καρήνων χωόμενος κῆρ
iliad,1,45,SDSDDA,τόξ ὤμοισιν ἔχων ,ἀμφηρεφέα τε φαρέτρην
iliad,1,46,SDDSDA,ἔκλαγξαν δ ἄρ ὀϊστοὶ ,ἐπ ὤμων χωομένοιο
iliad,1,47,SSDDDA,αὐτοῦ κινηθέντος ,ὃ δ ἤϊε νυκτὶ ἐοικώς
iliad,1,48,DDDDDA,ἕζετ ἔπειτ ἀπάνευθε ,νεῶν μετὰ δ ἰὸν ἕηκε
iliad,1,49,SSDDDA,δεινὴ δὲ κλαγγὴ ,γένετ ἀργυρέοιο βιοῖο
iliad,1,50,SSDDDA,οὐρῆας μὲν πρῶτον ,ἐπῴχετο καὶ κύνας ἀργούς
iliad,1,51,DSDDDA,αὐτὰρ ἔπειτ αὐτοῖσι ,βέλος ἐχεπευκὲς ἐφιεὶς
iliad,1,52,SDDSDA,βάλλ αἰεὶ δὲ πυραὶ ,νεκύων καίοντο θαμειαί
iliad,1,53,SDDDDA,ἐννῆμαρ μὲν ἀνὰ ,στρατὸν ᾤχετο κῆλα θεοῖο
iliad,1,54,DDDDDA,τῇ δεκάτῃ δ ἀγορὴν ,δὲ καλέσσατο λαὸν ἀχιλλεύς
iliad,1,55,DDDSDA,τῷ γὰρ ἐπὶ φρεσὶ θῆκε ,θεὰ λευκώλενος ἥρη
iliad,1,56,DDDSDA,κήδετο γὰρ δαναῶν ,ὅτι ῥα θνήσκοντας ὁρᾶτο
iliad,1,57,DSDDDA,οἳ δ ἐπεὶ οὖν ἤγερθεν ,ὁμηγερέες τε γένοντο
iliad,1,58,DDDDDA,τοῖσι δ ἀνιστάμενος ,μετέφη πόδας ὠκὺς ἀχιλλεύς
iliad,1,59,DSDSDA,ἀτρεΐδη νῦν ἄμμε ,παλιμπλαγχθέντας ὀΐω
iliad,1,60,DSSDDA,ἂψ ἀπονοστήσειν ,εἴ κεν θάνατόν γε φύγοιμεν
iliad,1,61,DDDSDA,εἰ δὴ ὁμοῦ πόλεμός ,τε δαμᾷ καὶ λοιμὸς ἀχαιούς
iliad,1,62,DDDDDA,ἀλλ ἄγε δή τινα μάντιν ,ἐρείομεν ἢ ἱερῆα
iliad,1,63,DDSDDA,ἢ καὶ ὀνειροπόλον ,καὶ γάρ τ ὄναρ ἐκ διός ἐστιν
iliad,1,64,SDDDDA,ὅς κ εἴποι ὅ τι τόσσον ,ἐχώσατο φοῖβος ἀπόλλων
iliad,1,65,DSDDDA,εἴτ ἄρ ὅ γ εὐχωλῆς ,ἐπιμέμφεται ἠδ ἑκατόμβης
iliad,1,66,SSSSDA,αἴ κέν πως ἀρνῶν ,κνίσης αἰγῶν τε τελείων
