text,book,line,meter,first_hemistich,second_hemistich
iliad,7,1,SDSDDA,ὣς εἰπὼν πυλέων ,ἐξέσσυτο φαίδιμος ἕκτωρ
iliad,7,2,DSDDDA,τῷ δ ἅμ ἀλέξανδρος ,κί ἀδελφεός ἐν δ ἄρα θυμῷ
iliad,7,3,DDDSDA,ἀμφότεροι μέμασαν ,πολεμίζειν ἠδὲ μάχεσθαι
iliad,7,4,DSDDDA,ὡς δὲ θεὸς ναύτῃσιν ,ἐελδομένοισιν ἔδωκεν
iliad,7,5,DDDSDA,οὖρον ἐπεί κε κάμωσιν ,ἐϋξέστῃς ἐλάτῃσι
iliad,7,6,DSDDDA,πόντον ἐλαύνοντες ,καμάτῳ δ ὑπὸ γυῖα λέλυνται
iliad,7,7,DSDDDA,ὣς ἄρα τὼ τρώεσσιν ,ἐελδομένοισι φανήτην
iliad,7,8,DDDDDA,ἔνθ ἑλέτην ὃ μὲν υἱὸν ,ἀρηϊθόοιο ἄνακτος
iliad,7,9,SDDDDA,ἄρνῃ ναιετάοντα ,μενέσθιον ὃν κορυνήτης
iliad,7,10,DDSDDA,γείνατ ἀρηΐθοος ,καὶ φυλομέδουσα βοῶπις
iliad,7,11,SDDDDA,ἕκτωρ δ ἠϊονῆα ,βάλ ἔγχεϊ ὀξυόεντι
iliad,7,12,DDSSDA,αὐχέν ὑπὸ στεφάνης ,εὐχάλκου λύντο δὲ γυῖα
iliad,7,13,SDDDDA,γλαῦκος δ ἱππολόχοιο ,πάϊς λυκίων ἀγὸς ἀνδρῶν
iliad,7,14,DDDDSA,ἰφίνοον βάλε δουρὶ ,κατὰ κρατερὴν ὑσμίνην
iliad,7,15,DSDDSA,δεξιάδην ἵππων ,ἐπιάλμενον ὠκειάων
iliad,7,16,DSDDDA,ὦμον ὃ δ ἐξ ἵππων ,χαμάδις πέσε λύντο δὲ γυῖα
iliad,7,17,SDDSDA,τοὺς δ ὡς οὖν ἐνόησε ,θεὰ γλαυκῶπις ἀθήνη
iliad,7,18,SDDDSA,ἀργείους ὀλέκοντας ,ἐνὶ κρατερῇ ὑσμίνῃ
iliad,7,19,DSDSSA,βῆ ῥα κατ οὐλύμποιο ,καρήνων ἀΐξασα
iliad,7,20,DDSDDA,ἴλιον εἰς ἱερήν ,τῇ δ ἀντίος ὄρνυτ ἀπόλλων
iliad,7,21,DDSDDA,περγάμου ἐκκατιδών ,τρώεσσι δὲ βούλετο νίκην
iliad,7,22,SDDSDA,ἀλλήλοισι δὲ τώ ,γε συναντέσθην παρὰ φηγῷ
iliad,7,23,DDDDDA,τὴν πρότερος προσέειπεν ,ἄναξ διὸς υἱὸς ἀπόλλων
iliad,7,24,NNNNNN,NA,NA
iliad,7,25,DSDDDA,ἦλθες ἀπ οὐλύμποιο ,μέγας δέ σε θυμὸς ἀνῆκεν
iliad,7,26,DDDDDA,ἦ ἵνα δὴ δαναοῖσι ,μάχης ἑτεραλκέα νίκην
iliad,7,27,DSDDDA,δῷς ἐπεὶ οὔ τι τρῶας ,ἀπολλυμένους ἐλεαίρεις
iliad,7,28,SDDDDA,ἀλλ εἴ μοί τι πίθοιο ,τό κεν πολὺ κέρδιον εἴη
iliad,7,29,SSDSDA,νῦν μὲν παύσωμεν ,πόλεμον καὶ δηϊοτῆτα
iliad,7,30,DDDSDA,σήμερον ὕστερον αὖτε ,μαχήσοντ εἰς ὅ κε τέκμωρ
iliad,7,31,DSDDDA,ἰλίου εὕρωσιν ,ἐπεὶ ὣς φίλον ἔπλετο θυμῷ
iliad,7,32,SDDDDA,ὑμῖν ἀθανάτῃσι ,διαπραθέειν τόδε ἄστυ
iliad,7,33,SDDSDA,τὸν δ αὖτε προσέειπε ,θεὰ γλαυκῶπις ἀθήνη
iliad,7,34,SDDDDA,‘ὧδ ἔστω ἑκάεργε ,τὰ γὰρ φρονέουσα καὶ αὐτὴ
iliad,7,35,DSDSDA,ἦλθον ἀπ οὐλύμποιο ,μετὰ τρῶας καὶ ἀχαιούς
iliad,7,36,DDDDDA,ἀλλ ἄγε πῶς μέμονας ,πόλεμον καταπαυσέμεν ἀνδρῶν
iliad,7,37,SDDDDA,τὴν δ αὖτε προσέειπεν ,ἄναξ διὸς υἱὸς ἀπόλλων
iliad,7,38,DSDDDA,‘ἕκτορος ὄρσωμεν ,κρατερὸν μένος ἱπποδάμοιο
iliad,7,39,DDDDDA,ἤν τινά που δαναῶν ,προκαλέσσεται οἰόθεν οἶος
iliad,7,40,DDDSDA,ἀντίβιον μαχέσασθαι ,ἐν αἰνῇ δηϊοτῆτι
iliad,7,41,DDSSDA,οἳ δέ κ ἀγασσάμενοι ,χαλκοκνήμιδες ἀχαιοὶ
iliad,7,42,DSDSDA,οἶον ἐπόρσειαν ,πολεμίζειν ἕκτορι δίῳ
iliad,7,43,DDDSDA,ὣς ἔφατ οὐδ ἀπίθησε ,θεὰ γλαυκῶπις ἀθήνη
iliad,7,44,DDDSDA,τῶν δ ἕλενος πριάμοιο ,φίλος παῖς σύνθετο θυμῷ
iliad,7,45,SDDDDA,βουλήν ἥ ῥα θεοῖσιν ,ἐφήνδανε μητιόωσι
iliad,7,46,DDSSDA,στῆ δὲ παρ ἕκτορ ἰὼν ,καί μιν πρὸς μῦθον ἔειπεν
iliad,7,47,NNNNNN,NA,NA
iliad,7,48,DDDSDA,ἦ ῥά νύ μοί τι πίθοιο ,κασίγνητος δέ τοί εἰμι
iliad,7,49,SDSSDA,ἄλλους μὲν κάθισον ,τρῶας καὶ πάντας ἀχαιούς
iliad,7,50,SDDSDA,αὐτὸς δὲ προκάλεσσαι ,ἀχαιῶν ὅς τις ἄριστος
iliad,7,51,DDDSDA,ἀντίβιον μαχέσασθαι ,ἐν αἰνῇ δηϊοτῆτι
iliad,7,52,SSDSDA,οὐ γάρ πώ τοι μοῖρα ,θανεῖν καὶ πότμον ἐπισπεῖν
iliad,7,53,DDDSDA,ὣς γὰρ ἐγὼ ὄπ ἄκουσα ,θεῶν αἰειγενετάων
iliad,7,54,DSDDDA,ὣς ἔφαθ ἕκτωρ δ αὖτε ,χάρη μέγα μῦθον ἀκούσας
iliad,7,55,SDSDDA,καί ῥ ἐς μέσσον ἰὼν ,τρώων ἀνέεργε φάλαγγας
iliad,7,56,SDSSDA,μέσσου δουρὸς ἑλών ,οἳ δ ἱδρύνθησαν ἅπαντες
iliad,7,57,DSDSDA,κὰδ δ ἀγαμέμνων εἷσεν ,ἐϋκνήμιδας ἀχαιούς
iliad,7,58,DSDDDA,κὰδ δ ἄρ ἀθηναίη ,τε καὶ ἀργυρότοξος ἀπόλλων
iliad,7,59,SSDDDA,ἑζέσθην ὄρνισιν ,ἐοικότες αἰγυπιοῖσι
iliad,7,60,DSSDDA,φηγῷ ἐφ ὑψηλῇ ,πατρὸς διὸς αἰγιόχοιο
iliad,7,61,DDSDDA,ἀνδράσι τερπόμενοι ,τῶν δὲ στίχες εἵατο πυκναὶ
iliad,7,62,DDDSDA,ἀσπίσι καὶ κορύθεσσι ,καὶ ἔγχεσι πεφρικυῖαι
iliad,7,63,SDDDDA,οἵη δὲ ζεφύροιο ,ἐχεύατο πόντον ἔπι φρὶξ
iliad,7,64,DDDDDA,ὀρνυμένοιο νέον ,μελάνει δέ τε πόντος ὑπ αὐτῆς
iliad,7,65,DDDSSA,τοῖαι ἄρα στίχες εἵατ ,ἀχαιῶν τε τρώων τε
iliad,7,66,DSDDDA,ἐν πεδίῳ ἕκτωρ ,δὲ μετ ἀμφοτέροισιν ἔειπε
iliad,7,67,DSDSDA,‘κέκλυτέ μευ τρῶες ,καὶ ἐϋκνήμιδες ἀχαιοὶ
iliad,7,68,SDDSDA,ὄφρ εἴπω τά με θυμὸς ,ἐνὶ στήθεσσι κελεύει
iliad,7,69,DDSDDA,ὅρκια μὲν κρονίδης ,ὑψίζυγος οὐκ ἐτέλεσσεν
iliad,7,70,DDSDDA,ἀλλὰ κακὰ φρονέων ,τεκμαίρεται ἀμφοτέροισιν
iliad,7,71,DSSSDA,εἰς ὅ κεν ἢ ὑμεῖς ,τροίην εὔπυργον ἕλητε
iliad,7,72,SDDDDA,ἢ αὐτοὶ παρὰ νηυσὶ ,δαμείετε ποντοπόροισιν
iliad,7,73,SDDSDA,ὑμῖν δ ἐν γὰρ ἔασιν ,ἀριστῆες παναχαιῶν
iliad,7,74,SDDDDA,τῶν νῦν ὅν τινα θυμὸς ,ἐμοὶ μαχέσασθαι ἀνώγει
iliad,7,75,DSDDDA,δεῦρ ἴτω ἐκ πάντων ,πρόμος ἔμμεναι ἕκτορι δίῳ
iliad,7,76,DDSDDA,ὧδε δὲ μυθέομαι ,ζεὺς δ ἄμμ ἐπιμάρτυρος ἔστω
iliad,7,77,SDDDDA,εἰ μέν κεν ἐμὲ κεῖνος ,ἕλῃ ταναήκεϊ χαλκῷ
iliad,7,78,DSDSDA,τεύχεα συλήσας ,φερέτω κοίλας ἐπὶ νῆας
