text,book,line,meter,first_hemistich,second_hemistich
iliad,14,1,DDDSDA,νέστορα δ οὐκ ἔλαθεν ,ἰαχὴ πίνοντά περ ἔμπης
iliad,14,2,SDDDDA,ἀλλ ἀσκληπιάδην ,ἔπεα πτερόεντα προσηύδα
iliad,14,3,DDDSDA,‘φράζεο δῖε μαχᾶον ,ὅπως ἔσται τάδε ἔργα
iliad,14,4,SDDDSA,μείζων δὴ παρὰ νηυσὶ ,βοὴ θαλερῶν αἰζηῶν
iliad,14,5,DSDDDA,ἀλλὰ σὺ μὲν νῦν πῖνε ,καθήμενος αἴθοπα οἶνον
iliad,14,6,DDDDDA,εἰς ὅ κε θερμὰ λοετρὰ ,ἐϋπλόκαμος ἑκαμήδη
iliad,14,7,SSDDDA,θερμήνῃ καὶ λούσῃ ,ἄπο βρότον αἱματόεντα
iliad,14,8,DSDDDA,αὐτὰρ ἐγὼν ἐλθὼν ,τάχα εἴσομαι ἐς περιωπήν
iliad,14,9,SDDDDA,ὣς εἰπὼν σάκος εἷλε ,τετυγμένον υἷος ἑοῖο
iliad,14,10,DDDDDA,κείμενον ἐν κλισίῃ ,θρασυμήδεος ἱπποδάμοιο
iliad,14,11,SSDDDA,χαλκῷ παμφαῖνον ,ὃ δ ἔχ ἀσπίδα πατρὸς ἑοῖο
iliad,14,12,DDDDDA,εἵλετο δ ἄλκιμον ἔγχος ,ἀκαχμένον ὀξέϊ χαλκῷ
iliad,14,13,SDDDDA,στῆ δ ἐκτὸς κλισίης ,τάχα δ εἴσιδεν ἔργον ἀεικὲς
iliad,14,14,DDSDDA,τοὺς μὲν ὀρινομένους ,τοὺς δὲ κλονέοντας ὄπισθε
iliad,14,15,DSDDDA,τρῶας ὑπερθύμους ,ἐρέριπτο δὲ τεῖχος ἀχαιῶν
iliad,14,16,DSDDDA,ὡς δ ὅτε πορφύρῃ ,πέλαγος μέγα κύματι κωφῷ
iliad,14,17,DDDSDA,ὀσσόμενον λιγέων ,ἀνέμων λαιψηρὰ κέλευθα
iliad,14,18,SDDDDA,αὔτως οὐδ ἄρα τε ,προκυλίνδεται οὐδετέρωσε
iliad,14,19,DDDDDA,πρίν τινα κεκριμένον ,καταβήμεναι ἐκ διὸς οὖρον
iliad,14,20,DSDDDA,ὣς ὃ γέρων ὅρμαινε ,δαϊζόμενος κατὰ θυμὸν
iliad,14,21,DDDDDA,διχθάδι ἢ μεθ ὅμιλον ,ἴοι δαναῶν ταχυπώλων
iliad,14,22,DDDDDA,ἦε μετ ἀτρεΐδην ,ἀγαμέμνονα ποιμένα λαῶν
iliad,14,23,DDDDDA,ὧδε δέ οἱ φρονέοντι ,δοάσσατο κέρδιον εἶναι
iliad,14,24,DDSSDA,βῆναι ἐπ ἀτρεΐδην ,οἳ δ ἀλλήλους ἐνάριζον
iliad,14,25,DDDDDA,μαρνάμενοι λάκε δέ ,σφι περὶ χροῒ χαλκὸς ἀτειρὴς
iliad,14,26,DDDDDA,νυσσομένων ξίφεσίν ,τε καὶ ἔγχεσιν ἀμφιγύοισι
iliad,14,27,DSDDDA,νέστορι δὲ ξύμβληντο ,διοτρεφέες βασιλῆες
iliad,14,28,SDDSDA,πὰρ νηῶν ἀνιόντες ,ὅσοι βεβλήατο χαλκῷ
iliad,14,29,DDDDDA,τυδεΐδης ὀδυσεύς ,τε καὶ ἀτρεΐδης ἀγαμέμνων
iliad,14,30,SDDSDA,πολλὸν γάρ ῥ ἀπάνευθε ,μάχης εἰρύατο νῆες
iliad,14,31,DDSSDA,θῖν ἔφ ἁλὸς πολιῆς ,τὰς γὰρ πρώτας πεδίον δὲ
iliad,14,32,DSDSDA,εἴρυσαν αὐτὰρ τεῖχος ,ἐπὶ πρύμνῃσιν ἔδειμαν
iliad,14,33,DSDDDA,οὐδὲ γὰρ οὐδ εὐρύς ,περ ἐὼν ἐδυνήσατο πάσας
iliad,14,34,DSDSDA,αἰγιαλὸς νῆας ,χαδέειν στείνοντο δὲ λαοί
iliad,14,35,DDSSSA,τώ ῥα προκρόσσας ἔρυσαν καὶ ,πλῆσαν ἁπάσης
iliad,14,36,DDDDDA,ἠϊόνος στόμα μακρόν ,ὅσον συνεέργαθον ἄκραι
iliad,14,37,SSDSDA,τώ ῥ οἵ γ ὀψείοντες ,ἀϋτῆς καὶ πολέμοιο
iliad,14,38,DDDDDA,ἔγχει ἐρειδόμενοι ,κίον ἀθρόοι ἄχνυτο δέ σφι
iliad,14,39,DSDSDA,θυμὸς ἐνὶ στήθεσσιν ,ὃ δὲ ξύμβλητο γεραιὸς
iliad,14,40,SDDSDA,νέστωρ πτῆξε δὲ θυμὸν ,ἐνὶ στήθεσσιν ἀχαιῶν
iliad,14,41,SSDSDA,τὸν καὶ φωνήσας ,προσέφη κρείων ἀγαμέμνων
iliad,14,42,SSDDDA,‘ὦ νέστορ νηληϊάδη ,μέγα κῦδος ἀχαιῶν
iliad,14,43,DDSDDA,τίπτε λιπὼν πόλεμον ,φθισήνορα δεῦρ ἀφικάνεις
iliad,14,44,SSDDDA,δείδω μὴ δή μοι ,τελέσῃ ἔπος ὄβριμος ἕκτωρ
iliad,14,45,DSDSDA,ὥς ποτ ἐπηπείλησεν ,ἐνὶ τρώεσσ ἀγορεύων
iliad,14,46,SSDDDA,μὴ πρὶν πὰρ νηῶν ,προτὶ ἴλιον ἀπονέεσθαι
iliad,14,47,DDSSDA,πρὶν πυρὶ νῆας ἐνιπρῆσαι ,κτεῖναι δὲ καὶ αὐτούς
iliad,14,48,SDDSDA,κεῖνος τὼς ἀγόρευε ,τὰ δὴ νῦν πάντα τελεῖται
iliad,14,49,DDDSDA,ὢ πόποι ἦ ῥα καὶ ἄλλοι ,ἐϋκνήμιδες ἀχαιοὶ
iliad,14,50,SSDDDA,ἐν θυμῷ βάλλονται ,ἐμοὶ χόλον ὥς περ ἀχιλλεὺς
iliad,14,51,DDDSDA,οὐδ ἐθέλουσι μάχεσθαι ,ἐπὶ πρυμνῇσι νέεσσι
iliad,14,52,SDDDDA,τὸν δ ἠμείβετ ἔπειτα ,γερήνιος ἱππότα νέστωρ
iliad,14,53,SDDDDA,‘ἦ δὴ ταῦτά γ ἑτοῖμα ,τετεύχαται οὐδέ κεν ἄλλως
iliad,14,54,SDSDSA,ζεὺς ὑψιβρεμέτης ,αὐτὸς παρατεκτήναιτο
iliad,14,55,SSDDDA,τεῖχος μὲν γὰρ δὴ ,κατερήριπεν ᾧ ἐπέπιθμεν
iliad,14,56,SSDSDA,ἄρρηκτον νηῶν ,τε καὶ αὐτῶν εἶλαρ ἔσεσθαι
iliad,14,57,DDDDDA,οἳ δ ἐπὶ νηυσὶ θοῇσι ,μάχην ἀλίαστον ἔχουσι
iliad,14,58,DDSDDA,νωλεμές οὐδ ἂν ἔτι ,γνοίης μάλα περ σκοπιάζων
iliad,14,59,DDDDDA,ὁπποτέρωθεν ἀχαιοὶ ,ὀρινόμενοι κλονέονται
iliad,14,60,DSDSDA,ὡς ἐπιμὶξ κτείνονται ,ἀϋτὴ δ οὐρανὸν ἵκει
iliad,14,61,SSDSDA,ἡμεῖς δὲ φραζώμεθ ,ὅπως ἔσται τάδε ἔργα
iliad,14,62,DSDSDA,εἴ τι νόος ῥέξει ,πόλεμον δ οὐκ ἄμμε κελεύω
iliad,14,63,DSSDDA,δύμεναι οὐ γάρ πως ,βεβλημένον ἐστὶ μάχεσθαι
iliad,14,64,SDDSDA,τὸν δ αὖτε προσέειπεν ,ἄναξ ἀνδρῶν ἀγαμέμνων
iliad,14,65,DSDSDA,‘νέστορ ἐπεὶ δὴ νηυσὶν ,ἔπι πρυμνῇσι μάχονται
iliad,14,66,SSDDDA,τεῖχος δ οὐκ ἔχραισμε ,τετυγμένον οὐδέ τι τάφρος
iliad,14,67,DDDSDA,ᾗ ἔπι πολλὰ πάθον ,δαναοί ἔλποντο δὲ θυμῷ
iliad,14,68,SSDSDA,ἄρρηκτον νηῶν ,τε καὶ αὐτῶν εἶλαρ ἔσεσθαι
iliad,14,69,SDDDDA,οὕτω που διὶ μέλλει ,ὑπερμενέϊ φίλον εἶναι
iliad,14,70,SDDDDA,νωνύμνους ἀπολέσθαι ,ἀπ ἄργεος ἐνθάδ ἀχαιούς
iliad,14,71,DSDDDA,ᾔδεα μὲν γὰρ ὅτε ,πρόφρων δαναοῖσιν ἄμυνεν
iliad,14,72,DDDDDA,οἶδα δὲ νῦν ὅτε τοὺς ,μὲν ὁμῶς μακάρεσσι θεοῖσι
iliad,14,73,DDDSDA,κυδάνει ἡμέτερον ,δὲ μένος καὶ χεῖρας ἔδησεν
iliad,14,74,DDSSDA,ἀλλ ἄγεθ ὡς ἂν ἐγὼν ,εἴπω πειθώμεθα πάντες
iliad,14,75,DSSDDA,νῆες ὅσαι πρῶται ,εἰρύαται ἄγχι θαλάσσης
iliad,14,76,SSDDDA,ἕλκωμεν πάσας ,δὲ ἐρύσσομεν εἰς ἅλα δῖαν
iliad,14,77,DSSDDA,ὕψι δ ἐπ εὐνάων ,ὁρμίσσομεν εἰς ὅ κεν ἔλθῃ
iliad,14,78,DSDSDA,νὺξ ἀβρότη ἢν καὶ ,τῇ ἀπόσχωνται πολέμοιο
iliad,14,79,DDDDDA,τρῶες ἔπειτα δέ κεν ,ἐρυσαίμεθα νῆας ἁπάσας
iliad,14,80,SDDDDA,οὐ γάρ τις νέμεσις ,φυγέειν κακόν οὐδ ἀνὰ νύκτα
iliad,14,81,DSDDDA,βέλτερον ὃς φεύγων ,προφύγῃ κακὸν ἠὲ ἁλώῃ
iliad,14,82,DDDDDA,τὸν δ ἄρ ὑπόδρα ἰδὼν ,προσέφη πολύμητις ὀδυσσεύς
iliad,14,83,DSDDDA,‘ἀτρεΐδη ποῖόν ,σε ἔπος φύγεν ἕρκος ὀδόντων
iliad,14,84,DSDDDA,οὐλόμεν αἴθ ὤφελλες ,ἀεικελίου στρατοῦ ἄλλου
iliad,14,85,SSDDDA,σημαίνειν μὴ δ ἄμμιν ,ἀνασσέμεν οἷσιν ἄρα ζεὺς
iliad,14,86,DDDSDA,ἐκ νεότητος ἔδωκε ,καὶ ἐς γῆρας τολυπεύειν
iliad,14,87,DDSDDA,ἀργαλέους πολέμους ,ὄφρα φθιόμεσθα ἕκαστος
iliad,14,88,SDSDDA,οὕτω δὴ μέμονας ,τρώων πόλιν εὐρυάγυιαν
iliad,14,89,SSDDDA,καλλείψειν ἧς εἵνεκ ,ὀϊζύομεν κακὰ πολλά
iliad,14,90,SSDSDA,σίγα μή τίς τ ἄλλος ,ἀχαιῶν τοῦτον ἀκούσῃ
iliad,14,91,DDDDDA,μῦθον ὃν οὔ κεν ἀνήρ ,γε διὰ στόμα πάμπαν ἄγοιτο
iliad,14,92,DSSDDA,ὅς τις ἐπίσταιτο ,ᾗσι φρεσὶν ἄρτια βάζειν
iliad,14,93,SSSSDA,σκηπτοῦχός τ εἴη ,καί οἱ πειθοίατο λαοὶ
iliad,14,94,SSDSDA,τοσσοίδ ὅσσοισιν ,σὺ μετ ἀργείοισιν ἀνάσσεις
iliad,14,95,DDSDDA,νῦν δέ σευ ὠνοσάμην ,πάγχυ φρένας οἷον ἔειπες
iliad,14,96,DDDDDA,ὃς κέλεαι πολέμοιο ,συνεσταότος καὶ ἀϋτῆς
iliad,14,97,DSDDDA,νῆας ἐϋσσέλμους ,ἅλαδ ἑλκέμεν ὄφρ ἔτι μᾶλλον
iliad,14,98,DDDDDA,τρωσὶ μὲν εὐκτὰ γένηται ,ἐπικρατέουσί περ ἔμπης
iliad,14,99,SDDDDA,ἡμῖν δ αἰπὺς ὄλεθρος ,ἐπιρρέπῃ οὐ γὰρ ἀχαιοὶ
iliad,14,100,SDSDDA,σχήσουσιν πόλεμον ,νηῶν ἅλα δ ἑλκομενάων
iliad,14,101,DDDSDA,ἀλλ ἀποπαπτανέουσιν ,ἐρωήσουσι δὲ χάρμης
iliad,14,102,DSSDDA,ἔνθά κε σὴ βουλὴ ,δηλήσεται ὄρχαμε λαῶν
iliad,14,103,SDDSDA,τὸν δ ἠμείβετ ἔπειτα ,ἄναξ ἀνδρῶν ἀγαμέμνων
iliad,14,104,DDDDDA,‘ὦ ὀδυσεῦ μάλα πώς ,με καθίκεο θυμὸν ἐνιπῇ
iliad,14,105,DDDDDA,ἀργαλέῃ ἀτὰρ οὐ ,μὲν ἐγὼν ἀέκοντας ἄνωγα
iliad,14,106,DSDDDA,νῆας ἐϋσσέλμους ,ἅλα δ ἑλκέμεν υἷας ἀχαιῶν
iliad,14,107,SSDDDA,νῦν δ εἴη ὃς τῆσδέ ,γ ἀμείνονα μῆτιν ἐνίσποι
iliad,14,108,DDDDDA,ἢ νέος ἠὲ παλαιός ,ἐμοὶ δέ κεν ἀσμένῳ εἴη
iliad,14,109,DDDDDA,τοῖσι δὲ καὶ μετέειπε ,βοὴν ἀγαθὸς διομήδης
iliad,14,110,DSDDDA,‘ἐγγὺς ἀνήρ οὐ δηθὰ ,ματεύσομεν αἴ κ ἐθέλητε
iliad,14,111,SSDDDA,πείθεσθαι καὶ μή ,τι κότῳ ἀγάσησθε ἕκαστος
iliad,14,112,DDDDDA,οὕνεκα δὴ γενεῆφι ,νεώτατός εἰμι μεθ ὑμῖν
iliad,14,113,SDDDDA,πατρὸς δ ἐξ ἀγαθοῦ ,καὶ ἐγὼ γένος εὔχομαι εἶναι
