,text,book,total_lines,unique_lines,per_unique_lines,total_words,unique_words,per_unique_words
0,iliad,1,611,594,97.2177,4519,2026,44.8329
1,odyssey,1,444,434,97.7477,3175,1646,51.8425
2,iliad,2,877,840,95.7811,6031,2776,46.0289
3,odyssey,2,434,427,98.3871,3183,1592,50.0157
4,iliad,3,461,448,97.18,3249,1688,51.9544
5,odyssey,3,497,481,96.7807,3582,1795,50.1117
6,iliad,4,544,532,97.7941,3823,1981,51.8179
7,odyssey,4,847,816,96.34,6106,2759,45.1851
8,iliad,5,909,893,98.2398,6441,2880,44.7136
9,odyssey,5,493,478,96.9574,3623,1766,48.7441
10,iliad,6,529,518,97.9206,3755,1926,51.2916
11,odyssey,6,331,329,99.3958,2418,1323,54.7146
12,iliad,7,482,465,96.473,3396,1676,49.3522
13,odyssey,7,347,344,99.1354,2473,1373,55.5196
14,iliad,8,561,549,97.861,4000,1994,49.85
15,odyssey,8,586,562,95.9044,4208,2010,47.7662
16,iliad,9,709,673,94.9224,5093,2342,45.9847
17,odyssey,9,566,533,94.1696,4041,2001,49.5174
18,iliad,10,579,559,96.5458,4164,1958,47.0221
19,odyssey,10,573,550,95.986,4145,1946,46.9481
20,iliad,11,847,835,98.5832,6020,2865,47.5914
21,odyssey,11,640,611,95.4688,4533,2210,48.7536
22,iliad,12,471,461,97.8769,3301,1748,52.9537
23,odyssey,12,453,445,98.234,3256,1631,50.0921
24,iliad,13,837,821,98.0884,5904,2755,46.6633
25,odyssey,13,440,427,97.0455,3156,1632,51.711
26,iliad,14,521,510,97.8887,3723,1950,52.3771
27,odyssey,14,533,527,98.8743,3871,1985,51.2787
28,iliad,15,746,735,98.5255,5328,2514,47.1847
29,odyssey,15,557,539,96.7684,4024,1959,48.6829
30,iliad,16,867,855,98.6159,6096,2859,46.8996
31,odyssey,16,480,465,96.875,3477,1691,48.6339
32,iliad,17,761,750,98.5545,5425,2398,44.2028
33,odyssey,17,606,586,96.6997,4379,2045,46.7002
34,iliad,18,616,603,97.8896,4413,2232,50.5778
35,odyssey,18,428,419,97.8972,3096,1616,52.1964
36,iliad,19,424,421,99.2925,3047,1623,53.2655
37,odyssey,19,604,581,96.1921,4367,2109,48.294
38,iliad,20,503,499,99.2048,3577,1817,50.7968
39,odyssey,20,394,392,99.4924,2804,1508,53.7803
40,iliad,21,611,608,99.509,4426,2171,49.0511
41,odyssey,21,434,419,96.5438,3116,1556,49.9358
42,iliad,22,515,510,99.0291,3790,1901,50.1583
43,odyssey,22,501,484,96.6068,3552,1749,49.2399
44,iliad,23,897,874,97.4359,6352,2862,45.0567
45,odyssey,23,371,363,97.8437,2683,1414,52.7022
46,iliad,24,804,777,96.6418,5989,2635,43.9973
47,odyssey,24,548,538,98.1752,3905,1968,50.3969
