,meter,me
0,DDSDDA,0.3036784242536334
1,DSDSDA,0.37862554790579955
2,SSSDDA,0.22375632639391796
3,SSDDDA,0.6196821446633816
4,SDDDDA,0.47440361173940404
5,SSDSDA,0.38004465862903325
6,DDSSDA,0.3222258814376568
7,DDDDDA,0.9074443800904182
8,DSSDSA,0.2542574124643735
9,DSDDSA,0.33862938760842637
10,DSSDDA,0.34947477097708407
11,DDDSDA,0.49520772657755946
12,SDDSDA,1.0764198398378928
13,DSDDDA,0.41493933413308903
14,DDDDSA,0.3248460778714219
15,DSSSDA,0.2217481358451711
16,SDSDDA,1.649273378787034
17,SSSSDA,0.16561314991768095
18,SDSSDA,0.3154013002598117
19,SDDDSA,0.5963106477943451
20,NNNNNN,0.27142822460541394
21,DDDSSA,0.3110781753171173
22,DDSDSA,0.31299573047068197
23,DDSSSA,0.22047655910494576
24,SDSDSA,0.229105946344899
25,SDDSSA,0.5736815530981794
26,DSDSSA,0.44167946684758846
27,SSDDSA,0.27580586768530985
28,SSDSSA,0.18873371264452435
29,SSSDSA,0.1434754530085233
30,DSSSSA,0.17422503061629332
31,SDSSSA,0.2432393413557133
32,SSSSSA,0.3349368694115421
