,word,iliad_24,iliad_1,corpus
0,ἔτικτον,1,0,1
1,ἄειδε,0,1,10
2,βούλεται,0,1,5
3,ἐποίσει,0,1,2
4,ἐξάρχους,1,0,1
5,εὐτείχεον,0,1,6
6,αἴ,5,5,158
7,ἄλοχον,1,0,19
8,ἀπεμνήσαντο,1,0,1
9,δῶμα,0,3,100
10,ἀνδράσιν,2,2,31
11,χρυσείοις,0,1,2
12,κατά,14,18,579
13,αἴθοπα,1,1,22
14,νόσφι,0,1,19
15,ἐλθόντι,1,0,2
16,ὅσση,1,0,3
17,φίλων,1,0,27
18,ἐξείποι,1,0,1
19,νήπια,1,0,15
20,πωλέσκετο,0,1,3
21,βούβρωστις,1,0,1
22,ποτ,2,7,103
23,εἰρύαται,0,1,4
24,ἴδωμαι,0,2,9
25,δόντες,0,1,3
26,ἐστι,2,3,53
27,ἔην,4,0,73
28,Ἀτρεΐδης,1,8,77
29,ἐλαύνετον,0,1,1
30,λοῦσαν,1,0,5
31,κάλυμμ,1,0,1
32,Ὀλύμπιος,3,5,21
33,Μυρμιδόνεσσιν,0,1,6
34,πρῆσεν,0,1,1
35,οὔρεσιν,1,0,5
36,δῶ,0,1,25
37,Μενοιτιάδαο,1,0,10
38,θηρητῆρ,1,0,1
39,οὗτος,1,0,34
40,ἅμα,11,9,140
41,ἀπηύρα,1,0,19
42,θείης,1,0,1
43,κλαίωμεν,1,0,2
44,ὠκέας,1,0,22
45,αὐτοῖο,1,2,11
46,πτολιπόρθῳ,1,0,4
47,φερόμην,0,1,8
48,εἶπες,1,0,4
49,ποιμένα,0,1,29
50,ἐπιθήματα,1,0,1
51,μήτηρ,5,2,108
52,κατέδησαν,1,0,5
53,Ἕκτορι,2,0,66
54,γαῖαν,4,1,164
55,κατακείαται,1,0,1
56,βροτοί,1,1,15
57,ἀϊχθήτην,1,0,1
58,ἔτλης,1,0,8
59,ὀνείαθ,1,0,14
60,σά,1,0,13
61,μίνυνθά,0,1,8
62,Ἑκάβην,1,0,1
63,αὐτή,4,1,60
64,ἐλάσσας,1,0,2
65,τρόμος,1,0,15
66,σόα,1,0,2
67,τινά,2,0,33
68,ἔλων,1,0,2
69,ἶσον,0,2,20
70,εὐχόμενος,1,3,31
71,κεῖνος,2,0,57
72,ἅρμα,1,0,13
73,παῖδά,0,1,7
74,φράζεαι,0,1,1
75,μυρί,0,1,6
76,μοῖραν,1,1,48
77,μάντιές,1,0,1
78,κεδνάς,1,0,1
79,ὑπερέσχεθε,1,0,2
80,ἦμος,1,2,38
81,πλευράς,1,0,3
82,οὐχ,2,0,53
83,ἀγορητής,0,1,4
84,γλυκίων,0,1,4
85,ἐτήτυμον,0,1,11
86,φάγον,1,0,3
87,κεῖνον,1,0,26
88,λυγρῶν,1,0,2
89,λήθετ,1,1,6
90,δειδιότες,1,0,6
91,Μυρμιδόνων,1,1,12
92,ἐννέα,1,0,16
93,δάκρυ,5,3,52
94,ἄτην,0,1,8
95,τῆσδε,0,1,2
96,καλλιπάρῃος,1,0,6
97,Κίλλαν,0,1,1
98,νεωτέρου,1,0,1
99,σήν,2,0,24
100,φρονέουσα,1,0,4
101,ταχύν,2,0,14
102,Θέτι,2,0,5
103,οἱ,25,13,1130
104,ὄφρα,5,6,197
105,ἐπείθετο,1,1,6
106,λελείψεται,1,0,1
107,δάσσαντο,0,1,1
108,ζευγνύσθην,1,0,1
109,ἀλεῖψαι,1,0,2
110,πίσυνος,2,0,5
111,ἔνδοθι,0,1,13
112,ἐσσί,1,0,13
113,θυμός,3,4,222
114,Δαρδανίδη,2,0,2
115,διογενής,0,1,13
116,τήν,9,17,318
117,ἁπτόμεναι,1,0,1
118,ἀρητόν,1,0,2
119,ἀρνύμενοι,0,1,1
120,νέοι,0,1,21
121,μετέειπεν,0,2,21
122,ὑψορόφοιο,1,0,2
123,ἀγαθόν,3,0,28
124,ὦχ,0,1,2
125,ὀνείδεα,0,1,7
126,ἱστοδόκῃ,0,1,1
127,ἔμοιγ,1,0,1
128,λάβῃσιν,1,0,3
129,Ἶρις,5,0,27
130,θῆκε,2,1,38
131,κύπελλον,1,1,2
132,ἠδ,9,6,205
133,ἔτελλε,0,3,4
134,ὑψοῦ,0,1,9
135,Διός,6,11,255
136,συλεύειν,1,0,1
137,χεῖρας,4,4,117
138,ἐριζέμεναι,0,1,4
139,λίσσετο,0,2,3
140,ἔξοχα,2,0,11
141,λῆγε,0,1,2
142,ὀμφαλόεν,1,0,1
143,φίλην,0,3,54
144,ἥψατο,0,1,4
145,ἑξείης,1,1,23
146,ἔρχεσθον,0,1,1
147,οἶον,2,0,33
148,τοῦ,10,5,228
149,κυνῶπα,0,1,1
150,στείρῃ,0,1,2
151,ἀμιχθαλόεσσαν,1,0,1
152,ἐόντι,2,0,10
153,πύργου,1,0,7
154,ἀτρεκέως,2,0,32
155,ἀρχός,0,2,9
156,χλαίνας,2,0,15
157,φόρμιγγα,1,0,11
158,Διόθεν,2,0,3
159,θεοῖο,1,3,16
160,πατέρ,4,0,28
161,παῖδ,1,0,20
162,ἕνεκά,0,1,1
